# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 08, 2025092800, 03, FNV3,   0, 231N,  616W, 140,  924, XX,  34, NEQ,  110,  110,   70,  100,     ,     ,  10,
AL, 08, 2025092800, 03, FNV3,   0, 231N,  616W, 140,  924, XX,  50, NEQ,   50,   40,   40,   50,     ,     ,  10,
AL, 08, 2025092800, 03, FNV3,   0, 231N,  616W, 140,  924, XX,  64, NEQ,   20,   20,   20,     ,     ,     ,  10,
AL, 08, 2025092800, 03, FNV3,   6, 235N,  627W, 110,  953, XX,  34, NEQ,  139,  113,   79,  117,     ,     ,  14,
AL, 08, 2025092800, 03, FNV3,   6, 235N,  627W, 110,  953, XX,  50, NEQ,   72,   58,   43,   61,     ,     ,  14,
AL, 08, 2025092800, 03, FNV3,   6, 235N,  627W, 110,  953, XX,  64, NEQ,   40,   34,   27,   34,     ,     ,  14,
AL, 08, 2025092800, 03, FNV3,  12, 241N,  637W, 121,  943, XX,  34, NEQ,  152,  126,   88,  129,     ,     ,  16,
AL, 08, 2025092800, 03, FNV3,  12, 241N,  637W, 121,  943, XX,  50, NEQ,   81,   64,   48,   68,     ,     ,  16,
AL, 08, 2025092800, 03, FNV3,  12, 241N,  637W, 121,  943, XX,  64, NEQ,   45,   38,   29,   39,     ,     ,  16,
AL, 08, 2025092800, 03, FNV3,  18, 249N,  647W, 127,  937, XX,  34, NEQ,  158,  135,   94,  133,     ,     ,  14,
AL, 08, 2025092800, 03, FNV3,  18, 249N,  647W, 127,  937, XX,  50, NEQ,   84,   68,   51,   72,     ,     ,  14,
AL, 08, 2025092800, 03, FNV3,  18, 249N,  647W, 127,  937, XX,  64, NEQ,   48,   42,   33,   42,     ,     ,  14,
AL, 08, 2025092800, 03, FNV3,  24, 256N,  655W, 127,  935, XX,  34, NEQ,  167,  146,   97,  137,     ,     ,  17,
AL, 08, 2025092800, 03, FNV3,  24, 256N,  655W, 127,  935, XX,  50, NEQ,   89,   73,   54,   75,     ,     ,  17,
AL, 08, 2025092800, 03, FNV3,  24, 256N,  655W, 127,  935, XX,  64, NEQ,   51,   44,   34,   44,     ,     ,  17,
AL, 08, 2025092800, 03, FNV3,  30, 264N,  663W, 126,  938, XX,  34, NEQ,  156,  141,   96,  128,     ,     ,  17,
AL, 08, 2025092800, 03, FNV3,  30, 264N,  663W, 126,  938, XX,  50, NEQ,   84,   70,   52,   70,     ,     ,  17,
AL, 08, 2025092800, 03, FNV3,  30, 264N,  663W, 126,  938, XX,  64, NEQ,   49,   42,   33,   42,     ,     ,  17,
AL, 08, 2025092800, 03, FNV3,  36, 273N,  670W, 119,  942, XX,  34, NEQ,  164,  147,   97,  132,     ,     ,  19,
AL, 08, 2025092800, 03, FNV3,  36, 273N,  670W, 119,  942, XX,  50, NEQ,   86,   73,   54,   72,     ,     ,  19,
AL, 08, 2025092800, 03, FNV3,  36, 273N,  670W, 119,  942, XX,  64, NEQ,   49,   43,   34,   42,     ,     ,  19,
AL, 08, 2025092800, 03, FNV3,  42, 282N,  676W, 114,  946, XX,  34, NEQ,  159,  146,   93,  124,     ,     ,  17,
AL, 08, 2025092800, 03, FNV3,  42, 282N,  676W, 114,  946, XX,  50, NEQ,   82,   70,   51,   67,     ,     ,  17,
AL, 08, 2025092800, 03, FNV3,  42, 282N,  676W, 114,  946, XX,  64, NEQ,   46,   41,   32,   39,     ,     ,  17,
AL, 08, 2025092800, 03, FNV3,  48, 292N,  682W, 108,  951, XX,  34, NEQ,  167,  153,   95,  129,     ,     ,  20,
