# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 95, 2025100612, 03, FNV3,   0,  93N,  365W,  25, 1010, XX,  34, NEQ,     ,     ,     ,     ,     ,     , 100,
AL, 95, 2025100612, 03, FNV3,   6,  99N,  376W,  29, 1007, XX,  34, NEQ,    2,    0,    0,    0,     ,     ,  61,
AL, 95, 2025100612, 03, FNV3,  12, 103N,  394W,  32, 1006, XX,  34, NEQ,   15,    4,    3,    4,     ,     ,  52,
AL, 95, 2025100612, 03, FNV3,  18, 110N,  414W,  35, 1006, XX,  34, NEQ,   26,    8,    5,    8,     ,     ,  51,
AL, 95, 2025100612, 03, FNV3,  24, 115N,  434W,  38, 1006, XX,  34, NEQ,   55,   32,   22,   30,     ,     ,  60,
AL, 95, 2025100612, 03, FNV3,  24, 115N,  434W,  38, 1006, XX,  50, NEQ,    3,    0,    0,    0,     ,     ,  60,
AL, 95, 2025100612, 03, FNV3,  30, 122N,  456W,  42, 1005, XX,  34, NEQ,   71,   44,   29,   41,     ,     ,  54,
AL, 95, 2025100612, 03, FNV3,  30, 122N,  456W,  42, 1005, XX,  50, NEQ,    4,    0,    0,    0,     ,     ,  54,
AL, 95, 2025100612, 03, FNV3,  36, 127N,  478W,  44, 1005, XX,  34, NEQ,  107,   84,   60,   77,     ,     ,  60,
AL, 95, 2025100612, 03, FNV3,  36, 127N,  478W,  44, 1005, XX,  50, NEQ,    6,    0,    0,    0,     ,     ,  60,
AL, 95, 2025100612, 03, FNV3,  42, 132N,  495W,  47, 1003, XX,  34, NEQ,   85,   63,   40,   59,     ,     ,  48,
AL, 95, 2025100612, 03, FNV3,  42, 132N,  495W,  47, 1003, XX,  50, NEQ,   13,    1,    1,    3,     ,     ,  48,
AL, 95, 2025100612, 03, FNV3,  48, 137N,  515W,  49, 1002, XX,  34, NEQ,  106,   82,   56,   80,     ,     ,  47,
AL, 95, 2025100612, 03, FNV3,  48, 137N,  515W,  49, 1002, XX,  50, NEQ,   14,    3,    4,    5,     ,     ,  47,
AL, 95, 2025100612, 03, FNV3,  54, 145N,  534W,  51, 1001, XX,  34, NEQ,  117,   90,   60,   84,     ,     ,  57,
AL, 95, 2025100612, 03, FNV3,  54, 145N,  534W,  51, 1001, XX,  50, NEQ,   24,    8,    5,    7,     ,     ,  57,
AL, 95, 2025100612, 03, FNV3,  54, 145N,  534W,  51, 1001, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  57,
AL, 95, 2025100612, 03, FNV3,  60, 153N,  552W,  52, 1001, XX,  34, NEQ,  109,   88,   58,   82,     ,     ,  48,
AL, 95, 2025100612, 03, FNV3,  60, 153N,  552W,  52, 1001, XX,  50, NEQ,   28,    6,    3,    6,     ,     ,  48,
AL, 95, 2025100612, 03, FNV3,  60, 153N,  552W,  52, 1001, XX,  64, NEQ,    3,    0,    0,    0,     ,     ,  48,
AL, 95, 2025100612, 03, FNV3,  66, 160N,  568W,  53, 1001, XX,  34, NEQ,  112,   91,   60,   83,     ,     ,  49,
AL, 95, 2025100612, 03, FNV3,  66, 160N,  568W,  53, 1001, XX,  50, NEQ,   25,   11,    7,   10,     ,     ,  49,
AL, 95, 2025100612, 03, FNV3,  66, 160N,  568W,  53, 1001, XX,  64, NEQ,    2,    1,    0,    1,     ,     ,  49,
AL, 95, 2025100612, 03, FNV3,  72, 168N,  583W,  52, 1001, XX,  34, NEQ,  107,   86,   53,   81,     ,     ,  46,
AL, 95, 2025100612, 03, FNV3,  72, 168N,  583W,  52, 1001, XX,  50, NEQ,   24,    9,    5,    9,     ,     ,  46,
AL, 95, 2025100612, 03, FNV3,  72, 168N,  583W,  52, 1001, XX,  64, NEQ,    4,    1,    1,    1,     ,     ,  46,
AL, 95, 2025100612, 03, FNV3,  78, 178N,  596W,  55,  999, XX,  34, NEQ,  117,   97,   58,   85,     ,     ,  48,
AL, 95, 2025100612, 03, FNV3,  78, 178N,  596W,  55,  999, XX,  50, NEQ,   27,   13,    8,   13,     ,     ,  48,
AL, 95, 2025100612, 03, FNV3,  78, 178N,  596W,  55,  999, XX,  64, NEQ,    6,    2,    2,    3,     ,     ,  48,
AL, 95, 2025100612, 03, FNV3,  84, 187N,  607W,  56,  999, XX,  34, NEQ,  113,   90,   55,   81,     ,     ,  52,
AL, 95, 2025100612, 03, FNV3,  84, 187N,  607W,  56,  999, XX,  50, NEQ,   34,   15,    9,   16,     ,     ,  52,
AL, 95, 2025100612, 03, FNV3,  84, 187N,  607W,  56,  999, XX,  64, NEQ,    6,    4,    3,    3,     ,     ,  52,
AL, 95, 2025100612, 03, FNV3,  90, 197N,  615W,  56,  998, XX,  34, NEQ,   91,   72,   42,   65,     ,     ,  46,
AL, 95, 2025100612, 03, FNV3,  90, 197N,  615W,  56,  998, XX,  50, NEQ,   26,   15,    8,   13,     ,     ,  46,
AL, 95, 2025100612, 03, FNV3,  90, 197N,  615W,  56,  998, XX,  64, NEQ,    6,    3,    2,    4,     ,     ,  46,
AL, 95, 2025100612, 03, FNV3,  96, 207N,  619W,  53, 1000, XX,  34, NEQ,   91,   74,   44,   64,     ,     ,  47,
AL, 95, 2025100612, 03, FNV3,  96, 207N,  619W,  53, 1000, XX,  50, NEQ,   26,   13,    8,   14,     ,     ,  47,
AL, 95, 2025100612, 03, FNV3,  96, 207N,  619W,  53, 1000, XX,  64, NEQ,    6,    3,    2,    3,     ,     ,  47,
AL, 95, 2025100612, 03, FNV3, 102, 220N,  623W,  54,  999, XX,  34, NEQ,   98,   79,   45,   64,     ,     ,  44,
AL, 95, 2025100612, 03, FNV3, 102, 220N,  623W,  54,  999, XX,  50, NEQ,   27,   14,    8,   13,     ,     ,  44,
AL, 95, 2025100612, 03, FNV3, 102, 220N,  623W,  54,  999, XX,  64, NEQ,    7,    5,    4,    5,     ,     ,  44,
AL, 95, 2025100612, 03, FNV3, 108, 231N,  626W,  55,  997, XX,  34, NEQ,   89,   72,   40,   59,     ,     ,  45,
AL, 95, 2025100612, 03, FNV3, 108, 231N,  626W,  55,  997, XX,  50, NEQ,   23,   13,    8,   12,     ,     ,  45,
AL, 95, 2025100612, 03, FNV3, 108, 231N,  626W,  55,  997, XX,  64, NEQ,    7,    4,    3,    4,     ,     ,  45,
AL, 95, 2025100612, 03, FNV3, 114, 242N,  626W,  56,  996, XX,  34, NEQ,   97,   87,   53,   71,     ,     ,  40,
AL, 95, 2025100612, 03, FNV3, 114, 242N,  626W,  56,  996, XX,  50, NEQ,   27,   18,   12,   16,     ,     ,  40,
AL, 95, 2025100612, 03, FNV3, 114, 242N,  626W,  56,  996, XX,  64, NEQ,    9,    7,    5,    7,     ,     ,  40,
AL, 95, 2025100612, 03, FNV3, 120, 252N,  626W,  56,  995, XX,  34, NEQ,   90,   82,   46,   62,     ,     ,  44,
AL, 95, 2025100612, 03, FNV3, 120, 252N,  626W,  56,  995, XX,  50, NEQ,   30,   16,   10,   15,     ,     ,  44,
AL, 95, 2025100612, 03, FNV3, 120, 252N,  626W,  56,  995, XX,  64, NEQ,    8,    6,    4,    5,     ,     ,  44,
AL, 95, 2025100612, 03, FNV3, 126, 264N,  625W,  56,  995, XX,  34, NEQ,   93,   78,   48,   59,     ,     ,  41,
AL, 95, 2025100612, 03, FNV3, 126, 264N,  625W,  56,  995, XX,  50, NEQ,   18,   15,    9,   12,     ,     ,  41,
AL, 95, 2025100612, 03, FNV3, 126, 264N,  625W,  56,  995, XX,  64, NEQ,    7,    5,    4,    5,     ,     ,  41,
AL, 95, 2025100612, 03, FNV3, 132, 275N,  620W,  59,  991, XX,  34, NEQ,   92,   83,   48,   63,     ,     ,  44,
AL, 95, 2025100612, 03, FNV3, 132, 275N,  620W,  59,  991, XX,  50, NEQ,   34,   19,   11,   15,     ,     ,  44,
AL, 95, 2025100612, 03, FNV3, 132, 275N,  620W,  59,  991, XX,  64, NEQ,   10,    7,    5,    6,     ,     ,  44,
EP, 15, 2025100612, 03, FNV3,   0, 163N, 1219W,  54,  995, XX,  34, NEQ,   50,   50,   40,   50,     ,     ,  10,
EP, 15, 2025100612, 03, FNV3,   0, 163N, 1219W,  54,  995, XX,  50, NEQ,   20,   20,   10,   20,     ,     ,  10,
EP, 15, 2025100612, 03, FNV3,   6, 164N, 1213W,  48,  998, XX,  34, NEQ,   49,   50,   42,   45,     ,     ,  18,
EP, 15, 2025100612, 03, FNV3,   6, 164N, 1213W,  48,  998, XX,  50, NEQ,    7,    7,    5,    6,     ,     ,  18,
EP, 15, 2025100612, 03, FNV3,  12, 162N, 1206W,  44, 1000, XX,  34, NEQ,   43,   43,   35,   36,     ,     ,  20,
EP, 15, 2025100612, 03, FNV3,  12, 162N, 1206W,  44, 1000, XX,  50, NEQ,    1,    1,    1,    0,     ,     ,  20,
EP, 15, 2025100612, 03, FNV3,  18, 160N, 1200W,  44, 1000, XX,  34, NEQ,   45,   44,   35,   40,     ,     ,  24,
EP, 15, 2025100612, 03, FNV3,  18, 160N, 1200W,  44, 1000, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  24,
EP, 15, 2025100612, 03, FNV3,  24, 158N, 1194W,  45, 1000, XX,  34, NEQ,   38,   38,   30,   33,     ,     ,  22,
EP, 15, 2025100612, 03, FNV3,  24, 158N, 1194W,  45, 1000, XX,  50, NEQ,    4,    3,    2,    2,     ,     ,  22,
EP, 15, 2025100612, 03, FNV3,  30, 156N, 1189W,  44, 1001, XX,  34, NEQ,   43,   42,   35,   39,     ,     ,  23,
EP, 15, 2025100612, 03, FNV3,  30, 156N, 1189W,  44, 1001, XX,  50, NEQ,    2,    3,    2,    2,     ,     ,  23,
EP, 15, 2025100612, 03, FNV3,  36, 155N, 1182W,  45, 1000, XX,  34, NEQ,   41,   42,   34,   36,     ,     ,  24,
EP, 15, 2025100612, 03, FNV3,  36, 155N, 1182W,  45, 1000, XX,  50, NEQ,    5,    5,    3,    4,     ,     ,  24,
EP, 15, 2025100612, 03, FNV3,  42, 153N, 1176W,  44, 1001, XX,  34, NEQ,   41,   40,   35,   38,     ,     ,  24,
EP, 15, 2025100612, 03, FNV3,  42, 153N, 1176W,  44, 1001, XX,  50, NEQ,    1,    1,    1,    2,     ,     ,  24,
EP, 15, 2025100612, 03, FNV3,  48, 153N, 1167W,  43, 1002, XX,  34, NEQ,   29,   31,   26,   24,     ,     ,  23,
EP, 15, 2025100612, 03, FNV3,  48, 153N, 1167W,  43, 1002, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  23,
EP, 15, 2025100612, 03, FNV3,  54, 155N, 1156W,  40, 1002, XX,  34, NEQ,   32,   29,   25,   24,     ,     ,  30,
EP, 15, 2025100612, 03, FNV3,  60, 159N, 1141W,  36, 1003, XX,  34, NEQ,   15,   16,   14,   13,     ,     ,  29,
EP, 15, 2025100612, 03, FNV3,  66, 165N, 1125W,  32, 1005, XX,  34, NEQ,    9,    7,    6,    6,     ,     ,  36,
EP, 15, 2025100612, 03, FNV3,  72, 169N, 1110W,  26, 1007, XX,  34, NEQ,    0,    1,    0,    0,     ,     ,  41,
EP, 15, 2025100612, 03, FNV3,  78, 169N, 1099W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  41,
EP, 16, 2025100612, 03, FNV3,   0, 173N, 1073W,  76,  973, XX,  34, NEQ,  180,  140,  130,  150,     ,     ,  45,
EP, 16, 2025100612, 03, FNV3,   0, 173N, 1073W,  76,  973, XX,  50, NEQ,   50,   60,   60,     ,     ,     ,  45,
EP, 16, 2025100612, 03, FNV3,   0, 173N, 1073W,  76,  973, XX,  64, NEQ,     ,   45,     ,     ,     ,     ,  45,
EP, 16, 2025100612, 03, FNV3,   6, 179N, 1079W,  95,  964, XX,  34, NEQ,  123,  112,   90,  105,     ,     ,  21,
EP, 16, 2025100612, 03, FNV3,   6, 179N, 1079W,  95,  964, XX,  50, NEQ,   59,   51,   41,   50,     ,     ,  21,
EP, 16, 2025100612, 03, FNV3,   6, 179N, 1079W,  95,  964, XX,  64, NEQ,   31,   25,   20,   24,     ,     ,  21,
EP, 16, 2025100612, 03, FNV3,  12, 185N, 1084W,  98,  960, XX,  34, NEQ,  135,  124,  101,  115,     ,     ,  19,
EP, 16, 2025100612, 03, FNV3,  12, 185N, 1084W,  98,  960, XX,  50, NEQ,   65,   56,   44,   55,     ,     ,  19,
EP, 16, 2025100612, 03, FNV3,  12, 185N, 1084W,  98,  960, XX,  64, NEQ,   33,   29,   23,   28,     ,     ,  19,
EP, 16, 2025100612, 03, FNV3,  18, 190N, 1091W,  99,  961, XX,  34, NEQ,  132,  117,   97,  115,     ,     ,  19,
EP, 16, 2025100612, 03, FNV3,  18, 190N, 1091W,  99,  961, XX,  50, NEQ,   65,   54,   43,   55,     ,     ,  19,
EP, 16, 2025100612, 03, FNV3,  18, 190N, 1091W,  99,  961, XX,  64, NEQ,   34,   29,   23,   29,     ,     ,  19,
EP, 16, 2025100612, 03, FNV3,  24, 195N, 1098W,  97,  960, XX,  34, NEQ,  132,  117,   97,  115,     ,     ,  21,
EP, 16, 2025100612, 03, FNV3,  24, 195N, 1098W,  97,  960, XX,  50, NEQ,   67,   57,   46,   57,     ,     ,  21,
EP, 16, 2025100612, 03, FNV3,  24, 195N, 1098W,  97,  960, XX,  64, NEQ,   36,   30,   25,   30,     ,     ,  21,
EP, 16, 2025100612, 03, FNV3,  30, 199N, 1103W,  93,  964, XX,  34, NEQ,  138,  120,  102,  121,     ,     ,  19,
EP, 16, 2025100612, 03, FNV3,  30, 199N, 1103W,  93,  964, XX,  50, NEQ,   69,   59,   48,   59,     ,     ,  19,
EP, 16, 2025100612, 03, FNV3,  30, 199N, 1103W,  93,  964, XX,  64, NEQ,   36,   31,   25,   30,     ,     ,  19,
EP, 16, 2025100612, 03, FNV3,  36, 203N, 1109W,  96,  961, XX,  34, NEQ,  134,  123,  102,  119,     ,     ,  18,
EP, 16, 2025100612, 03, FNV3,  36, 203N, 1109W,  96,  961, XX,  50, NEQ,   67,   57,   47,   58,     ,     ,  18,
EP, 16, 2025100612, 03, FNV3,  36, 203N, 1109W,  96,  961, XX,  64, NEQ,   36,   32,   26,   31,     ,     ,  18,
EP, 16, 2025100612, 03, FNV3,  42, 208N, 1115W,  89,  968, XX,  34, NEQ,  127,  112,   96,  114,     ,     ,  21,
EP, 16, 2025100612, 03, FNV3,  42, 208N, 1115W,  89,  968, XX,  50, NEQ,   65,   55,   46,   57,     ,     ,  21,
EP, 16, 2025100612, 03, FNV3,  42, 208N, 1115W,  89,  968, XX,  64, NEQ,   35,   30,   24,   30,     ,     ,  21,
EP, 16, 2025100612, 03, FNV3,  48, 212N, 1121W,  87,  968, XX,  34, NEQ,  125,  109,   90,  109,     ,     ,  23,
EP, 16, 2025100612, 03, FNV3,  48, 212N, 1121W,  87,  968, XX,  50, NEQ,   65,   55,   44,   55,     ,     ,  23,
EP, 16, 2025100612, 03, FNV3,  48, 212N, 1121W,  87,  968, XX,  64, NEQ,   35,   29,   23,   29,     ,     ,  23,
EP, 16, 2025100612, 03, FNV3,  54, 218N, 1127W,  83,  972, XX,  34, NEQ,  131,  114,   94,  117,     ,     ,  24,
EP, 16, 2025100612, 03, FNV3,  54, 218N, 1127W,  83,  972, XX,  50, NEQ,   68,   57,   46,   58,     ,     ,  24,
EP, 16, 2025100612, 03, FNV3,  54, 218N, 1127W,  83,  972, XX,  64, NEQ,   36,   30,   24,   29,     ,     ,  24,
EP, 16, 2025100612, 03, FNV3,  60, 224N, 1134W,  83,  971, XX,  34, NEQ,  121,  107,   87,  106,     ,     ,  24,
