# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 10, 2025100906, 03, FNV3,   0, 155N,  571W,  54,  999, XX,  34, NEQ,  130,  150,     ,   70,     ,     ,  15,
AL, 10, 2025100906, 03, FNV3,   0, 155N,  571W,  54,  999, XX,  50, NEQ,   80,   50,     ,     ,     ,     ,  15,
AL, 10, 2025100906, 03, FNV3,   6, 159N,  586W,  56,  999, XX,  34, NEQ,  115,   93,   58,   90,     ,     ,  34,
AL, 10, 2025100906, 03, FNV3,   6, 159N,  586W,  56,  999, XX,  50, NEQ,   40,   22,   15,   21,     ,     ,  34,
AL, 10, 2025100906, 03, FNV3,  12, 166N,  598W,  58,  998, XX,  34, NEQ,  123,   99,   57,   93,     ,     ,  36,
AL, 10, 2025100906, 03, FNV3,  12, 166N,  598W,  58,  998, XX,  50, NEQ,   45,   24,   15,   23,     ,     ,  36,
AL, 10, 2025100906, 03, FNV3,  12, 166N,  598W,  58,  998, XX,  64, NEQ,    4,    0,    0,    0,     ,     ,  36,
AL, 10, 2025100906, 03, FNV3,  18, 174N,  609W,  57,  998, XX,  34, NEQ,  115,   95,   55,   87,     ,     ,  38,
AL, 10, 2025100906, 03, FNV3,  18, 174N,  609W,  57,  998, XX,  50, NEQ,   41,   21,   13,   19,     ,     ,  38,
AL, 10, 2025100906, 03, FNV3,  18, 174N,  609W,  57,  998, XX,  64, NEQ,    2,    1,    1,    2,     ,     ,  38,
AL, 10, 2025100906, 03, FNV3,  24, 183N,  616W,  56,  999, XX,  34, NEQ,  110,   91,   54,   81,     ,     ,  36,
AL, 10, 2025100906, 03, FNV3,  24, 183N,  616W,  56,  999, XX,  50, NEQ,   36,   15,    9,   14,     ,     ,  36,
AL, 10, 2025100906, 03, FNV3,  24, 183N,  616W,  56,  999, XX,  64, NEQ,    2,    0,    0,    0,     ,     ,  36,
AL, 10, 2025100906, 03, FNV3,  30, 194N,  624W,  57,  998, XX,  34, NEQ,  106,   87,   50,   77,     ,     ,  33,
AL, 10, 2025100906, 03, FNV3,  30, 194N,  624W,  57,  998, XX,  50, NEQ,   35,   20,   12,   17,     ,     ,  33,
AL, 10, 2025100906, 03, FNV3,  30, 194N,  624W,  57,  998, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  33,
AL, 10, 2025100906, 03, FNV3,  36, 207N,  628W,  54,  999, XX,  34, NEQ,  108,   96,   58,   79,     ,     ,  38,
AL, 10, 2025100906, 03, FNV3,  36, 207N,  628W,  54,  999, XX,  50, NEQ,   26,   16,   10,   13,     ,     ,  38,
AL, 10, 2025100906, 03, FNV3,  36, 207N,  628W,  54,  999, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  38,
AL, 10, 2025100906, 03, FNV3,  42, 220N,  630W,  54,  998, XX,  34, NEQ,   90,   81,   47,   64,     ,     ,  39,
AL, 10, 2025100906, 03, FNV3,  42, 220N,  630W,  54,  998, XX,  50, NEQ,   24,   16,    9,   13,     ,     ,  39,
AL, 10, 2025100906, 03, FNV3,  42, 220N,  630W,  54,  998, XX,  64, NEQ,    4,    2,    1,    2,     ,     ,  39,
