# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 97, 2025101200, 03, FNV3,   0,  81N,  317W,  25, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  90,
EP, 17, 2025101200, 03, FNV3,   0, 225N, 1100W,  25, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  25,
EP, 17, 2025101200, 03, FNV3,   6, 239N, 1102W,  29, 1005, XX,  34, NEQ,    4,    3,    2,    3,     ,     ,  43,
EP, 17, 2025101200, 03, FNV3,  12, 255N, 1106W,  31, 1003, XX,  34, NEQ,    9,   11,    5,    6,     ,     ,  43,
EP, 17, 2025101200, 03, FNV3,  18, 272N, 1109W,  31, 1002, XX,  34, NEQ,   15,   11,    5,    6,     ,     ,  51,
WP, 29, 2025101200, 03, FNV3,   0, 301N, 1335E,  60,  984, XX,  34, NEQ,   65,   95,   25,   40,     ,     ,  25,
WP, 29, 2025101200, 03, FNV3,   6, 308N, 1349E,  69,  979, XX,  34, NEQ,   96,  113,   88,   76,     ,     ,  13,
WP, 29, 2025101200, 03, FNV3,   6, 308N, 1349E,  69,  979, XX,  50, NEQ,   40,   43,   33,   31,     ,     ,  13,
WP, 29, 2025101200, 03, FNV3,   6, 308N, 1349E,  69,  979, XX,  64, NEQ,   13,   13,   10,   10,     ,     ,  13,
WP, 29, 2025101200, 03, FNV3,  12, 314N, 1365E,  70,  977, XX,  34, NEQ,  101,  120,   97,   83,     ,     ,  18,
WP, 29, 2025101200, 03, FNV3,  12, 314N, 1365E,  70,  977, XX,  50, NEQ,   48,   52,   43,   39,     ,     ,  18,
WP, 29, 2025101200, 03, FNV3,  12, 314N, 1365E,  70,  977, XX,  64, NEQ,   17,   19,   14,   14,     ,     ,  18,
WP, 29, 2025101200, 03, FNV3,  18, 321N, 1382E,  72,  975, XX,  34, NEQ,  103,  124,   99,   83,     ,     ,  15,
WP, 29, 2025101200, 03, FNV3,  18, 321N, 1382E,  72,  975, XX,  50, NEQ,   51,   55,   45,   41,     ,     ,  15,
WP, 29, 2025101200, 03, FNV3,  18, 321N, 1382E,  72,  975, XX,  64, NEQ,   20,   21,   16,   16,     ,     ,  15,
WP, 29, 2025101200, 03, FNV3,  24, 327N, 1403E,  73,  973, XX,  34, NEQ,  106,  129,  107,   86,     ,     ,  18,
WP, 29, 2025101200, 03, FNV3,  24, 327N, 1403E,  73,  973, XX,  50, NEQ,   55,   61,   49,   45,     ,     ,  18,
WP, 29, 2025101200, 03, FNV3,  24, 327N, 1403E,  73,  973, XX,  64, NEQ,   21,   24,   18,   18,     ,     ,  18,
WP, 29, 2025101200, 03, FNV3,  30, 334N, 1425E,  76,  970, XX,  34, NEQ,  113,  141,  116,   91,     ,     ,  18,
WP, 29, 2025101200, 03, FNV3,  30, 334N, 1425E,  76,  970, XX,  50, NEQ,   62,   68,   58,   51,     ,     ,  18,
WP, 29, 2025101200, 03, FNV3,  30, 334N, 1425E,  76,  970, XX,  64, NEQ,   26,   27,   22,   22,     ,     ,  18,
WP, 29, 2025101200, 03, FNV3,  36, 339N, 1451E,  72,  973, XX,  34, NEQ,  122,  145,  123,  103,     ,     ,  21,
