# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 98, 2025102000, 03, FNV3,   0, 127N,  629W,  29, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  60,
AL, 98, 2025102000, 03, FNV3,   6, 134N,  649W,  31, 1008, XX,  34, NEQ,    6,    2,    2,    2,     ,     ,  63,
IO, 04, 2025102000, 03, FNV3,   0,  89S,  674E,  45,  996, XX,  34, NEQ,   70,  115,  205,  105,     ,     ,  40,
IO, 04, 2025102000, 03, FNV3,   6,  88S,  677E,  45,  992, XX,  34, NEQ,   99,  103,   91,   87,     ,     ,  44,
IO, 04, 2025102000, 03, FNV3,   6,  88S,  677E,  45,  992, XX,  50, NEQ,    3,    3,    1,    3,     ,     ,  44,
IO, 04, 2025102000, 03, FNV3,  12,  90S,  672E,  47,  992, XX,  34, NEQ,   95,  105,   92,   84,     ,     ,  40,
IO, 04, 2025102000, 03, FNV3,  12,  90S,  672E,  47,  992, XX,  50, NEQ,    2,    5,    5,    3,     ,     ,  40,
IO, 04, 2025102000, 03, FNV3,  18,  93S,  665E,  46,  993, XX,  34, NEQ,  102,  110,   98,   91,     ,     ,  39,
IO, 04, 2025102000, 03, FNV3,  18,  93S,  665E,  46,  993, XX,  50, NEQ,    5,    7,    5,    5,     ,     ,  39,
IO, 04, 2025102000, 03, FNV3,  18,  93S,  665E,  46,  993, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  39,
IO, 04, 2025102000, 03, FNV3,  24,  95S,  658E,  47,  992, XX,  34, NEQ,  104,  113,  102,   94,     ,     ,  39,
IO, 04, 2025102000, 03, FNV3,  24,  95S,  658E,  47,  992, XX,  50, NEQ,   11,    9,    8,    6,     ,     ,  39,
IO, 04, 2025102000, 03, FNV3,  24,  95S,  658E,  47,  992, XX,  64, NEQ,    0,    1,    1,    0,     ,     ,  39,
IO, 04, 2025102000, 03, FNV3,  30,  96S,  652E,  46,  993, XX,  34, NEQ,   87,   93,   85,   77,     ,     ,  39,
IO, 04, 2025102000, 03, FNV3,  30,  96S,  652E,  46,  993, XX,  50, NEQ,   12,   10,    8,    8,     ,     ,  39,
IO, 04, 2025102000, 03, FNV3,  36,  99S,  645E,  49,  991, XX,  34, NEQ,  108,  119,  108,   95,     ,     ,  44,
IO, 04, 2025102000, 03, FNV3,  36,  99S,  645E,  49,  991, XX,  50, NEQ,   14,   14,   13,   10,     ,     ,  44,
IO, 04, 2025102000, 03, FNV3,  36,  99S,  645E,  49,  991, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  44,
IO, 04, 2025102000, 03, FNV3,  42, 101S,  638E,  47,  992, XX,  34, NEQ,   90,   99,   88,   83,     ,     ,  43,
IO, 04, 2025102000, 03, FNV3,  42, 101S,  638E,  47,  992, XX,  50, NEQ,   12,   13,   11,   10,     ,     ,  43,
IO, 04, 2025102000, 03, FNV3,  42, 101S,  638E,  47,  992, XX,  64, NEQ,    2,    3,    2,    2,     ,     ,  43,
