# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 98, 2025102006, 03, FNV3,   0, 129N,  654W,  35, 1009, XX,  34, NEQ,   90,     ,     ,     ,     ,     ,  80,
AL, 98, 2025102006, 03, FNV3,   6, 137N,  662W,  32, 1008, XX,  34, NEQ,   10,    2,    1,    2,     ,     ,  53,
IO, 04, 2025102006, 03, FNV3,   0,  90S,  670E,  51,  994, XX,  34, NEQ,   95,  115,  205,  105,     ,     ,  40,
IO, 04, 2025102006, 03, FNV3,   6,  89S,  671E,  56,  987, XX,  34, NEQ,   96,  106,   98,   86,     ,     ,  29,
IO, 04, 2025102006, 03, FNV3,   6,  89S,  671E,  56,  987, XX,  50, NEQ,   16,   24,   16,   13,     ,     ,  29,
IO, 04, 2025102006, 03, FNV3,   6,  89S,  671E,  56,  987, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  29,
IO, 04, 2025102006, 03, FNV3,  12,  92S,  664E,  55,  988, XX,  34, NEQ,  105,  115,  110,   98,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3,  12,  92S,  664E,  55,  988, XX,  50, NEQ,   22,   27,   24,   18,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3,  12,  92S,  664E,  55,  988, XX,  64, NEQ,    1,    1,    2,    1,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3,  18,  94S,  658E,  58,  987, XX,  34, NEQ,  111,  124,  117,  101,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3,  18,  94S,  658E,  58,  987, XX,  50, NEQ,   33,   38,   33,   27,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3,  18,  94S,  658E,  58,  987, XX,  64, NEQ,    3,    6,    4,    3,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3,  24,  97S,  651E,  54,  989, XX,  34, NEQ,  100,  112,  106,   92,     ,     ,  31,
IO, 04, 2025102006, 03, FNV3,  24,  97S,  651E,  54,  989, XX,  50, NEQ,   20,   26,   20,   16,     ,     ,  31,
IO, 04, 2025102006, 03, FNV3,  24,  97S,  651E,  54,  989, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  31,
IO, 04, 2025102006, 03, FNV3,  30, 100S,  645E,  56,  988, XX,  34, NEQ,  114,  129,  121,  104,     ,     ,  34,
IO, 04, 2025102006, 03, FNV3,  30, 100S,  645E,  56,  988, XX,  50, NEQ,   35,   37,   34,   28,     ,     ,  34,
IO, 04, 2025102006, 03, FNV3,  30, 100S,  645E,  56,  988, XX,  64, NEQ,    4,    5,    3,    3,     ,     ,  34,
IO, 04, 2025102006, 03, FNV3,  36, 102S,  637E,  52,  990, XX,  34, NEQ,  106,  117,  111,   99,     ,     ,  36,
IO, 04, 2025102006, 03, FNV3,  36, 102S,  637E,  52,  990, XX,  50, NEQ,   22,   23,   23,   18,     ,     ,  36,
IO, 04, 2025102006, 03, FNV3,  36, 102S,  637E,  52,  990, XX,  64, NEQ,    2,    3,    3,    2,     ,     ,  36,
IO, 04, 2025102006, 03, FNV3,  42, 104S,  629E,  53,  990, XX,  34, NEQ,  107,  121,  110,   99,     ,     ,  34,
IO, 04, 2025102006, 03, FNV3,  42, 104S,  629E,  53,  990, XX,  50, NEQ,   23,   26,   22,   19,     ,     ,  34,
IO, 04, 2025102006, 03, FNV3,  42, 104S,  629E,  53,  990, XX,  64, NEQ,    4,    5,    4,    4,     ,     ,  34,
IO, 04, 2025102006, 03, FNV3,  48, 105S,  621E,  52,  990, XX,  34, NEQ,  106,  116,  109,   97,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3,  48, 105S,  621E,  52,  990, XX,  50, NEQ,   18,   20,   18,   15,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3,  48, 105S,  621E,  52,  990, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3,  54, 108S,  614E,  52,  991, XX,  34, NEQ,   95,  108,  100,   87,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3,  54, 108S,  614E,  52,  991, XX,  50, NEQ,   27,   30,   25,   22,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3,  54, 108S,  614E,  52,  991, XX,  64, NEQ,    3,    4,    2,    2,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3,  60, 109S,  606E,  52,  991, XX,  34, NEQ,   99,  108,  102,   92,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3,  60, 109S,  606E,  52,  991, XX,  50, NEQ,   25,   29,   23,   23,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3,  60, 109S,  606E,  52,  991, XX,  64, NEQ,    3,    5,    4,    3,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3,  66, 110S,  598E,  51,  991, XX,  34, NEQ,  100,  108,  101,   93,     ,     ,  36,
IO, 04, 2025102006, 03, FNV3,  66, 110S,  598E,  51,  991, XX,  50, NEQ,   22,   24,   21,   18,     ,     ,  36,
IO, 04, 2025102006, 03, FNV3,  66, 110S,  598E,  51,  991, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  36,
IO, 04, 2025102006, 03, FNV3,  72, 110S,  590E,  49,  993, XX,  34, NEQ,   82,   92,   88,   78,     ,     ,  32,
