# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025102212, 03, FNV3,   0, 143N,  735W,  45, 1001, XX,  34, NEQ,   90,   90,     ,   60,     ,     ,  40,
AL, 13, 2025102212, 03, FNV3,   6, 143N,  736W,  55,  996, XX,  34, NEQ,   82,   66,   39,   61,     ,     ,  35,
AL, 13, 2025102212, 03, FNV3,   6, 143N,  736W,  55,  996, XX,  50, NEQ,   27,   14,    8,   13,     ,     ,  35,
AL, 13, 2025102212, 03, FNV3,   6, 143N,  736W,  55,  996, XX,  64, NEQ,    3,    1,    0,    1,     ,     ,  35,
AL, 13, 2025102212, 03, FNV3,  12, 145N,  742W,  54,  996, XX,  34, NEQ,   89,   74,   48,   66,     ,     ,  39,
AL, 13, 2025102212, 03, FNV3,  12, 145N,  742W,  54,  996, XX,  50, NEQ,   26,   15,   10,   13,     ,     ,  39,
AL, 13, 2025102212, 03, FNV3,  12, 145N,  742W,  54,  996, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  39,
AL, 13, 2025102212, 03, FNV3,  18, 148N,  747W,  48, 1000, XX,  34, NEQ,   99,   80,   53,   72,     ,     ,  50,
AL, 13, 2025102212, 03, FNV3,  18, 148N,  747W,  48, 1000, XX,  50, NEQ,   18,    9,    6,    8,     ,     ,  50,
AL, 13, 2025102212, 03, FNV3,  24, 152N,  750W,  49, 1000, XX,  34, NEQ,   89,   73,   47,   65,     ,     ,  50,
AL, 13, 2025102212, 03, FNV3,  24, 152N,  750W,  49, 1000, XX,  50, NEQ,   14,    5,    3,    4,     ,     ,  50,
AL, 13, 2025102212, 03, FNV3,  30, 153N,  752W,  46, 1001, XX,  34, NEQ,   87,   69,   43,   62,     ,     ,  54,
AL, 13, 2025102212, 03, FNV3,  30, 153N,  752W,  46, 1001, XX,  50, NEQ,   16,    6,    4,    5,     ,     ,  54,
AL, 13, 2025102212, 03, FNV3,  30, 153N,  752W,  46, 1001, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  54,
AL, 13, 2025102212, 03, FNV3,  36, 154N,  751W,  46,  999, XX,  34, NEQ,   78,   63,   40,   53,     ,     ,  51,
AL, 13, 2025102212, 03, FNV3,  36, 154N,  751W,  46,  999, XX,  50, NEQ,   11,    3,    1,    3,     ,     ,  51,
AL, 13, 2025102212, 03, FNV3,  36, 154N,  751W,  46,  999, XX,  64, NEQ,    0,    0,    0,    1,     ,     ,  51,
AL, 13, 2025102212, 03, FNV3,  42, 154N,  749W,  46, 1000, XX,  34, NEQ,   84,   70,   49,   61,     ,     ,  50,
