# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025102300, 03, FNV3,   0, 143N,  745W,  45, 1002, XX,  34, NEQ,  100,   90,     ,   60,     ,     ,  60,
AL, 13, 2025102300, 03, FNV3,   6, 147N,  746W,  46, 1001, XX,  34, NEQ,   97,   75,   53,   70,     ,     ,  59,
AL, 13, 2025102300, 03, FNV3,   6, 147N,  746W,  46, 1001, XX,  50, NEQ,    9,    4,    6,    4,     ,     ,  59,
AL, 13, 2025102300, 03, FNV3,  12, 152N,  749W,  46, 1002, XX,  34, NEQ,  104,   86,   57,   73,     ,     ,  57,
AL, 13, 2025102300, 03, FNV3,  12, 152N,  749W,  46, 1002, XX,  50, NEQ,   10,    3,    2,    4,     ,     ,  57,
AL, 13, 2025102300, 03, FNV3,  18, 154N,  751W,  46, 1000, XX,  34, NEQ,   86,   67,   42,   59,     ,     ,  47,
AL, 13, 2025102300, 03, FNV3,  18, 154N,  751W,  46, 1000, XX,  50, NEQ,    9,    4,    2,    3,     ,     ,  47,
AL, 13, 2025102300, 03, FNV3,  24, 154N,  750W,  47,  999, XX,  34, NEQ,   89,   74,   52,   64,     ,     ,  48,
AL, 13, 2025102300, 03, FNV3,  24, 154N,  750W,  47,  999, XX,  50, NEQ,   11,    5,    4,    4,     ,     ,  48,
AL, 13, 2025102300, 03, FNV3,  24, 154N,  750W,  47,  999, XX,  64, NEQ,    0,    0,    1,    0,     ,     ,  48,
AL, 13, 2025102300, 03, FNV3,  30, 154N,  746W,  50,  998, XX,  34, NEQ,   76,   66,   43,   57,     ,     ,  38,
AL, 13, 2025102300, 03, FNV3,  30, 154N,  746W,  50,  998, XX,  50, NEQ,   17,    6,    4,    6,     ,     ,  38,
AL, 13, 2025102300, 03, FNV3,  30, 154N,  746W,  50,  998, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  38,
AL, 13, 2025102300, 03, FNV3,  36, 156N,  742W,  55,  995, XX,  34, NEQ,   84,   72,   48,   64,     ,     ,  33,
AL, 13, 2025102300, 03, FNV3,  36, 156N,  742W,  55,  995, XX,  50, NEQ,   21,   12,    9,   11,     ,     ,  33,
AL, 13, 2025102300, 03, FNV3,  36, 156N,  742W,  55,  995, XX,  64, NEQ,    3,    1,    1,    1,     ,     ,  33,
AL, 13, 2025102300, 03, FNV3,  42, 159N,  741W,  59,  992, XX,  34, NEQ,   88,   77,   47,   67,     ,     ,  33,
AL, 13, 2025102300, 03, FNV3,  42, 159N,  741W,  59,  992, XX,  50, NEQ,   27,   19,   11,   17,     ,     ,  33,
AL, 13, 2025102300, 03, FNV3,  42, 159N,  741W,  59,  992, XX,  64, NEQ,    6,    2,    2,    2,     ,     ,  33,
AL, 13, 2025102300, 03, FNV3,  48, 162N,  740W,  65,  988, XX,  34, NEQ,   86,   75,   47,   64,     ,     ,  27,
AL, 13, 2025102300, 03, FNV3,  48, 162N,  740W,  65,  988, XX,  50, NEQ,   32,   23,   15,   20,     ,     ,  27,
AL, 13, 2025102300, 03, FNV3,  48, 162N,  740W,  65,  988, XX,  64, NEQ,    9,    5,    3,    5,     ,     ,  27,
AL, 13, 2025102300, 03, FNV3,  54, 165N,  740W,  74,  981, XX,  34, NEQ,   98,   85,   55,   77,     ,     ,  22,
AL, 13, 2025102300, 03, FNV3,  54, 165N,  740W,  74,  981, XX,  50, NEQ,   40,   30,   21,   29,     ,     ,  22,
AL, 13, 2025102300, 03, FNV3,  54, 165N,  740W,  74,  981, XX,  64, NEQ,   13,    8,    6,    8,     ,     ,  22,
AL, 13, 2025102300, 03, FNV3,  60, 167N,  741W,  79,  978, XX,  34, NEQ,   94,   80,   53,   77,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3,  60, 167N,  741W,  79,  978, XX,  50, NEQ,   41,   33,   22,   32,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3,  60, 167N,  741W,  79,  978, XX,  64, NEQ,   18,   14,   11,   14,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3,  66, 168N,  743W,  84,  975, XX,  34, NEQ,  101,   84,   53,   79,     ,     ,  18,
AL, 13, 2025102300, 03, FNV3,  66, 168N,  743W,  84,  975, XX,  50, NEQ,   45,   35,   23,   36,     ,     ,  18,
AL, 13, 2025102300, 03, FNV3,  66, 168N,  743W,  84,  975, XX,  64, NEQ,   18,   12,    9,   13,     ,     ,  18,
