# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025102600, 03, FNV3,   0, 165N,  757W,  89,  971, XX,  34, NEQ,  140,  110,   40,   80,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,   0, 165N,  757W,  89,  971, XX,  50, NEQ,   30,   30,   20,   30,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,   0, 165N,  757W,  89,  971, XX,  64, NEQ,   20,   15,   15,   20,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,   6, 164N,  761W, 109,  956, XX,  34, NEQ,   95,   75,   55,   84,     ,     ,  11,
AL, 13, 2025102600, 03, FNV3,   6, 164N,  761W, 109,  956, XX,  50, NEQ,   45,   34,   26,   39,     ,     ,  11,
AL, 13, 2025102600, 03, FNV3,   6, 164N,  761W, 109,  956, XX,  64, NEQ,   24,   19,   15,   21,     ,     ,  11,
AL, 13, 2025102600, 03, FNV3,  12, 163N,  765W, 107,  957, XX,  34, NEQ,  112,   88,   62,   97,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,  12, 163N,  765W, 107,  957, XX,  50, NEQ,   54,   42,   31,   46,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,  12, 163N,  765W, 107,  957, XX,  64, NEQ,   30,   25,   20,   26,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,  18, 163N,  770W, 116,  949, XX,  34, NEQ,  112,   88,   64,   99,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  18, 163N,  770W, 116,  949, XX,  50, NEQ,   53,   40,   29,   46,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  18, 163N,  770W, 116,  949, XX,  64, NEQ,   28,   22,   18,   24,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  24, 163N,  774W, 124,  938, XX,  34, NEQ,  121,   97,   73,  110,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,  24, 163N,  774W, 124,  938, XX,  50, NEQ,   54,   41,   31,   47,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,  24, 163N,  774W, 124,  938, XX,  64, NEQ,   31,   25,   20,   26,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,  30, 163N,  778W, 128,  935, XX,  34, NEQ,  118,   95,   73,  105,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  30, 163N,  778W, 128,  935, XX,  50, NEQ,   57,   45,   35,   50,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  30, 163N,  778W, 128,  935, XX,  64, NEQ,   32,   26,   21,   28,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  36, 163N,  781W, 130,  934, XX,  34, NEQ,  123,  104,   79,  110,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  36, 163N,  781W, 130,  934, XX,  50, NEQ,   58,   47,   36,   51,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  36, 163N,  781W, 130,  934, XX,  64, NEQ,   33,   27,   22,   29,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  42, 164N,  783W, 132,  930, XX,  34, NEQ,  122,  106,   76,  107,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  42, 164N,  783W, 132,  930, XX,  50, NEQ,   56,   46,   34,   48,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  42, 164N,  783W, 132,  930, XX,  64, NEQ,   30,   25,   19,   25,     ,     ,  13,
AL, 13, 2025102600, 03, FNV3,  48, 166N,  783W, 132,  930, XX,  34, NEQ,  132,  124,   93,  113,     ,     ,  14,
AL, 13, 2025102600, 03, FNV3,  48, 166N,  783W, 132,  930, XX,  50, NEQ,   60,   52,   40,   50,     ,     ,  14,
AL, 13, 2025102600, 03, FNV3,  48, 166N,  783W, 132,  930, XX,  64, NEQ,   32,   28,   22,   27,     ,     ,  14,
AL, 13, 2025102600, 03, FNV3,  54, 170N,  783W, 132,  930, XX,  34, NEQ,  136,  135,   93,  112,     ,     ,  14,
AL, 13, 2025102600, 03, FNV3,  54, 170N,  783W, 132,  930, XX,  50, NEQ,   65,   59,   44,   53,     ,     ,  14,
AL, 13, 2025102600, 03, FNV3,  54, 170N,  783W, 132,  930, XX,  64, NEQ,   35,   31,   25,   29,     ,     ,  14,
AL, 13, 2025102600, 03, FNV3,  60, 177N,  780W, 127,  935, XX,  34, NEQ,  136,  136,   93,  110,     ,     ,  11,
AL, 13, 2025102600, 03, FNV3,  60, 177N,  780W, 127,  935, XX,  50, NEQ,   65,   61,   46,   54,     ,     ,  11,
AL, 13, 2025102600, 03, FNV3,  60, 177N,  780W, 127,  935, XX,  64, NEQ,   36,   33,   27,   31,     ,     ,  11,
AL, 13, 2025102600, 03, FNV3,  66, 183N,  776W, 119,  943, XX,  34, NEQ,  138,  140,   91,  107,     ,     ,  11,
AL, 13, 2025102600, 03, FNV3,  66, 183N,  776W, 119,  943, XX,  50, NEQ,   66,   63,   46,   54,     ,     ,  11,
AL, 13, 2025102600, 03, FNV3,  66, 183N,  776W, 119,  943, XX,  64, NEQ,   37,   34,   27,   31,     ,     ,  11,
AL, 13, 2025102600, 03, FNV3,  72, 192N,  769W, 113,  947, XX,  34, NEQ,  144,  149,  102,  114,     ,     ,  12,
AL, 13, 2025102600, 03, FNV3,  72, 192N,  769W, 113,  947, XX,  50, NEQ,   70,   68,   52,   59,     ,     ,  12,
AL, 13, 2025102600, 03, FNV3,  72, 192N,  769W, 113,  947, XX,  64, NEQ,   40,   37,   30,   34,     ,     ,  12,
AL, 13, 2025102600, 03, FNV3,  78, 201N,  764W, 103,  956, XX,  34, NEQ,  146,  143,   99,  116,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,  78, 201N,  764W, 103,  956, XX,  50, NEQ,   75,   72,   55,   64,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,  78, 201N,  764W, 103,  956, XX,  64, NEQ,   42,   40,   32,   37,     ,     ,  15,
AL, 13, 2025102600, 03, FNV3,  84, 210N,  757W,  97,  962, XX,  34, NEQ,  141,  141,   97,  111,     ,     ,  18,
AL, 13, 2025102600, 03, FNV3,  84, 210N,  757W,  97,  962, XX,  50, NEQ,   73,   70,   54,   62,     ,     ,  18,
AL, 13, 2025102600, 03, FNV3,  84, 210N,  757W,  97,  962, XX,  64, NEQ,   43,   40,   32,   37,     ,     ,  18,
AL, 13, 2025102600, 03, FNV3,  90, 220N,  750W,  95,  962, XX,  34, NEQ,  143,  142,   94,  109,     ,     ,  18,
AL, 13, 2025102600, 03, FNV3,  90, 220N,  750W,  95,  962, XX,  50, NEQ,   73,   69,   51,   60,     ,     ,  18,
AL, 13, 2025102600, 03, FNV3,  90, 220N,  750W,  95,  962, XX,  64, NEQ,   40,   37,   29,   34,     ,     ,  18,
AL, 13, 2025102600, 03, FNV3,  96, 230N,  743W,  99,  959, XX,  34, NEQ,  142,  148,  100,  108,     ,     ,  19,
AL, 13, 2025102600, 03, FNV3,  96, 230N,  743W,  99,  959, XX,  50, NEQ,   73,   71,   54,   60,     ,     ,  19,
AL, 13, 2025102600, 03, FNV3,  96, 230N,  743W,  99,  959, XX,  64, NEQ,   42,   40,   32,   36,     ,     ,  19,
