# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025102612, 03, FNV3,   0, 164N,  764W, 121,  952, XX,  34, NEQ,  150,  120,   50,   80,     ,     ,  10,
AL, 13, 2025102612, 03, FNV3,   0, 164N,  764W, 121,  952, XX,  50, NEQ,   35,   30,   30,   30,     ,     ,  10,
AL, 13, 2025102612, 03, FNV3,   0, 164N,  764W, 121,  952, XX,  64, NEQ,   20,   20,   20,   20,     ,     ,  10,
AL, 13, 2025102612, 03, FNV3,   6, 165N,  769W, 123,  942, XX,  34, NEQ,  105,   82,   56,   93,     ,     ,  12,
AL, 13, 2025102612, 03, FNV3,   6, 165N,  769W, 123,  942, XX,  50, NEQ,   49,   36,   26,   42,     ,     ,  12,
AL, 13, 2025102612, 03, FNV3,   6, 165N,  769W, 123,  942, XX,  64, NEQ,   27,   21,   17,   23,     ,     ,  12,
AL, 13, 2025102612, 03, FNV3,  12, 165N,  773W, 130,  934, XX,  34, NEQ,  128,  103,   77,  116,     ,     ,  15,
AL, 13, 2025102612, 03, FNV3,  12, 165N,  773W, 130,  934, XX,  50, NEQ,   56,   42,   32,   50,     ,     ,  15,
AL, 13, 2025102612, 03, FNV3,  12, 165N,  773W, 130,  934, XX,  64, NEQ,   33,   27,   22,   29,     ,     ,  15,
AL, 13, 2025102612, 03, FNV3,  18, 165N,  778W, 132,  933, XX,  34, NEQ,  113,   91,   71,  103,     ,     ,  14,
AL, 13, 2025102612, 03, FNV3,  18, 165N,  778W, 132,  933, XX,  50, NEQ,   55,   42,   33,   48,     ,     ,  14,
AL, 13, 2025102612, 03, FNV3,  18, 165N,  778W, 132,  933, XX,  64, NEQ,   32,   26,   21,   27,     ,     ,  14,
AL, 13, 2025102612, 03, FNV3,  24, 164N,  781W, 131,  932, XX,  34, NEQ,  124,   97,   78,  113,     ,     ,  13,
AL, 13, 2025102612, 03, FNV3,  24, 164N,  781W, 131,  932, XX,  50, NEQ,   59,   46,   36,   52,     ,     ,  13,
AL, 13, 2025102612, 03, FNV3,  24, 164N,  781W, 131,  932, XX,  64, NEQ,   33,   27,   22,   29,     ,     ,  13,
AL, 13, 2025102612, 03, FNV3,  30, 165N,  784W, 131,  931, XX,  34, NEQ,  120,  101,   77,  107,     ,     ,  13,
AL, 13, 2025102612, 03, FNV3,  30, 165N,  784W, 131,  931, XX,  50, NEQ,   57,   45,   35,   49,     ,     ,  13,
AL, 13, 2025102612, 03, FNV3,  30, 165N,  784W, 131,  931, XX,  64, NEQ,   31,   26,   21,   27,     ,     ,  13,
AL, 13, 2025102612, 03, FNV3,  36, 167N,  785W, 131,  929, XX,  34, NEQ,  140,  125,   92,  119,     ,     ,  14,
AL, 13, 2025102612, 03, FNV3,  36, 167N,  785W, 131,  929, XX,  50, NEQ,   61,   51,   37,   51,     ,     ,  14,
AL, 13, 2025102612, 03, FNV3,  36, 167N,  785W, 131,  929, XX,  64, NEQ,   33,   27,   22,   28,     ,     ,  14,
AL, 13, 2025102612, 03, FNV3,  42, 172N,  785W, 129,  932, XX,  34, NEQ,  136,  132,   92,  112,     ,     ,  13,
AL, 13, 2025102612, 03, FNV3,  42, 172N,  785W, 129,  932, XX,  50, NEQ,   66,   59,   45,   55,     ,     ,  13,
AL, 13, 2025102612, 03, FNV3,  42, 172N,  785W, 129,  932, XX,  64, NEQ,   35,   31,   25,   30,     ,     ,  13,
AL, 13, 2025102612, 03, FNV3,  48, 177N,  782W, 127,  933, XX,  34, NEQ,  136,  137,   93,  109,     ,     ,  12,
AL, 13, 2025102612, 03, FNV3,  48, 177N,  782W, 127,  933, XX,  50, NEQ,   66,   60,   44,   54,     ,     ,  12,
AL, 13, 2025102612, 03, FNV3,  48, 177N,  782W, 127,  933, XX,  64, NEQ,   35,   32,   25,   30,     ,     ,  12,
AL, 13, 2025102612, 03, FNV3,  54, 183N,  778W, 123,  939, XX,  34, NEQ,  135,  135,   89,  107,     ,     ,  11,
AL, 13, 2025102612, 03, FNV3,  54, 183N,  778W, 123,  939, XX,  50, NEQ,   66,   62,   46,   55,     ,     ,  11,
AL, 13, 2025102612, 03, FNV3,  54, 183N,  778W, 123,  939, XX,  64, NEQ,   36,   32,   26,   30,     ,     ,  11,
AL, 13, 2025102612, 03, FNV3,  60, 191N,  772W, 114,  947, XX,  34, NEQ,  142,  145,  100,  114,     ,     ,  15,
AL, 13, 2025102612, 03, FNV3,  60, 191N,  772W, 114,  947, XX,  50, NEQ,   69,   66,   50,   57,     ,     ,  15,
AL, 13, 2025102612, 03, FNV3,  60, 191N,  772W, 114,  947, XX,  64, NEQ,   38,   35,   28,   32,     ,     ,  15,
AL, 13, 2025102612, 03, FNV3,  66, 201N,  765W, 107,  952, XX,  34, NEQ,  143,  144,   97,  112,     ,     ,  14,
AL, 13, 2025102612, 03, FNV3,  66, 201N,  765W, 107,  952, XX,  50, NEQ,   72,   69,   52,   60,     ,     ,  14,
AL, 13, 2025102612, 03, FNV3,  66, 201N,  765W, 107,  952, XX,  64, NEQ,   40,   37,   30,   34,     ,     ,  14,
AL, 13, 2025102612, 03, FNV3,  72, 211N,  758W,  98,  961, XX,  34, NEQ,  148,  146,   96,  115,     ,     ,  17,
AL, 13, 2025102612, 03, FNV3,  72, 211N,  758W,  98,  961, XX,  50, NEQ,   75,   71,   54,   62,     ,     ,  17,
AL, 13, 2025102612, 03, FNV3,  72, 211N,  758W,  98,  961, XX,  64, NEQ,   41,   38,   31,   35,     ,     ,  17,
AL, 13, 2025102612, 03, FNV3,  78, 222N,  750W,  98,  960, XX,  34, NEQ,  146,  147,   95,  111,     ,     ,  18,
AL, 13, 2025102612, 03, FNV3,  78, 222N,  750W,  98,  960, XX,  50, NEQ,   75,   71,   53,   61,     ,     ,  18,
AL, 13, 2025102612, 03, FNV3,  78, 222N,  750W,  98,  960, XX,  64, NEQ,   42,   39,   31,   36,     ,     ,  18,
AL, 13, 2025102612, 03, FNV3,  84, 234N,  741W,  98,  960, XX,  34, NEQ,  150,  156,  106,  116,     ,     ,  19,
AL, 13, 2025102612, 03, FNV3,  84, 234N,  741W,  98,  960, XX,  50, NEQ,   76,   74,   57,   63,     ,     ,  19,
AL, 13, 2025102612, 03, FNV3,  84, 234N,  741W,  98,  960, XX,  64, NEQ,   44,   41,   33,   37,     ,     ,  19,
AL, 13, 2025102612, 03, FNV3,  90, 249N,  731W, 102,  957, XX,  34, NEQ,  153,  161,  108,  117,     ,     ,  18,
AL, 13, 2025102612, 03, FNV3,  90, 249N,  731W, 102,  957, XX,  50, NEQ,   80,   78,   59,   65,     ,     ,  18,
AL, 13, 2025102612, 03, FNV3,  90, 249N,  731W, 102,  957, XX,  64, NEQ,   46,   43,   35,   39,     ,     ,  18,
AL, 13, 2025102612, 03, FNV3,  96, 265N,  718W, 102,  956, XX,  34, NEQ,  156,  165,  111,  119,     ,     ,  20,
AL, 13, 2025102612, 03, FNV3,  96, 265N,  718W, 102,  956, XX,  50, NEQ,   81,   81,   61,   66,     ,     ,  20,
AL, 13, 2025102612, 03, FNV3,  96, 265N,  718W, 102,  956, XX,  64, NEQ,   45,   43,   34,   38,     ,     ,  20,
AL, 13, 2025102612, 03, FNV3, 102, 285N,  702W, 100,  954, XX,  34, NEQ,  169,  184,  130,  132,     ,     ,  22,
AL, 13, 2025102612, 03, FNV3, 102, 285N,  702W, 100,  954, XX,  50, NEQ,   89,   92,   72,   74,     ,     ,  22,
AL, 13, 2025102612, 03, FNV3, 102, 285N,  702W, 100,  954, XX,  64, NEQ,   48,   48,   39,   41,     ,     ,  22,
AL, 13, 2025102612, 03, FNV3, 108, 307N,  682W,  90,  961, XX,  34, NEQ,  181,  195,  143,  143,     ,     ,  27,
AL, 13, 2025102612, 03, FNV3, 108, 307N,  682W,  90,  961, XX,  50, NEQ,   98,  101,   82,   81,     ,     ,  27,
AL, 13, 2025102612, 03, FNV3, 108, 307N,  682W,  90,  961, XX,  64, NEQ,   50,   52,   42,   44,     ,     ,  27,
AL, 13, 2025102612, 03, FNV3, 114, 332N,  659W,  81,  966, XX,  34, NEQ,  197,  211,  156,  156,     ,     ,  33,
AL, 13, 2025102612, 03, FNV3, 114, 332N,  659W,  81,  966, XX,  50, NEQ,  104,  107,   87,   86,     ,     ,  33,
AL, 13, 2025102612, 03, FNV3, 114, 332N,  659W,  81,  966, XX,  64, NEQ,   46,   50,   38,   39,     ,     ,  33,
AL, 13, 2025102612, 03, FNV3, 120, 359N,  634W,  74,  968, XX,  34, NEQ,  216,  229,  178,  174,     ,     ,  45,
AL, 13, 2025102612, 03, FNV3, 120, 359N,  634W,  74,  968, XX,  50, NEQ,  113,  117,   96,   94,     ,     ,  45,
AL, 13, 2025102612, 03, FNV3, 120, 359N,  634W,  74,  968, XX,  64, NEQ,   45,   55,   38,   38,     ,     ,  45,
AL, 13, 2025102612, 03, FNV3, 126, 386N,  610W,  70,  969, XX,  34, NEQ,  241,  254,  202,  195,     ,     ,  56,
AL, 13, 2025102612, 03, FNV3, 126, 386N,  610W,  70,  969, XX,  50, NEQ,  122,  126,  101,   99,     ,     ,  56,
AL, 13, 2025102612, 03, FNV3, 126, 386N,  610W,  70,  969, XX,  64, NEQ,   33,   52,   29,   28,     ,     ,  56,
AL, 13, 2025102612, 03, FNV3, 132, 411N,  582W,  68,  968, XX,  34, NEQ,  260,  279,  230,  218,     ,     ,  61,
AL, 13, 2025102612, 03, FNV3, 132, 411N,  582W,  68,  968, XX,  50, NEQ,  130,  137,  111,  107,     ,     ,  61,
AL, 13, 2025102612, 03, FNV3, 132, 411N,  582W,  68,  968, XX,  64, NEQ,   31,   45,   26,   25,     ,     ,  61,
