# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 98, 2025103118, 03, FNV3,   0,  88N, 1395E,  19, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  70,
WP, 98, 2025103118, 03, FNV3,   6,  94N, 1389E,  27, 1005, XX,  34, NEQ,    4,    3,    2,    4,     ,     ,  45,
WP, 98, 2025103118, 03, FNV3,  12,  98N, 1379E,  30, 1002, XX,  34, NEQ,    7,    5,    4,    7,     ,     ,  33,
WP, 98, 2025103118, 03, FNV3,  18, 103N, 1369E,  36, 1001, XX,  34, NEQ,   25,   16,   12,   18,     ,     ,  33,
WP, 98, 2025103118, 03, FNV3,  18, 103N, 1369E,  36, 1001, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  33,
WP, 98, 2025103118, 03, FNV3,  24, 107N, 1359E,  45,  997, XX,  34, NEQ,   44,   35,   29,   41,     ,     ,  26,
WP, 98, 2025103118, 03, FNV3,  24, 107N, 1359E,  45,  997, XX,  50, NEQ,    8,    6,    4,    6,     ,     ,  26,
WP, 98, 2025103118, 03, FNV3,  24, 107N, 1359E,  45,  997, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  26,
WP, 98, 2025103118, 03, FNV3,  30, 109N, 1348E,  50,  993, XX,  34, NEQ,   54,   44,   39,   51,     ,     ,  23,
WP, 98, 2025103118, 03, FNV3,  30, 109N, 1348E,  50,  993, XX,  50, NEQ,   16,   12,   10,   12,     ,     ,  23,
WP, 98, 2025103118, 03, FNV3,  30, 109N, 1348E,  50,  993, XX,  64, NEQ,    3,    2,    2,    3,     ,     ,  23,
WP, 98, 2025103118, 03, FNV3,  36, 111N, 1338E,  48,  994, XX,  34, NEQ,   54,   44,   39,   48,     ,     ,  24,
WP, 98, 2025103118, 03, FNV3,  36, 111N, 1338E,  48,  994, XX,  50, NEQ,   12,    9,    7,    9,     ,     ,  24,
WP, 98, 2025103118, 03, FNV3,  36, 111N, 1338E,  48,  994, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  24,
WP, 98, 2025103118, 03, FNV3,  42, 112N, 1325E,  55,  989, XX,  34, NEQ,   67,   55,   53,   65,     ,     ,  19,
WP, 98, 2025103118, 03, FNV3,  42, 112N, 1325E,  55,  989, XX,  50, NEQ,   24,   20,   17,   20,     ,     ,  19,
WP, 98, 2025103118, 03, FNV3,  42, 112N, 1325E,  55,  989, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  19,
WP, 98, 2025103118, 03, FNV3,  48, 111N, 1311E,  67,  981, XX,  34, NEQ,   74,   59,   56,   72,     ,     ,  16,
WP, 98, 2025103118, 03, FNV3,  48, 111N, 1311E,  67,  981, XX,  50, NEQ,   30,   24,   20,   25,     ,     ,  16,
WP, 98, 2025103118, 03, FNV3,  48, 111N, 1311E,  67,  981, XX,  64, NEQ,   10,    9,    7,    9,     ,     ,  16,
WP, 98, 2025103118, 03, FNV3,  54, 109N, 1296E,  78,  973, XX,  34, NEQ,   87,   69,   68,   85,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3,  54, 109N, 1296E,  78,  973, XX,  50, NEQ,   42,   34,   29,   36,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3,  54, 109N, 1296E,  78,  973, XX,  64, NEQ,   18,   15,   13,   15,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3,  60, 107N, 1282E,  93,  961, XX,  34, NEQ,   95,   79,   80,   94,     ,     ,  10,
WP, 98, 2025103118, 03, FNV3,  60, 107N, 1282E,  93,  961, XX,  50, NEQ,   49,   42,   37,   44,     ,     ,  10,
WP, 98, 2025103118, 03, FNV3,  60, 107N, 1282E,  93,  961, XX,  64, NEQ,   24,   21,   18,   22,     ,     ,  10,
WP, 98, 2025103118, 03, FNV3,  66, 107N, 1270E,  98,  957, XX,  34, NEQ,  102,   86,   90,  103,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3,  66, 107N, 1270E,  98,  957, XX,  50, NEQ,   54,   47,   42,   50,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3,  66, 107N, 1270E,  98,  957, XX,  64, NEQ,   28,   26,   22,   26,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3,  72, 108N, 1256E,  98,  957, XX,  34, NEQ,   99,   84,   86,   98,     ,     ,  12,
WP, 98, 2025103118, 03, FNV3,  72, 108N, 1256E,  98,  957, XX,  50, NEQ,   52,   45,   40,   48,     ,     ,  12,
WP, 98, 2025103118, 03, FNV3,  72, 108N, 1256E,  98,  957, XX,  64, NEQ,   30,   26,   22,   26,     ,     ,  12,
WP, 98, 2025103118, 03, FNV3,  78, 109N, 1243E,  93,  962, XX,  34, NEQ,  100,   82,   79,   96,     ,     ,  11,
WP, 98, 2025103118, 03, FNV3,  78, 109N, 1243E,  93,  962, XX,  50, NEQ,   52,   44,   38,   48,     ,     ,  11,
WP, 98, 2025103118, 03, FNV3,  78, 109N, 1243E,  93,  962, XX,  64, NEQ,   27,   23,   20,   24,     ,     ,  11,
WP, 98, 2025103118, 03, FNV3,  84, 111N, 1230E,  78,  973, XX,  34, NEQ,   99,   83,   80,   95,     ,     ,  15,
WP, 98, 2025103118, 03, FNV3,  84, 111N, 1230E,  78,  973, XX,  50, NEQ,   49,   42,   36,   44,     ,     ,  15,
WP, 98, 2025103118, 03, FNV3,  84, 111N, 1230E,  78,  973, XX,  64, NEQ,   22,   19,   16,   19,     ,     ,  15,
WP, 98, 2025103118, 03, FNV3,  90, 113N, 1218E,  71,  978, XX,  34, NEQ,   94,   79,   75,   88,     ,     ,  18,
WP, 98, 2025103118, 03, FNV3,  90, 113N, 1218E,  71,  978, XX,  50, NEQ,   41,   34,   29,   35,     ,     ,  18,
WP, 98, 2025103118, 03, FNV3,  90, 113N, 1218E,  71,  978, XX,  64, NEQ,   18,   13,   12,   14,     ,     ,  18,
WP, 98, 2025103118, 03, FNV3,  96, 116N, 1207E,  74,  975, XX,  34, NEQ,   94,   79,   77,   90,     ,     ,  16,
WP, 98, 2025103118, 03, FNV3,  96, 116N, 1207E,  74,  975, XX,  50, NEQ,   42,   35,   30,   37,     ,     ,  16,
WP, 98, 2025103118, 03, FNV3,  96, 116N, 1207E,  74,  975, XX,  64, NEQ,   18,   15,   13,   15,     ,     ,  16,
WP, 98, 2025103118, 03, FNV3, 102, 119N, 1196E,  77,  973, XX,  34, NEQ,   91,   76,   73,   88,     ,     ,  15,
WP, 98, 2025103118, 03, FNV3, 102, 119N, 1196E,  77,  973, XX,  50, NEQ,   47,   40,   33,   41,     ,     ,  15,
WP, 98, 2025103118, 03, FNV3, 102, 119N, 1196E,  77,  973, XX,  64, NEQ,   20,   17,   14,   17,     ,     ,  15,
