# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 31, 2025110118, 03, FNV3,   0, 106N, 1364E,  39, 1000, XX,  34, NEQ,   45,     ,     ,   50,     ,     ,  30,
WP, 31, 2025110118, 03, FNV3,   6, 113N, 1348E,  57,  990, XX,  34, NEQ,   93,   77,   68,   85,     ,     ,  22,
WP, 31, 2025110118, 03, FNV3,   6, 113N, 1348E,  57,  990, XX,  50, NEQ,   31,   24,   19,   24,     ,     ,  22,
WP, 31, 2025110118, 03, FNV3,   6, 113N, 1348E,  57,  990, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  22,
WP, 31, 2025110118, 03, FNV3,  12, 113N, 1334E,  64,  985, XX,  34, NEQ,   84,   68,   66,   80,     ,     ,  13,
WP, 31, 2025110118, 03, FNV3,  12, 113N, 1334E,  64,  985, XX,  50, NEQ,   36,   29,   23,   31,     ,     ,  13,
WP, 31, 2025110118, 03, FNV3,  12, 113N, 1334E,  64,  985, XX,  64, NEQ,    8,    5,    4,    5,     ,     ,  13,
WP, 31, 2025110118, 03, FNV3,  18, 113N, 1320E,  79,  974, XX,  34, NEQ,   92,   74,   75,   91,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  18, 113N, 1320E,  79,  974, XX,  50, NEQ,   48,   41,   36,   43,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  18, 113N, 1320E,  79,  974, XX,  64, NEQ,   20,   17,   14,   17,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  24, 111N, 1306E,  92,  964, XX,  34, NEQ,  100,   82,   82,   98,     ,     ,  10,
WP, 31, 2025110118, 03, FNV3,  24, 111N, 1306E,  92,  964, XX,  50, NEQ,   53,   45,   40,   49,     ,     ,  10,
WP, 31, 2025110118, 03, FNV3,  24, 111N, 1306E,  92,  964, XX,  64, NEQ,   28,   25,   21,   25,     ,     ,  10,
WP, 31, 2025110118, 03, FNV3,  30, 108N, 1291E, 111,  946, XX,  34, NEQ,  110,   88,   89,  112,     ,     ,  10,
WP, 31, 2025110118, 03, FNV3,  30, 108N, 1291E, 111,  946, XX,  50, NEQ,   62,   52,   46,   57,     ,     ,  10,
WP, 31, 2025110118, 03, FNV3,  30, 108N, 1291E, 111,  946, XX,  64, NEQ,   34,   30,   26,   31,     ,     ,  10,
WP, 31, 2025110118, 03, FNV3,  36, 106N, 1277E, 127,  932, XX,  34, NEQ,  120,  102,  105,  123,     ,     ,   7,
WP, 31, 2025110118, 03, FNV3,  36, 106N, 1277E, 127,  932, XX,  50, NEQ,   68,   59,   53,   64,     ,     ,   7,
WP, 31, 2025110118, 03, FNV3,  36, 106N, 1277E, 127,  932, XX,  64, NEQ,   39,   35,   30,   36,     ,     ,   7,
WP, 31, 2025110118, 03, FNV3,  42, 106N, 1263E, 129,  933, XX,  34, NEQ,  123,  105,  107,  125,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  42, 106N, 1263E, 129,  933, XX,  50, NEQ,   70,   60,   55,   65,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  42, 106N, 1263E, 129,  933, XX,  64, NEQ,   42,   37,   32,   38,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  48, 107N, 1249E, 116,  944, XX,  34, NEQ,  122,  100,  101,  120,     ,     ,  11,
WP, 31, 2025110118, 03, FNV3,  48, 107N, 1249E, 116,  944, XX,  50, NEQ,   68,   58,   52,   63,     ,     ,  11,
WP, 31, 2025110118, 03, FNV3,  48, 107N, 1249E, 116,  944, XX,  64, NEQ,   40,   35,   30,   36,     ,     ,  11,
WP, 31, 2025110118, 03, FNV3,  54, 108N, 1234E, 101,  955, XX,  34, NEQ,  105,   87,   87,  102,     ,     ,  11,
WP, 31, 2025110118, 03, FNV3,  54, 108N, 1234E, 101,  955, XX,  50, NEQ,   56,   48,   43,   52,     ,     ,  11,
WP, 31, 2025110118, 03, FNV3,  54, 108N, 1234E, 101,  955, XX,  64, NEQ,   31,   27,   23,   28,     ,     ,  11,
WP, 31, 2025110118, 03, FNV3,  60, 110N, 1222E,  81,  971, XX,  34, NEQ,  112,   92,   89,  104,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3,  60, 110N, 1222E,  81,  971, XX,  50, NEQ,   57,   49,   41,   51,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3,  60, 110N, 1222E,  81,  971, XX,  64, NEQ,   25,   21,   18,   22,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3,  66, 113N, 1211E,  78,  974, XX,  34, NEQ,  102,   84,   82,   97,     ,     ,  17,
WP, 31, 2025110118, 03, FNV3,  66, 113N, 1211E,  78,  974, XX,  50, NEQ,   49,   40,   35,   42,     ,     ,  17,
WP, 31, 2025110118, 03, FNV3,  66, 113N, 1211E,  78,  974, XX,  64, NEQ,   20,   16,   14,   17,     ,     ,  17,
WP, 31, 2025110118, 03, FNV3,  72, 116N, 1199E,  78,  974, XX,  34, NEQ,  105,   88,   84,  100,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3,  72, 116N, 1199E,  78,  974, XX,  50, NEQ,   52,   44,   37,   45,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3,  72, 116N, 1199E,  78,  974, XX,  64, NEQ,   21,   18,   15,   19,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3,  78, 120N, 1186E,  82,  971, XX,  34, NEQ,  102,   83,   80,   98,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3,  78, 120N, 1186E,  82,  971, XX,  50, NEQ,   53,   44,   37,   47,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3,  78, 120N, 1186E,  82,  971, XX,  64, NEQ,   25,   20,   16,   20,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3,  84, 123N, 1173E,  83,  970, XX,  34, NEQ,  117,   98,   89,  109,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  84, 123N, 1173E,  83,  970, XX,  50, NEQ,   62,   53,   44,   55,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  84, 123N, 1173E,  83,  970, XX,  64, NEQ,   28,   24,   20,   24,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  90, 127N, 1158E,  91,  964, XX,  34, NEQ,  118,   97,   89,  110,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  90, 127N, 1158E,  91,  964, XX,  50, NEQ,   60,   51,   42,   53,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  90, 127N, 1158E,  91,  964, XX,  64, NEQ,   30,   25,   21,   26,     ,     ,  12,
WP, 31, 2025110118, 03, FNV3,  96, 131N, 1143E, 102,  954, XX,  34, NEQ,  131,  109,  100,  123,     ,     ,  10,
WP, 31, 2025110118, 03, FNV3,  96, 131N, 1143E, 102,  954, XX,  50, NEQ,   70,   60,   51,   63,     ,     ,  10,
WP, 31, 2025110118, 03, FNV3,  96, 131N, 1143E, 102,  954, XX,  64, NEQ,   37,   33,   27,   33,     ,     ,  10,
WP, 31, 2025110118, 03, FNV3, 102, 134N, 1128E, 102,  953, XX,  34, NEQ,  143,  118,  109,  135,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3, 102, 134N, 1128E, 102,  953, XX,  50, NEQ,   75,   63,   54,   67,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3, 102, 134N, 1128E, 102,  953, XX,  64, NEQ,   39,   34,   29,   36,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3, 108, 138N, 1114E, 101,  955, XX,  34, NEQ,  142,  121,  112,  136,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3, 108, 138N, 1114E, 101,  955, XX,  50, NEQ,   78,   67,   58,   70,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3, 108, 138N, 1114E, 101,  955, XX,  64, NEQ,   40,   35,   30,   35,     ,     ,  14,
WP, 31, 2025110118, 03, FNV3, 114, 144N, 1102E,  92,  962, XX,  34, NEQ,  139,  118,  110,  132,     ,     ,  17,
WP, 31, 2025110118, 03, FNV3, 114, 144N, 1102E,  92,  962, XX,  50, NEQ,   75,   65,   55,   68,     ,     ,  17,
WP, 31, 2025110118, 03, FNV3, 114, 144N, 1102E,  92,  962, XX,  64, NEQ,   39,   34,   28,   34,     ,     ,  17,
WP, 31, 2025110118, 03, FNV3, 120, 151N, 1087E,  79,  971, XX,  34, NEQ,  126,  107,   96,  114,     ,     ,  18,
WP, 31, 2025110118, 03, FNV3, 120, 151N, 1087E,  79,  971, XX,  50, NEQ,   62,   54,   46,   55,     ,     ,  18,
WP, 31, 2025110118, 03, FNV3, 120, 151N, 1087E,  79,  971, XX,  64, NEQ,   28,   25,   21,   25,     ,     ,  18,
WP, 31, 2025110118, 03, FNV3, 126, 156N, 1073E,  59,  983, XX,  34, NEQ,  103,   90,   80,   90,     ,     ,  27,
WP, 31, 2025110118, 03, FNV3, 126, 156N, 1073E,  59,  983, XX,  50, NEQ,   38,   33,   28,   31,     ,     ,  27,
WP, 31, 2025110118, 03, FNV3, 126, 156N, 1073E,  59,  983, XX,  64, NEQ,   11,    9,    8,    9,     ,     ,  27,
WP, 31, 2025110118, 03, FNV3, 132, 161N, 1061E,  41,  995, XX,  34, NEQ,   61,   53,   45,   52,     ,     ,  33,
WP, 31, 2025110118, 03, FNV3, 132, 161N, 1061E,  41,  995, XX,  50, NEQ,   15,   13,   11,   13,     ,     ,  33,
WP, 31, 2025110118, 03, FNV3, 132, 161N, 1061E,  41,  995, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  33,
WP, 31, 2025110118, 03, FNV3, 138, 166N, 1050E,  29, 1000, XX,  34, NEQ,   25,   22,   18,   21,     ,     ,  43,
WP, 31, 2025110118, 03, FNV3, 138, 166N, 1050E,  29, 1000, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  43,
WP, 31, 2025110118, 03, FNV3, 144, 171N, 1039E,  23, 1003, XX,  34, NEQ,    6,    4,    4,    4,     ,     ,  43,
WP, 31, 2025110118, 03, FNV3, 150, 176N, 1032E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  46,
WP, 31, 2025110118, 03, FNV3, 156, 180N, 1022E,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  47,
