# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 05, 2025111912, 03, FNV3,   0,  95S, 1326E,  60,  984, XX,  34, NEQ,   45,   30,   30,   45,     ,     ,  10,
IO, 05, 2025111912, 03, FNV3,   6,  97S, 1330E,  63,  984, XX,  34, NEQ,   63,   58,   55,   57,     ,     ,  15,
IO, 05, 2025111912, 03, FNV3,   6,  97S, 1330E,  63,  984, XX,  50, NEQ,   26,   22,   19,   20,     ,     ,  15,
IO, 05, 2025111912, 03, FNV3,   6,  97S, 1330E,  63,  984, XX,  64, NEQ,    8,    5,    4,    6,     ,     ,  15,
IO, 05, 2025111912, 03, FNV3,  12,  99S, 1332E,  67,  981, XX,  34, NEQ,   63,   65,   64,   56,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  12,  99S, 1332E,  67,  981, XX,  50, NEQ,   26,   24,   22,   21,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  12,  99S, 1332E,  67,  981, XX,  64, NEQ,    9,    7,    6,    6,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  18, 101S, 1332E,  66,  981, XX,  34, NEQ,   58,   59,   57,   51,     ,     ,  15,
IO, 05, 2025111912, 03, FNV3,  18, 101S, 1332E,  66,  981, XX,  50, NEQ,   25,   24,   21,   20,     ,     ,  15,
IO, 05, 2025111912, 03, FNV3,  18, 101S, 1332E,  66,  981, XX,  64, NEQ,    8,    7,    7,    6,     ,     ,  15,
IO, 05, 2025111912, 03, FNV3,  24, 102S, 1332E,  64,  983, XX,  34, NEQ,   62,   64,   64,   57,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  24, 102S, 1332E,  64,  983, XX,  50, NEQ,   22,   22,   20,   18,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  24, 102S, 1332E,  64,  983, XX,  64, NEQ,    6,    5,    5,    5,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  30, 104S, 1332E,  62,  984, XX,  34, NEQ,   57,   61,   57,   51,     ,     ,  16,
IO, 05, 2025111912, 03, FNV3,  30, 104S, 1332E,  62,  984, XX,  50, NEQ,   19,   20,   19,   16,     ,     ,  16,
IO, 05, 2025111912, 03, FNV3,  30, 104S, 1332E,  62,  984, XX,  64, NEQ,    6,    7,    6,    5,     ,     ,  16,
IO, 05, 2025111912, 03, FNV3,  36, 108S, 1330E,  68,  982, XX,  34, NEQ,   54,   62,   59,   49,     ,     ,  15,
IO, 05, 2025111912, 03, FNV3,  36, 108S, 1330E,  68,  982, XX,  50, NEQ,   23,   21,   19,   17,     ,     ,  15,
IO, 05, 2025111912, 03, FNV3,  36, 108S, 1330E,  68,  982, XX,  64, NEQ,    7,    7,    6,    6,     ,     ,  15,
IO, 05, 2025111912, 03, FNV3,  42, 112S, 1326E,  70,  979, XX,  34, NEQ,   50,   60,   53,   42,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  42, 112S, 1326E,  70,  979, XX,  50, NEQ,   18,   20,   16,   15,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  42, 112S, 1326E,  70,  979, XX,  64, NEQ,    8,    7,    6,    6,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  48, 117S, 1324E,  68,  980, XX,  34, NEQ,   43,   53,   47,   37,     ,     ,  13,
IO, 05, 2025111912, 03, FNV3,  48, 117S, 1324E,  68,  980, XX,  50, NEQ,   14,   16,   14,   11,     ,     ,  13,
IO, 05, 2025111912, 03, FNV3,  48, 117S, 1324E,  68,  980, XX,  64, NEQ,    6,    5,    5,    5,     ,     ,  13,
IO, 05, 2025111912, 03, FNV3,  54, 120S, 1320E,  68,  981, XX,  34, NEQ,   43,   58,   52,   38,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  54, 120S, 1320E,  68,  981, XX,  50, NEQ,   17,   21,   19,   15,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  54, 120S, 1320E,  68,  981, XX,  64, NEQ,    8,    9,    7,    7,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  60, 123S, 1317E,  68,  981, XX,  34, NEQ,   38,   51,   46,   35,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  60, 123S, 1317E,  68,  981, XX,  50, NEQ,   13,   17,   16,   12,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  60, 123S, 1317E,  68,  981, XX,  64, NEQ,    6,    7,    8,    5,     ,     ,  14,
IO, 05, 2025111912, 03, FNV3,  66, 126S, 1313E,  59,  985, XX,  34, NEQ,   38,   48,   43,   33,     ,     ,  16,
IO, 05, 2025111912, 03, FNV3,  66, 126S, 1313E,  59,  985, XX,  50, NEQ,   12,   15,   14,   10,     ,     ,  16,
IO, 05, 2025111912, 03, FNV3,  66, 126S, 1313E,  59,  985, XX,  64, NEQ,    5,    5,    5,    4,     ,     ,  16,
IO, 05, 2025111912, 03, FNV3,  72, 128S, 1309E,  55,  988, XX,  34, NEQ,   34,   41,   35,   29,     ,     ,  19,
IO, 05, 2025111912, 03, FNV3,  72, 128S, 1309E,  55,  988, XX,  50, NEQ,   11,   11,   10,    8,     ,     ,  19,
IO, 05, 2025111912, 03, FNV3,  72, 128S, 1309E,  55,  988, XX,  64, NEQ,    4,    4,    4,    3,     ,     ,  19,
IO, 05, 2025111912, 03, FNV3,  78, 130S, 1304E,  53,  989, XX,  34, NEQ,   35,   45,   37,   28,     ,     ,  21,
