# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 04, 2025112512, 03, FNV3,   0,  47N,  990E,  35,  999, XX,  34, NEQ,   50,   40,   40,   50,     ,     ,  25,
IO, 04, 2025112512, 03, FNV3,   6,  44N,  983E,  31, 1002, XX,  34, NEQ,   10,    6,    6,    7,     ,     ,  28,
IO, 04, 2025112512, 03, FNV3,  12,  43N,  980E,  29, 1002, XX,  34, NEQ,   10,    8,    9,    9,     ,     ,  38,
IO, 04, 2025112512, 03, FNV3,  12,  43N,  980E,  29, 1002, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  38,
IO, 04, 2025112512, 03, FNV3,  18,  43N,  981E,  24, 1005, XX,  34, NEQ,    1,    0,    0,    1,     ,     ,  39,
WP, 33, 2025112512, 03, FNV3,   0, 114N, 1201E,  39,  996, XX,  34, NEQ,   80,   40,   40,  110,     ,     ,  30,
WP, 33, 2025112512, 03, FNV3,   6, 119N, 1188E,  44,  994, XX,  34, NEQ,   76,   60,   49,   65,     ,     ,  34,
WP, 33, 2025112512, 03, FNV3,   6, 119N, 1188E,  44,  994, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  34,
WP, 33, 2025112512, 03, FNV3,  12, 121N, 1173E,  47,  993, XX,  34, NEQ,   95,   78,   64,   83,     ,     ,  33,
WP, 33, 2025112512, 03, FNV3,  12, 121N, 1173E,  47,  993, XX,  50, NEQ,   11,    8,    6,    8,     ,     ,  33,
WP, 33, 2025112512, 03, FNV3,  18, 122N, 1162E,  52,  991, XX,  34, NEQ,  116,   96,   82,  104,     ,     ,  30,
WP, 33, 2025112512, 03, FNV3,  18, 122N, 1162E,  52,  991, XX,  50, NEQ,   25,   18,   14,   18,     ,     ,  30,
WP, 33, 2025112512, 03, FNV3,  18, 122N, 1162E,  52,  991, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  30,
WP, 33, 2025112512, 03, FNV3,  24, 124N, 1154E,  55,  989, XX,  34, NEQ,  119,   96,   81,  106,     ,     ,  29,
WP, 33, 2025112512, 03, FNV3,  24, 124N, 1154E,  55,  989, XX,  50, NEQ,   29,   23,   18,   24,     ,     ,  29,
WP, 33, 2025112512, 03, FNV3,  24, 124N, 1154E,  55,  989, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  29,
WP, 33, 2025112512, 03, FNV3,  30, 126N, 1147E,  65,  982, XX,  34, NEQ,  128,  100,   90,  119,     ,     ,  23,
WP, 33, 2025112512, 03, FNV3,  30, 126N, 1147E,  65,  982, XX,  50, NEQ,   56,   46,   37,   47,     ,     ,  23,
WP, 33, 2025112512, 03, FNV3,  30, 126N, 1147E,  65,  982, XX,  64, NEQ,   13,   10,    8,   10,     ,     ,  23,
WP, 33, 2025112512, 03, FNV3,  36, 125N, 1141E,  72,  978, XX,  34, NEQ,  138,  110,  104,  133,     ,     ,  22,
WP, 33, 2025112512, 03, FNV3,  36, 125N, 1141E,  72,  978, XX,  50, NEQ,   65,   52,   44,   55,     ,     ,  22,
WP, 33, 2025112512, 03, FNV3,  36, 125N, 1141E,  72,  978, XX,  64, NEQ,   20,   15,   13,   17,     ,     ,  22,
WP, 33, 2025112512, 03, FNV3,  42, 123N, 1136E,  68,  981, XX,  34, NEQ,  166,  136,  130,  159,     ,     ,  24,
WP, 33, 2025112512, 03, FNV3,  42, 123N, 1136E,  68,  981, XX,  50, NEQ,   82,   70,   60,   70,     ,     ,  24,
WP, 33, 2025112512, 03, FNV3,  42, 123N, 1136E,  68,  981, XX,  64, NEQ,   20,   17,   15,   17,     ,     ,  24,
