# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 04, 2025112806, 03, FNV3,   0,  38N, 1018E,  25, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  25,
IO, 05, 2025112806, 03, FNV3,   0,  83N,  810E,  35, 1004, XX,  34, NEQ,  145,  160,  170,  100,     ,     ,  60,
IO, 05, 2025112806, 03, FNV3,   6,  83N,  810E,  36,  999, XX,  34, NEQ,   36,   32,   25,   29,     ,     ,  41,
IO, 05, 2025112806, 03, FNV3,  12,  86N,  808E,  35, 1001, XX,  34, NEQ,   33,   30,   22,   25,     ,     ,  44,
IO, 05, 2025112806, 03, FNV3,  18,  90N,  807E,  34, 1001, XX,  34, NEQ,   30,   23,   18,   20,     ,     ,  45,
IO, 05, 2025112806, 03, FNV3,  24,  95N,  805E,  34, 1001, XX,  34, NEQ,   25,   23,   17,   20,     ,     ,  46,
IO, 05, 2025112806, 03, FNV3,  30, 100N,  805E,  34, 1001, XX,  34, NEQ,   22,   17,   13,   15,     ,     ,  39,
IO, 05, 2025112806, 03, FNV3,  36, 105N,  804E,  34, 1001, XX,  34, NEQ,   22,   15,   11,   14,     ,     ,  42,
IO, 05, 2025112806, 03, FNV3,  42, 111N,  803E,  33, 1001, XX,  34, NEQ,   22,   14,   11,   14,     ,     ,  38,
IO, 05, 2025112806, 03, FNV3,  42, 111N,  803E,  33, 1001, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  38,
IO, 05, 2025112806, 03, FNV3,  48, 117N,  802E,  32, 1002, XX,  34, NEQ,   15,    8,    6,    7,     ,     ,  38,
IO, 05, 2025112806, 03, FNV3,  48, 117N,  802E,  32, 1002, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  38,
IO, 05, 2025112806, 03, FNV3,  54, 122N,  802E,  30, 1002, XX,  34, NEQ,    6,    4,    3,    4,     ,     ,  36,
IO, 05, 2025112806, 03, FNV3,  54, 122N,  802E,  30, 1002, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  36,
IO, 05, 2025112806, 03, FNV3,  60, 128N,  803E,  30, 1003, XX,  34, NEQ,   10,    6,    4,    5,     ,     ,  37,
IO, 05, 2025112806, 03, FNV3,  66, 134N,  805E,  30, 1003, XX,  34, NEQ,   15,   13,   10,   11,     ,     ,  36,
IO, 05, 2025112806, 03, FNV3,  66, 134N,  805E,  30, 1003, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  36,
IO, 05, 2025112806, 03, FNV3,  72, 137N,  808E,  30, 1004, XX,  34, NEQ,   12,   11,    6,    9,     ,     ,  37,
IO, 05, 2025112806, 03, FNV3,  72, 137N,  808E,  30, 1004, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  37,
IO, 05, 2025112806, 03, FNV3,  78, 138N,  810E,  29, 1004, XX,  34, NEQ,   14,   13,   10,   11,     ,     ,  37,
IO, 05, 2025112806, 03, FNV3,  84, 139N,  813E,  27, 1005, XX,  34, NEQ,    7,    5,    4,    5,     ,     ,  37,
IO, 05, 2025112806, 03, FNV3,  90, 138N,  815E,  25, 1005, XX,  34, NEQ,    2,    2,    1,    2,     ,     ,  40,
IO, 05, 2025112806, 03, FNV3,  96, 139N,  817E,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  42,
IO, 05, 2025112806, 03, FNV3, 102, 137N,  816E,  24, 1005, XX,  34, NEQ,    1,    1,    1,    1,     ,     ,  35,
IO, 05, 2025112806, 03, FNV3, 108, 138N,  817E,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  38,
IO, 05, 2025112806, 03, FNV3, 114, 139N,  818E,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  38,
