# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 07, 2025121300, 03, FNV3,   0,  88S,  945E,  45,  998, XX,  34, NEQ,   30,   60,   50,   30,     ,     ,  25,
IO, 07, 2025121300, 03, FNV3,   6,  91S,  940E,  47,  996, XX,  34, NEQ,   29,   35,   26,   23,     ,     ,  22,
IO, 07, 2025121300, 03, FNV3,   6,  91S,  940E,  47,  996, XX,  50, NEQ,    3,    3,    2,    1,     ,     ,  22,
IO, 07, 2025121300, 03, FNV3,  12,  94S,  934E,  50,  994, XX,  34, NEQ,   29,   36,   29,   22,     ,     ,  19,
IO, 07, 2025121300, 03, FNV3,  12,  94S,  934E,  50,  994, XX,  50, NEQ,    5,    4,    5,    3,     ,     ,  19,
IO, 07, 2025121300, 03, FNV3,  12,  94S,  934E,  50,  994, XX,  64, NEQ,    0,    0,    1,    0,     ,     ,  19,
IO, 07, 2025121300, 03, FNV3,  18,  96S,  926E,  56,  990, XX,  34, NEQ,   33,   40,   33,   27,     ,     ,  14,
IO, 07, 2025121300, 03, FNV3,  18,  96S,  926E,  56,  990, XX,  50, NEQ,    6,    7,    7,    5,     ,     ,  14,
IO, 07, 2025121300, 03, FNV3,  18,  96S,  926E,  56,  990, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  14,
IO, 07, 2025121300, 03, FNV3,  24,  98S,  922E,  53,  991, XX,  34, NEQ,   35,   39,   33,   28,     ,     ,  16,
IO, 07, 2025121300, 03, FNV3,  24,  98S,  922E,  53,  991, XX,  50, NEQ,    5,    8,    6,    4,     ,     ,  16,
IO, 07, 2025121300, 03, FNV3,  24,  98S,  922E,  53,  991, XX,  64, NEQ,    1,    1,    2,    1,     ,     ,  16,
IO, 07, 2025121300, 03, FNV3,  30, 101S,  917E,  52,  991, XX,  34, NEQ,   26,   30,   28,   20,     ,     ,  17,
IO, 07, 2025121300, 03, FNV3,  30, 101S,  917E,  52,  991, XX,  50, NEQ,    7,    8,    7,    5,     ,     ,  17,
IO, 07, 2025121300, 03, FNV3,  30, 101S,  917E,  52,  991, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  17,
IO, 07, 2025121300, 03, FNV3,  36, 103S,  916E,  47,  994, XX,  34, NEQ,   22,   25,   22,   18,     ,     ,  21,
IO, 07, 2025121300, 03, FNV3,  36, 103S,  916E,  47,  994, XX,  50, NEQ,    5,    6,    6,    4,     ,     ,  21,
IO, 07, 2025121300, 03, FNV3,  36, 103S,  916E,  47,  994, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  21,
IO, 07, 2025121300, 03, FNV3,  42, 104S,  916E,  42,  997, XX,  34, NEQ,   26,   25,   23,   22,     ,     ,  25,
