# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 07, 2025121618, 03, FNV3,   0, 116S,  932E,  45,  995, XX,  34, NEQ,     ,   80,   60,   20,     ,     ,  15,
IO, 07, 2025121618, 03, FNV3,   6, 117S,  931E,  47,  994, XX,  34, NEQ,   48,   41,   36,   37,     ,     ,  24,
IO, 07, 2025121618, 03, FNV3,   6, 117S,  931E,  47,  994, XX,  50, NEQ,    5,    4,    4,    4,     ,     ,  24,
IO, 07, 2025121618, 03, FNV3,   6, 117S,  931E,  47,  994, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  24,
IO, 07, 2025121618, 03, FNV3,  12, 117S,  929E,  51,  991, XX,  34, NEQ,   49,   50,   46,   42,     ,     ,  18,
IO, 07, 2025121618, 03, FNV3,  12, 117S,  929E,  51,  991, XX,  50, NEQ,   12,   11,    9,    9,     ,     ,  18,
IO, 07, 2025121618, 03, FNV3,  12, 117S,  929E,  51,  991, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  18,
IO, 07, 2025121618, 03, FNV3,  18, 116S,  928E,  44,  996, XX,  34, NEQ,   40,   40,   35,   34,     ,     ,  23,
IO, 07, 2025121618, 03, FNV3,  18, 116S,  928E,  44,  996, XX,  50, NEQ,    6,    6,    5,    5,     ,     ,  23,
IO, 07, 2025121618, 03, FNV3,  24, 114S,  926E,  37,  999, XX,  34, NEQ,   23,   24,   20,   18,     ,     ,  31,
IO, 07, 2025121618, 03, FNV3,  24, 114S,  926E,  37,  999, XX,  50, NEQ,    3,    3,    2,    3,     ,     ,  31,
IO, 07, 2025121618, 03, FNV3,  30, 111S,  926E,  32, 1002, XX,  34, NEQ,   11,   11,   10,    9,     ,     ,  31,
IO, 07, 2025121618, 03, FNV3,  30, 111S,  926E,  32, 1002, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  31,
IO, 07, 2025121618, 03, FNV3,  36, 108S,  925E,  30, 1004, XX,  34, NEQ,    9,    8,    8,    7,     ,     ,  34,
IO, 07, 2025121618, 03, FNV3,  36, 108S,  925E,  30, 1004, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  34,
IO, 07, 2025121618, 03, FNV3,  42, 101S,  922E,  26, 1004, XX,  34, NEQ,    6,    7,    6,    6,     ,     ,  39,
IO, 07, 2025121618, 03, FNV3,  42, 101S,  922E,  26, 1004, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  39,
IO, 93, 2025121618, 03, FNV3,   0, 116S, 1134E,  29, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  20,
IO, 93, 2025121618, 03, FNV3,   6, 119S, 1132E,  28, 1002, XX,  34, NEQ,    1,    1,    1,    1,     ,     ,  42,
IO, 93, 2025121618, 03, FNV3,  12, 120S, 1129E,  29, 1001, XX,  34, NEQ,    2,    2,    1,    1,     ,     ,  37,
IO, 93, 2025121618, 03, FNV3,  18, 121S, 1124E,  31, 1000, XX,  34, NEQ,    5,    6,    5,    5,     ,     ,  36,
IO, 93, 2025121618, 03, FNV3,  24, 121S, 1119E,  32,  999, XX,  34, NEQ,    7,    7,    8,   10,     ,     ,  37,
IO, 93, 2025121618, 03, FNV3,  30, 120S, 1113E,  32, 1000, XX,  34, NEQ,   11,   13,   10,   10,     ,     ,  38,
IO, 93, 2025121618, 03, FNV3,  36, 119S, 1107E,  34, 1000, XX,  34, NEQ,   14,   15,   13,   12,     ,     ,  37,
IO, 93, 2025121618, 03, FNV3,  42, 118S, 1102E,  36,  998, XX,  34, NEQ,   17,   20,   19,   18,     ,     ,  36,
IO, 93, 2025121618, 03, FNV3,  42, 118S, 1102E,  36,  998, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  36,
IO, 93, 2025121618, 03, FNV3,  48, 117S, 1099E,  36,  998, XX,  34, NEQ,   23,   25,   24,   23,     ,     ,  39,
IO, 93, 2025121618, 03, FNV3,  54, 118S, 1094E,  37,  998, XX,  34, NEQ,   30,   31,   29,   27,     ,     ,  36,
IO, 93, 2025121618, 03, FNV3,  54, 118S, 1094E,  37,  998, XX,  50, NEQ,    2,    2,    2,    1,     ,     ,  36,
IO, 93, 2025121618, 03, FNV3,  60, 120S, 1092E,  38,  997, XX,  34, NEQ,   29,   29,   26,   23,     ,     ,  32,
IO, 93, 2025121618, 03, FNV3,  60, 120S, 1092E,  38,  997, XX,  50, NEQ,    4,    5,    4,    3,     ,     ,  32,
IO, 93, 2025121618, 03, FNV3,  66, 123S, 1090E,  39,  997, XX,  34, NEQ,   29,   29,   25,   25,     ,     ,  31,
IO, 93, 2025121618, 03, FNV3,  66, 123S, 1090E,  39,  997, XX,  50, NEQ,    3,    2,    2,    1,     ,     ,  31,
IO, 93, 2025121618, 03, FNV3,  72, 125S, 1086E,  38,  997, XX,  34, NEQ,   29,   32,   31,   27,     ,     ,  34,
IO, 93, 2025121618, 03, FNV3,  72, 125S, 1086E,  38,  997, XX,  50, NEQ,    2,    2,    2,    1,     ,     ,  34,
IO, 93, 2025121618, 03, FNV3,  78, 127S, 1080E,  39,  997, XX,  34, NEQ,   31,   36,   29,   27,     ,     ,  34,
IO, 93, 2025121618, 03, FNV3,  78, 127S, 1080E,  39,  997, XX,  50, NEQ,    5,    5,    5,    4,     ,     ,  34,
IO, 93, 2025121618, 03, FNV3,  84, 128S, 1073E,  40,  996, XX,  34, NEQ,   31,   36,   33,   27,     ,     ,  31,
IO, 93, 2025121618, 03, FNV3,  84, 128S, 1073E,  40,  996, XX,  50, NEQ,    6,    7,    6,    5,     ,     ,  31,
IO, 93, 2025121618, 03, FNV3,  84, 128S, 1073E,  40,  996, XX,  64, NEQ,    1,    1,    2,    1,     ,     ,  31,
IO, 93, 2025121618, 03, FNV3,  90, 130S, 1067E,  41,  995, XX,  34, NEQ,   30,   34,   32,   27,     ,     ,  32,
IO, 93, 2025121618, 03, FNV3,  90, 130S, 1067E,  41,  995, XX,  50, NEQ,    6,    7,    6,    4,     ,     ,  32,
IO, 93, 2025121618, 03, FNV3,  90, 130S, 1067E,  41,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  32,
IO, 93, 2025121618, 03, FNV3,  96, 130S, 1060E,  44,  995, XX,  34, NEQ,   39,   43,   40,   35,     ,     ,  30,
IO, 93, 2025121618, 03, FNV3,  96, 130S, 1060E,  44,  995, XX,  50, NEQ,    7,    8,    8,    6,     ,     ,  30,
IO, 93, 2025121618, 03, FNV3,  96, 130S, 1060E,  44,  995, XX,  64, NEQ,    2,    3,    2,    2,     ,     ,  30,
IO, 93, 2025121618, 03, FNV3, 102, 131S, 1053E,  50,  993, XX,  34, NEQ,   44,   50,   45,   39,     ,     ,  25,
IO, 93, 2025121618, 03, FNV3, 102, 131S, 1053E,  50,  993, XX,  50, NEQ,    9,   11,    9,    8,     ,     ,  25,
IO, 93, 2025121618, 03, FNV3, 102, 131S, 1053E,  50,  993, XX,  64, NEQ,    5,    5,    4,    4,     ,     ,  25,
IO, 93, 2025121618, 03, FNV3, 108, 131S, 1047E,  56,  988, XX,  34, NEQ,   42,   53,   52,   39,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 108, 131S, 1047E,  56,  988, XX,  50, NEQ,   11,   13,   13,   10,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 108, 131S, 1047E,  56,  988, XX,  64, NEQ,    5,    6,    5,    4,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 114, 131S, 1042E,  60,  986, XX,  34, NEQ,   55,   64,   60,   50,     ,     ,  21,
IO, 93, 2025121618, 03, FNV3, 114, 131S, 1042E,  60,  986, XX,  50, NEQ,   15,   17,   16,   13,     ,     ,  21,
IO, 93, 2025121618, 03, FNV3, 114, 131S, 1042E,  60,  986, XX,  64, NEQ,    6,    7,    6,    5,     ,     ,  21,
IO, 93, 2025121618, 03, FNV3, 120, 130S, 1037E,  65,  982, XX,  34, NEQ,   48,   59,   59,   47,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 120, 130S, 1037E,  65,  982, XX,  50, NEQ,   17,   20,   19,   15,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 120, 130S, 1037E,  65,  982, XX,  64, NEQ,    9,   10,    9,    8,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 126, 131S, 1033E,  70,  980, XX,  34, NEQ,   50,   62,   63,   47,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 126, 131S, 1033E,  70,  980, XX,  50, NEQ,   23,   25,   24,   20,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 126, 131S, 1033E,  70,  980, XX,  64, NEQ,   10,   11,   10,    9,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 132, 131S, 1028E,  75,  976, XX,  34, NEQ,   57,   73,   75,   55,     ,     ,  15,
IO, 93, 2025121618, 03, FNV3, 132, 131S, 1028E,  75,  976, XX,  50, NEQ,   27,   33,   31,   25,     ,     ,  15,
IO, 93, 2025121618, 03, FNV3, 132, 131S, 1028E,  75,  976, XX,  64, NEQ,   14,   15,   14,   13,     ,     ,  15,
IO, 93, 2025121618, 03, FNV3, 138, 131S, 1024E,  77,  975, XX,  34, NEQ,   53,   66,   71,   54,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 138, 131S, 1024E,  77,  975, XX,  50, NEQ,   27,   31,   30,   25,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 138, 131S, 1024E,  77,  975, XX,  64, NEQ,   15,   16,   14,   14,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 144, 131S, 1020E,  78,  974, XX,  34, NEQ,   48,   62,   66,   49,     ,     ,  15,
IO, 93, 2025121618, 03, FNV3, 144, 131S, 1020E,  78,  974, XX,  50, NEQ,   24,   28,   27,   23,     ,     ,  15,
IO, 93, 2025121618, 03, FNV3, 144, 131S, 1020E,  78,  974, XX,  64, NEQ,   13,   14,   13,   12,     ,     ,  15,
IO, 93, 2025121618, 03, FNV3, 150, 131S, 1015E,  77,  975, XX,  34, NEQ,   49,   63,   66,   49,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 150, 131S, 1015E,  77,  975, XX,  50, NEQ,   26,   31,   29,   24,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 150, 131S, 1015E,  77,  975, XX,  64, NEQ,   15,   18,   14,   13,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 156, 131S, 1011E,  77,  975, XX,  34, NEQ,   57,   71,   74,   56,     ,     ,  15,
