# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 09, 2025121912, 03, FNV3,   0, 122S, 1081E,  35,  999, XX,  34, NEQ,     ,     ,   80,   70,     ,     ,  30,
IO, 09, 2025121912, 03, FNV3,   6, 126S, 1075E,  28, 1001, XX,  34, NEQ,    0,    1,    0,    0,     ,     ,  41,
IO, 09, 2025121912, 03, FNV3,  12, 127S, 1069E,  28, 1001, XX,  34, NEQ,    3,    3,    2,    3,     ,     ,  44,
IO, 09, 2025121912, 03, FNV3,  18, 127S, 1064E,  27, 1002, XX,  34, NEQ,    2,    1,    1,    1,     ,     ,  44,
IO, 09, 2025121912, 03, FNV3,  24, 128S, 1057E,  28, 1001, XX,  34, NEQ,    3,    4,    4,    3,     ,     ,  44,
IO, 09, 2025121912, 03, FNV3,  30, 129S, 1048E,  28, 1001, XX,  34, NEQ,    2,    2,    3,    3,     ,     ,  40,
IO, 09, 2025121912, 03, FNV3,  36, 129S, 1039E,  31, 1001, XX,  34, NEQ,    6,    7,    8,    5,     ,     ,  34,
IO, 09, 2025121912, 03, FNV3,  42, 130S, 1031E,  34, 1000, XX,  34, NEQ,   11,   14,   12,   10,     ,     ,  36,
IO, 09, 2025121912, 03, FNV3,  42, 130S, 1031E,  34, 1000, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  36,
IO, 09, 2025121912, 03, FNV3,  48, 129S, 1024E,  38,  998, XX,  34, NEQ,   21,   23,   22,   19,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  48, 129S, 1024E,  38,  998, XX,  50, NEQ,    3,    3,    3,    3,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  54, 128S, 1016E,  39,  998, XX,  34, NEQ,   24,   26,   24,   22,     ,     ,  29,
IO, 09, 2025121912, 03, FNV3,  54, 128S, 1016E,  39,  998, XX,  50, NEQ,    3,    4,    4,    3,     ,     ,  29,
IO, 09, 2025121912, 03, FNV3,  54, 128S, 1016E,  39,  998, XX,  64, NEQ,    1,    1,    1,    0,     ,     ,  29,
IO, 09, 2025121912, 03, FNV3,  60, 128S, 1009E,  42,  997, XX,  34, NEQ,   23,   25,   23,   20,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  60, 128S, 1009E,  42,  997, XX,  50, NEQ,    4,    4,    5,    3,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  60, 128S, 1009E,  42,  997, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  66, 129S, 1002E,  45,  994, XX,  34, NEQ,   31,   33,   31,   26,     ,     ,  24,
IO, 09, 2025121912, 03, FNV3,  66, 129S, 1002E,  45,  994, XX,  50, NEQ,    6,    8,    6,    6,     ,     ,  24,
IO, 09, 2025121912, 03, FNV3,  66, 129S, 1002E,  45,  994, XX,  64, NEQ,    2,    3,    2,    2,     ,     ,  24,
IO, 09, 2025121912, 03, FNV3,  72, 129S,  996E,  43,  995, XX,  34, NEQ,   30,   33,   31,   26,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  72, 129S,  996E,  43,  995, XX,  50, NEQ,    5,    6,    6,    4,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  72, 129S,  996E,  43,  995, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  78, 129S,  989E,  41,  997, XX,  34, NEQ,   26,   29,   27,   24,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  78, 129S,  989E,  41,  997, XX,  50, NEQ,    5,    5,    5,    4,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  78, 129S,  989E,  41,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3,  84, 128S,  983E,  42,  996, XX,  34, NEQ,   23,   27,   26,   22,     ,     ,  25,
IO, 09, 2025121912, 03, FNV3,  84, 128S,  983E,  42,  996, XX,  50, NEQ,    5,    6,    5,    4,     ,     ,  25,
IO, 09, 2025121912, 03, FNV3,  84, 128S,  983E,  42,  996, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  25,
IO, 09, 2025121912, 03, FNV3,  90, 127S,  976E,  44,  995, XX,  34, NEQ,   25,   30,   26,   23,     ,     ,  25,
IO, 09, 2025121912, 03, FNV3,  90, 127S,  976E,  44,  995, XX,  50, NEQ,    6,    5,    5,    4,     ,     ,  25,
IO, 09, 2025121912, 03, FNV3,  90, 127S,  976E,  44,  995, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  25,
IO, 09, 2025121912, 03, FNV3,  96, 126S,  971E,  42,  996, XX,  34, NEQ,   23,   24,   24,   21,     ,     ,  26,
IO, 09, 2025121912, 03, FNV3,  96, 126S,  971E,  42,  996, XX,  50, NEQ,    4,    5,    4,    4,     ,     ,  26,
IO, 09, 2025121912, 03, FNV3,  96, 126S,  971E,  42,  996, XX,  64, NEQ,    1,    2,    1,    2,     ,     ,  26,
IO, 09, 2025121912, 03, FNV3, 102, 123S,  966E,  42,  995, XX,  34, NEQ,   20,   23,   22,   19,     ,     ,  27,
IO, 09, 2025121912, 03, FNV3, 102, 123S,  966E,  42,  995, XX,  50, NEQ,    4,    4,    4,    3,     ,     ,  27,
IO, 09, 2025121912, 03, FNV3, 102, 123S,  966E,  42,  995, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  27,
IO, 09, 2025121912, 03, FNV3, 108, 122S,  962E,  41,  996, XX,  34, NEQ,   23,   24,   23,   23,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3, 108, 122S,  962E,  41,  996, XX,  50, NEQ,    4,    5,    3,    3,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3, 108, 122S,  962E,  41,  996, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  28,
IO, 09, 2025121912, 03, FNV3, 114, 120S,  957E,  42,  995, XX,  34, NEQ,   21,   23,   24,   19,     ,     ,  24,
IO, 09, 2025121912, 03, FNV3, 114, 120S,  957E,  42,  995, XX,  50, NEQ,    7,    8,    8,    7,     ,     ,  24,
IO, 09, 2025121912, 03, FNV3, 114, 120S,  957E,  42,  995, XX,  64, NEQ,    3,    3,    3,    3,     ,     ,  24,
IO, 09, 2025121912, 03, FNV3, 120, 119S,  952E,  46,  992, XX,  34, NEQ,   21,   26,   27,   22,     ,     ,  23,
IO, 09, 2025121912, 03, FNV3, 120, 119S,  952E,  46,  992, XX,  50, NEQ,    9,   10,    9,    8,     ,     ,  23,
IO, 09, 2025121912, 03, FNV3, 120, 119S,  952E,  46,  992, XX,  64, NEQ,    3,    3,    3,    3,     ,     ,  23,
IO, 09, 2025121912, 03, FNV3, 126, 118S,  945E,  48,  992, XX,  34, NEQ,   24,   29,   28,   23,     ,     ,  26,
IO, 09, 2025121912, 03, FNV3, 126, 118S,  945E,  48,  992, XX,  50, NEQ,    8,   10,    8,    7,     ,     ,  26,
IO, 09, 2025121912, 03, FNV3, 126, 118S,  945E,  48,  992, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  26,
IO, 09, 2025121912, 03, FNV3, 132, 117S,  939E,  49,  991, XX,  34, NEQ,   25,   31,   32,   24,     ,     ,  25,
IO, 09, 2025121912, 03, FNV3, 132, 117S,  939E,  49,  991, XX,  50, NEQ,    8,    9,   10,    7,     ,     ,  25,
IO, 09, 2025121912, 03, FNV3, 132, 117S,  939E,  49,  991, XX,  64, NEQ,    4,    5,    4,    3,     ,     ,  25,
IO, 09, 2025121912, 03, FNV3, 138, 115S,  931E,  54,  988, XX,  34, NEQ,   25,   32,   33,   25,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 138, 115S,  931E,  54,  988, XX,  50, NEQ,    9,   12,   12,    9,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 138, 115S,  931E,  54,  988, XX,  64, NEQ,    5,    6,    5,    4,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 144, 114S,  924E,  57,  986, XX,  34, NEQ,   27,   36,   36,   27,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 144, 114S,  924E,  57,  986, XX,  50, NEQ,   13,   15,   14,   11,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 144, 114S,  924E,  57,  986, XX,  64, NEQ,    6,    6,    5,    5,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 150, 113S,  916E,  60,  984, XX,  34, NEQ,   36,   43,   47,   36,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 150, 113S,  916E,  60,  984, XX,  50, NEQ,   16,   18,   18,   15,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 150, 113S,  916E,  60,  984, XX,  64, NEQ,    9,   10,    8,    8,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 156, 112S,  907E,  63,  982, XX,  34, NEQ,   38,   48,   50,   37,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 156, 112S,  907E,  63,  982, XX,  50, NEQ,   17,   20,   19,   16,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 156, 112S,  907E,  63,  982, XX,  64, NEQ,   10,   10,    8,    8,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 162, 113S,  898E,  67,  979, XX,  34, NEQ,   51,   61,   62,   49,     ,     ,  19,
IO, 09, 2025121912, 03, FNV3, 162, 113S,  898E,  67,  979, XX,  50, NEQ,   22,   25,   23,   20,     ,     ,  19,
IO, 09, 2025121912, 03, FNV3, 162, 113S,  898E,  67,  979, XX,  64, NEQ,   10,   12,   10,    9,     ,     ,  19,
IO, 09, 2025121912, 03, FNV3, 168, 112S,  890E,  71,  977, XX,  34, NEQ,   40,   51,   52,   39,     ,     ,  19,
IO, 09, 2025121912, 03, FNV3, 168, 112S,  890E,  71,  977, XX,  50, NEQ,   19,   23,   22,   18,     ,     ,  19,
IO, 09, 2025121912, 03, FNV3, 168, 112S,  890E,  71,  977, XX,  64, NEQ,   13,   14,   12,   12,     ,     ,  19,
IO, 09, 2025121912, 03, FNV3, 174, 112S,  881E,  71,  976, XX,  34, NEQ,   43,   56,   57,   41,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 174, 112S,  881E,  71,  976, XX,  50, NEQ,   18,   22,   22,   17,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 174, 112S,  881E,  71,  976, XX,  64, NEQ,   12,   12,   11,   11,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 180, 113S,  871E,  77,  973, XX,  34, NEQ,   40,   56,   56,   38,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 180, 113S,  871E,  77,  973, XX,  50, NEQ,   21,   25,   25,   19,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 180, 113S,  871E,  77,  973, XX,  64, NEQ,   13,   14,   12,   12,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 186, 115S,  861E,  88,  965, XX,  34, NEQ,   54,   68,   70,   54,     ,     ,  14,
IO, 09, 2025121912, 03, FNV3, 186, 115S,  861E,  88,  965, XX,  50, NEQ,   28,   32,   31,   25,     ,     ,  14,
IO, 09, 2025121912, 03, FNV3, 186, 115S,  861E,  88,  965, XX,  64, NEQ,   16,   17,   15,   15,     ,     ,  14,
IO, 09, 2025121912, 03, FNV3, 192, 116S,  851E,  89,  965, XX,  34, NEQ,   53,   68,   68,   50,     ,     ,  14,
IO, 09, 2025121912, 03, FNV3, 192, 116S,  851E,  89,  965, XX,  50, NEQ,   28,   33,   31,   25,     ,     ,  14,
IO, 09, 2025121912, 03, FNV3, 192, 116S,  851E,  89,  965, XX,  64, NEQ,   17,   19,   16,   15,     ,     ,  14,
IO, 09, 2025121912, 03, FNV3, 198, 117S,  840E,  90,  964, XX,  34, NEQ,   55,   72,   72,   53,     ,     ,  12,
IO, 09, 2025121912, 03, FNV3, 198, 117S,  840E,  90,  964, XX,  50, NEQ,   28,   32,   32,   25,     ,     ,  12,
IO, 09, 2025121912, 03, FNV3, 198, 117S,  840E,  90,  964, XX,  64, NEQ,   17,   17,   16,   15,     ,     ,  12,
IO, 09, 2025121912, 03, FNV3, 204, 119S,  831E,  99,  959, XX,  34, NEQ,   58,   78,   75,   55,     ,     ,   9,
IO, 09, 2025121912, 03, FNV3, 204, 119S,  831E,  99,  959, XX,  50, NEQ,   32,   37,   35,   28,     ,     ,   9,
IO, 09, 2025121912, 03, FNV3, 204, 119S,  831E,  99,  959, XX,  64, NEQ,   19,   21,   18,   17,     ,     ,   9,
IO, 09, 2025121912, 03, FNV3, 210, 120S,  820E, 101,  957, XX,  34, NEQ,   57,   76,   78,   55,     ,     ,  13,
