# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 09, 2025122000, 03, FNV3,   0, 120S, 1071E,  39,  997, XX,  34, NEQ,   20,   50,   60,   55,     ,     ,  30,
IO, 09, 2025122000, 03, FNV3,   6, 123S, 1066E,  33,  999, XX,  34, NEQ,    8,    7,    6,    5,     ,     ,  38,
IO, 09, 2025122000, 03, FNV3,  12, 125S, 1060E,  33,  999, XX,  34, NEQ,    6,    8,    6,    6,     ,     ,  34,
IO, 09, 2025122000, 03, FNV3,  12, 125S, 1060E,  33,  999, XX,  50, NEQ,    0,    1,    1,    0,     ,     ,  34,
IO, 09, 2025122000, 03, FNV3,  18, 125S, 1053E,  33, 1000, XX,  34, NEQ,   10,   13,    9,   10,     ,     ,  37,
IO, 09, 2025122000, 03, FNV3,  24, 125S, 1047E,  36, 1000, XX,  34, NEQ,   18,   23,   14,   15,     ,     ,  35,
IO, 09, 2025122000, 03, FNV3,  30, 124S, 1041E,  38,  999, XX,  34, NEQ,   22,   22,   18,   19,     ,     ,  31,
IO, 09, 2025122000, 03, FNV3,  30, 124S, 1041E,  38,  999, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  31,
IO, 09, 2025122000, 03, FNV3,  36, 124S, 1036E,  42,  997, XX,  34, NEQ,   26,   29,   25,   24,     ,     ,  25,
IO, 09, 2025122000, 03, FNV3,  36, 124S, 1036E,  42,  997, XX,  50, NEQ,    3,    3,    2,    2,     ,     ,  25,
IO, 09, 2025122000, 03, FNV3,  42, 123S, 1032E,  47,  995, XX,  34, NEQ,   39,   43,   40,   36,     ,     ,  23,
IO, 09, 2025122000, 03, FNV3,  42, 123S, 1032E,  47,  995, XX,  50, NEQ,    7,    7,    6,    5,     ,     ,  23,
IO, 09, 2025122000, 03, FNV3,  42, 123S, 1032E,  47,  995, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  23,
IO, 09, 2025122000, 03, FNV3,  48, 123S, 1027E,  53,  992, XX,  34, NEQ,   38,   44,   40,   35,     ,     ,  19,
IO, 09, 2025122000, 03, FNV3,  48, 123S, 1027E,  53,  992, XX,  50, NEQ,   11,   11,   10,    9,     ,     ,  19,
