# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 09, 2025122418, 03, FNV3,   0, 119S,  973E,  39,  996, XX,  34, NEQ,   35,   55,   50,   30,     ,     ,  25,
IO, 09, 2025122418, 03, FNV3,   6, 119S,  965E,  47,  995, XX,  34, NEQ,   35,   41,   35,   31,     ,     ,  21,
IO, 09, 2025122418, 03, FNV3,   6, 119S,  965E,  47,  995, XX,  50, NEQ,    5,    7,    4,    3,     ,     ,  21,
IO, 09, 2025122418, 03, FNV3,  12, 119S,  959E,  53,  991, XX,  34, NEQ,   48,   53,   48,   42,     ,     ,  15,
IO, 09, 2025122418, 03, FNV3,  12, 119S,  959E,  53,  991, XX,  50, NEQ,   11,   12,   10,    8,     ,     ,  15,
IO, 09, 2025122418, 03, FNV3,  12, 119S,  959E,  53,  991, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  15,
IO, 09, 2025122418, 03, FNV3,  18, 118S,  952E,  59,  987, XX,  34, NEQ,   44,   54,   53,   43,     ,     ,  13,
IO, 09, 2025122418, 03, FNV3,  18, 118S,  952E,  59,  987, XX,  50, NEQ,   14,   17,   14,   12,     ,     ,  13,
IO, 09, 2025122418, 03, FNV3,  18, 118S,  952E,  59,  987, XX,  64, NEQ,    4,    4,    4,    4,     ,     ,  13,
IO, 09, 2025122418, 03, FNV3,  24, 117S,  945E,  66,  983, XX,  34, NEQ,   49,   58,   59,   48,     ,     ,  13,
IO, 09, 2025122418, 03, FNV3,  24, 117S,  945E,  66,  983, XX,  50, NEQ,   16,   18,   18,   14,     ,     ,  13,
IO, 09, 2025122418, 03, FNV3,  24, 117S,  945E,  66,  983, XX,  64, NEQ,    5,    5,    4,    4,     ,     ,  13,
IO, 09, 2025122418, 03, FNV3,  30, 117S,  938E,  73,  978, XX,  34, NEQ,   47,   59,   63,   47,     ,     ,  12,
IO, 09, 2025122418, 03, FNV3,  30, 117S,  938E,  73,  978, XX,  50, NEQ,   18,   22,   22,   16,     ,     ,  12,
IO, 09, 2025122418, 03, FNV3,  30, 117S,  938E,  73,  978, XX,  64, NEQ,   10,   11,    9,    9,     ,     ,  12,
IO, 09, 2025122418, 03, FNV3,  36, 117S,  930E,  76,  976, XX,  34, NEQ,   50,   65,   68,   50,     ,     ,  11,
IO, 09, 2025122418, 03, FNV3,  36, 117S,  930E,  76,  976, XX,  50, NEQ,   25,   28,   27,   22,     ,     ,  11,
IO, 09, 2025122418, 03, FNV3,  36, 117S,  930E,  76,  976, XX,  64, NEQ,   13,   14,   13,   12,     ,     ,  11,
IO, 09, 2025122418, 03, FNV3,  42, 118S,  923E,  78,  975, XX,  34, NEQ,   48,   63,   66,   47,     ,     ,  13,
IO, 09, 2025122418, 03, FNV3,  42, 118S,  923E,  78,  975, XX,  50, NEQ,   23,   28,   26,   21,     ,     ,  13,
IO, 09, 2025122418, 03, FNV3,  42, 118S,  923E,  78,  975, XX,  64, NEQ,   13,   14,   13,   12,     ,     ,  13,
IO, 09, 2025122418, 03, FNV3,  48, 119S,  914E,  78,  976, XX,  34, NEQ,   48,   64,   69,   49,     ,     ,  12,
IO, 09, 2025122418, 03, FNV3,  48, 119S,  914E,  78,  976, XX,  50, NEQ,   24,   29,   28,   22,     ,     ,  12,
IO, 09, 2025122418, 03, FNV3,  48, 119S,  914E,  78,  976, XX,  64, NEQ,   12,   13,   12,   11,     ,     ,  12,
IO, 09, 2025122418, 03, FNV3,  54, 120S,  906E,  83,  973, XX,  34, NEQ,   47,   65,   67,   47,     ,     ,  11,
