# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 09, 2025123018, 03, FNV3,   0, 148S,  745E, 109,  955, XX,  34, NEQ,   40,   60,   50,   40,     ,     ,   5,
IO, 09, 2025123018, 03, FNV3,   6, 151S,  734E,  94,  968, XX,  34, NEQ,   41,   61,   65,   42,     ,     ,   7,
IO, 09, 2025123018, 03, FNV3,   6, 151S,  734E,  94,  968, XX,  50, NEQ,   27,   33,   32,   26,     ,     ,   7,
IO, 09, 2025123018, 03, FNV3,   6, 151S,  734E,  94,  968, XX,  64, NEQ,   21,   21,   19,   19,     ,     ,   7,
IO, 09, 2025123018, 03, FNV3,  12, 155S,  721E,  93,  968, XX,  34, NEQ,   50,   68,   70,   49,     ,     ,   9,
IO, 09, 2025123018, 03, FNV3,  12, 155S,  721E,  93,  968, XX,  50, NEQ,   30,   35,   34,   27,     ,     ,   9,
IO, 09, 2025123018, 03, FNV3,  12, 155S,  721E,  93,  968, XX,  64, NEQ,   20,   21,   19,   18,     ,     ,   9,
IO, 09, 2025123018, 03, FNV3,  18, 161S,  710E,  89,  970, XX,  34, NEQ,   44,   65,   66,   41,     ,     ,   8,
IO, 09, 2025123018, 03, FNV3,  18, 161S,  710E,  89,  970, XX,  50, NEQ,   29,   35,   33,   26,     ,     ,   8,
IO, 09, 2025123018, 03, FNV3,  18, 161S,  710E,  89,  970, XX,  64, NEQ,   21,   22,   19,   19,     ,     ,   8,
IO, 09, 2025123018, 03, FNV3,  24, 164S,  700E,  80,  976, XX,  34, NEQ,   47,   65,   69,   47,     ,     ,  12,
IO, 09, 2025123018, 03, FNV3,  24, 164S,  700E,  80,  976, XX,  50, NEQ,   29,   35,   33,   27,     ,     ,  12,
IO, 09, 2025123018, 03, FNV3,  24, 164S,  700E,  80,  976, XX,  64, NEQ,   18,   19,   17,   16,     ,     ,  12,
IO, 09, 2025123018, 03, FNV3,  30, 167S,  694E,  71,  981, XX,  34, NEQ,   50,   65,   67,   48,     ,     ,  14,
IO, 09, 2025123018, 03, FNV3,  30, 167S,  694E,  71,  981, XX,  50, NEQ,   24,   29,   27,   22,     ,     ,  14,
IO, 09, 2025123018, 03, FNV3,  30, 167S,  694E,  71,  981, XX,  64, NEQ,   12,   13,   11,   10,     ,     ,  14,
IO, 09, 2025123018, 03, FNV3,  36, 168S,  688E,  55,  991, XX,  34, NEQ,   39,   47,   48,   36,     ,     ,  17,
IO, 09, 2025123018, 03, FNV3,  36, 168S,  688E,  55,  991, XX,  50, NEQ,   13,   15,   13,   11,     ,     ,  17,
IO, 09, 2025123018, 03, FNV3,  36, 168S,  688E,  55,  991, XX,  64, NEQ,    3,    4,    4,    3,     ,     ,  17,
IO, 09, 2025123018, 03, FNV3,  42, 168S,  684E,  44,  995, XX,  34, NEQ,   33,   38,   37,   33,     ,     ,  26,
IO, 09, 2025123018, 03, FNV3,  42, 168S,  684E,  44,  995, XX,  50, NEQ,    4,    4,    4,    3,     ,     ,  26,
IO, 09, 2025123018, 03, FNV3,  42, 168S,  684E,  44,  995, XX,  64, NEQ,    1,    2,    2,    1,     ,     ,  26,
IO, 09, 2025123018, 03, FNV3,  48, 165S,  680E,  41,  997, XX,  34, NEQ,   24,   27,   28,   25,     ,     ,  24,
IO, 09, 2025123018, 03, FNV3,  48, 165S,  680E,  41,  997, XX,  50, NEQ,    3,    4,    4,    3,     ,     ,  24,
