# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 14, 2026011506, 03, FNV3,   0, 171S,  743E,  93,  967, XX,  34, NEQ,   60,  100,  100,   60,     ,     ,  12,
IO, 14, 2026011506, 03, FNV3,   6, 169S,  735E, 119,  944, XX,  34, NEQ,   61,   93,   99,   62,     ,     ,   8,
IO, 14, 2026011506, 03, FNV3,   6, 169S,  735E, 119,  944, XX,  50, NEQ,   36,   45,   46,   34,     ,     ,   8,
IO, 14, 2026011506, 03, FNV3,   6, 169S,  735E, 119,  944, XX,  64, NEQ,   25,   28,   25,   23,     ,     ,   8,
IO, 14, 2026011506, 03, FNV3,  12, 168S,  729E, 117,  946, XX,  34, NEQ,   65,   92,   98,   68,     ,     ,   8,
IO, 14, 2026011506, 03, FNV3,  12, 168S,  729E, 117,  946, XX,  50, NEQ,   35,   43,   44,   33,     ,     ,   8,
IO, 14, 2026011506, 03, FNV3,  12, 168S,  729E, 117,  946, XX,  64, NEQ,   24,   27,   24,   22,     ,     ,   8,
IO, 14, 2026011506, 03, FNV3,  18, 167S,  723E, 116,  947, XX,  34, NEQ,   73,  103,  104,   71,     ,     ,  11,
IO, 14, 2026011506, 03, FNV3,  18, 167S,  723E, 116,  947, XX,  50, NEQ,   41,   50,   50,   38,     ,     ,  11,
IO, 14, 2026011506, 03, FNV3,  18, 167S,  723E, 116,  947, XX,  64, NEQ,   26,   29,   26,   24,     ,     ,  11,
IO, 14, 2026011506, 03, FNV3,  24, 167S,  716E, 106,  956, XX,  34, NEQ,   66,   96,  100,   65,     ,     ,  11,
IO, 14, 2026011506, 03, FNV3,  24, 167S,  716E, 106,  956, XX,  50, NEQ,   37,   47,   46,   35,     ,     ,  11,
IO, 14, 2026011506, 03, FNV3,  24, 167S,  716E, 106,  956, XX,  64, NEQ,   23,   27,   24,   22,     ,     ,  11,
IO, 14, 2026011506, 03, FNV3,  30, 168S,  710E,  93,  965, XX,  34, NEQ,   73,  100,   96,   65,     ,     ,  11,
IO, 14, 2026011506, 03, FNV3,  30, 168S,  710E,  93,  965, XX,  50, NEQ,   40,   47,   44,   35,     ,     ,  11,
IO, 14, 2026011506, 03, FNV3,  30, 168S,  710E,  93,  965, XX,  64, NEQ,   20,   23,   20,   18,     ,     ,  11,
IO, 14, 2026011506, 03, FNV3,  36, 170S,  703E,  79,  977, XX,  34, NEQ,   72,   94,   90,   64,     ,     ,  14,
IO, 14, 2026011506, 03, FNV3,  36, 170S,  703E,  79,  977, XX,  50, NEQ,   37,   42,   39,   32,     ,     ,  14,
IO, 14, 2026011506, 03, FNV3,  36, 170S,  703E,  79,  977, XX,  64, NEQ,   15,   17,   15,   13,     ,     ,  14,
IO, 14, 2026011506, 03, FNV3,  42, 174S,  696E,  68,  984, XX,  34, NEQ,   78,   98,   89,   66,     ,     ,  14,
IO, 14, 2026011506, 03, FNV3,  42, 174S,  696E,  68,  984, XX,  50, NEQ,   35,   39,   34,   29,     ,     ,  14,
IO, 14, 2026011506, 03, FNV3,  42, 174S,  696E,  68,  984, XX,  64, NEQ,   10,   12,    9,    9,     ,     ,  14,
IO, 14, 2026011506, 03, FNV3,  48, 179S,  691E,  59,  989, XX,  34, NEQ,   80,   95,   83,   67,     ,     ,  19,
IO, 14, 2026011506, 03, FNV3,  48, 179S,  691E,  59,  989, XX,  50, NEQ,   30,   32,   28,   25,     ,     ,  19,
IO, 14, 2026011506, 03, FNV3,  48, 179S,  691E,  59,  989, XX,  64, NEQ,    6,    7,    6,    5,     ,     ,  19,
IO, 14, 2026011506, 03, FNV3,  54, 184S,  685E,  54,  991, XX,  34, NEQ,   82,   94,   80,   67,     ,     ,  21,
IO, 14, 2026011506, 03, FNV3,  54, 184S,  685E,  54,  991, XX,  50, NEQ,   18,   20,   17,   14,     ,     ,  21,
IO, 14, 2026011506, 03, FNV3,  54, 184S,  685E,  54,  991, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  21,
IO, 14, 2026011506, 03, FNV3,  60, 191S,  680E,  54,  992, XX,  34, NEQ,   85,   95,   82,   71,     ,     ,  24,
IO, 14, 2026011506, 03, FNV3,  60, 191S,  680E,  54,  992, XX,  50, NEQ,   24,   26,   21,   20,     ,     ,  24,
IO, 14, 2026011506, 03, FNV3,  60, 191S,  680E,  54,  992, XX,  64, NEQ,    4,    4,    4,    4,     ,     ,  24,
IO, 14, 2026011506, 03, FNV3,  66, 198S,  674E,  54,  992, XX,  34, NEQ,   84,   96,   79,   68,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3,  66, 198S,  674E,  54,  992, XX,  50, NEQ,   22,   26,   19,   17,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3,  66, 198S,  674E,  54,  992, XX,  64, NEQ,    2,    3,    2,    2,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3,  72, 206S,  666E,  53,  992, XX,  34, NEQ,   79,   93,   80,   66,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3,  72, 206S,  666E,  53,  992, XX,  50, NEQ,   15,   18,   14,   12,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3,  78, 211S,  659E,  55,  990, XX,  34, NEQ,   91,  107,   92,   76,     ,     ,  24,
IO, 14, 2026011506, 03, FNV3,  78, 211S,  659E,  55,  990, XX,  50, NEQ,   25,   27,   22,   19,     ,     ,  24,
IO, 14, 2026011506, 03, FNV3,  78, 211S,  659E,  55,  990, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  24,
IO, 14, 2026011506, 03, FNV3,  84, 216S,  647E,  54,  992, XX,  34, NEQ,   99,  115,  102,   86,     ,     ,  25,
IO, 14, 2026011506, 03, FNV3,  84, 216S,  647E,  54,  992, XX,  50, NEQ,   23,   26,   22,   19,     ,     ,  25,
IO, 14, 2026011506, 03, FNV3,  84, 216S,  647E,  54,  992, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  25,
IO, 14, 2026011506, 03, FNV3,  90, 220S,  634E,  53,  992, XX,  34, NEQ,   89,  106,   89,   75,     ,     ,  25,
IO, 14, 2026011506, 03, FNV3,  90, 220S,  634E,  53,  992, XX,  50, NEQ,   20,   23,   18,   15,     ,     ,  25,
IO, 14, 2026011506, 03, FNV3,  90, 220S,  634E,  53,  992, XX,  64, NEQ,    1,    2,    1,    1,     ,     ,  25,
IO, 14, 2026011506, 03, FNV3,  96, 224S,  621E,  52,  993, XX,  34, NEQ,   75,   91,   79,   63,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3,  96, 224S,  621E,  52,  993, XX,  50, NEQ,   15,   19,   15,   12,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3,  96, 224S,  621E,  52,  993, XX,  64, NEQ,    1,    2,    2,    1,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3, 102, 230S,  609E,  54,  992, XX,  34, NEQ,   76,   93,   78,   62,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3, 102, 230S,  609E,  54,  992, XX,  50, NEQ,   20,   23,   18,   15,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3, 102, 230S,  609E,  54,  992, XX,  64, NEQ,    1,    2,    2,    1,     ,     ,  22,
IO, 14, 2026011506, 03, FNV3, 108, 237S,  595E,  58,  990, XX,  34, NEQ,   70,   86,   76,   58,     ,     ,  20,
IO, 14, 2026011506, 03, FNV3, 108, 237S,  595E,  58,  990, XX,  50, NEQ,   26,   28,   23,   20,     ,     ,  20,
IO, 14, 2026011506, 03, FNV3, 108, 237S,  595E,  58,  990, XX,  64, NEQ,    6,    7,    5,    5,     ,     ,  20,
IO, 14, 2026011506, 03, FNV3, 114, 246S,  585E,  57,  990, XX,  34, NEQ,   68,   85,   68,   52,     ,     ,  20,
IO, 14, 2026011506, 03, FNV3, 114, 246S,  585E,  57,  990, XX,  50, NEQ,   21,   25,   18,   15,     ,     ,  20,
IO, 14, 2026011506, 03, FNV3, 114, 246S,  585E,  57,  990, XX,  64, NEQ,    2,    4,    2,    2,     ,     ,  20,
IO, 14, 2026011506, 03, FNV3, 120, 257S,  576E,  60,  988, XX,  34, NEQ,   70,   84,   68,   54,     ,     ,  20,
IO, 14, 2026011506, 03, FNV3, 120, 257S,  576E,  60,  988, XX,  50, NEQ,   24,   28,   20,   18,     ,     ,  20,
IO, 14, 2026011506, 03, FNV3, 120, 257S,  576E,  60,  988, XX,  64, NEQ,    6,    7,    5,    5,     ,     ,  20,
IO, 14, 2026011506, 03, FNV3, 126, 270S,  571E,  57,  988, XX,  34, NEQ,   72,   82,   61,   53,     ,     ,  21,
IO, 14, 2026011506, 03, FNV3, 126, 270S,  571E,  57,  988, XX,  50, NEQ,   24,   26,   18,   18,     ,     ,  21,
IO, 14, 2026011506, 03, FNV3, 126, 270S,  571E,  57,  988, XX,  64, NEQ,    4,    4,    3,    3,     ,     ,  21,
IO, 14, 2026011506, 03, FNV3, 132, 286S,  570E,  52,  990, XX,  34, NEQ,   73,   73,   55,   55,     ,     ,  24,
IO, 14, 2026011506, 03, FNV3, 132, 286S,  570E,  52,  990, XX,  50, NEQ,   20,   17,   13,   13,     ,     ,  24,
IO, 14, 2026011506, 03, FNV3, 132, 286S,  570E,  52,  990, XX,  64, NEQ,    3,    1,    1,    1,     ,     ,  24,
IO, 14, 2026011506, 03, FNV3, 138, 304S,  575E,  51,  990, XX,  34, NEQ,   76,   73,   55,   57,     ,     ,  23,
IO, 14, 2026011506, 03, FNV3, 138, 304S,  575E,  51,  990, XX,  50, NEQ,   19,   18,   12,   14,     ,     ,  23,
IO, 14, 2026011506, 03, FNV3, 138, 304S,  575E,  51,  990, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  23,
IO, 14, 2026011506, 03, FNV3, 144, 326S,  589E,  42,  994, XX,  34, NEQ,   51,   38,   30,   32,     ,     ,  33,
IO, 14, 2026011506, 03, FNV3, 144, 326S,  589E,  42,  994, XX,  50, NEQ,    5,    3,    2,    2,     ,     ,  33,
IO, 14, 2026011506, 03, FNV3, 150, 354S,  615E,  40,  994, XX,  34, NEQ,   57,   43,   35,   38,     ,     ,  41,
IO, 14, 2026011506, 03, FNV3, 150, 354S,  615E,  40,  994, XX,  50, NEQ,    4,    3,    1,    2,     ,     ,  41,
IO, 14, 2026011506, 03, FNV3, 156, 374S,  645E,  38,  995, XX,  34, NEQ,   34,   29,   20,   30,     ,     ,  46,
IO, 14, 2026011506, 03, FNV3, 156, 374S,  645E,  38,  995, XX,  50, NEQ,    1,    0,    0,    2,     ,     ,  46,
IO, 14, 2026011506, 03, FNV3, 162, 395S,  671E,  36,  996, XX,  34, NEQ,   31,   22,   16,    9,     ,     ,  64,
WP, 01, 2026011506, 03, FNV3,   0, 100N, 1289E,  29,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  60,
WP, 01, 2026011506, 03, FNV3,   6, 101N, 1290E,  30, 1000, XX,  34, NEQ,    5,    4,    4,    5,     ,     ,  44,
WP, 01, 2026011506, 03, FNV3,  12, 103N, 1288E,  30,  999, XX,  34, NEQ,    9,    7,    7,    7,     ,     ,  50,
WP, 01, 2026011506, 03, FNV3,  18, 107N, 1283E,  34,  999, XX,  34, NEQ,   30,   25,   21,   23,     ,     ,  51,
WP, 01, 2026011506, 03, FNV3,  24, 112N, 1277E,  33,  998, XX,  34, NEQ,   20,   16,   13,   16,     ,     ,  49,
WP, 01, 2026011506, 03, FNV3,  30, 118N, 1269E,  38,  996, XX,  34, NEQ,   45,   36,   34,   37,     ,     ,  41,
WP, 01, 2026011506, 03, FNV3,  30, 118N, 1269E,  38,  996, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
WP, 01, 2026011506, 03, FNV3,  36, 121N, 1263E,  38,  996, XX,  34, NEQ,   46,   37,   32,   38,     ,     ,  43,
WP, 01, 2026011506, 03, FNV3,  36, 121N, 1263E,  38,  996, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  43,
WP, 01, 2026011506, 03, FNV3,  42, 126N, 1257E,  40,  996, XX,  34, NEQ,   55,   49,   42,   47,     ,     ,  38,
WP, 01, 2026011506, 03, FNV3,  42, 126N, 1257E,  40,  996, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  38,
WP, 01, 2026011506, 03, FNV3,  48, 131N, 1253E,  42,  994, XX,  34, NEQ,   76,   66,   59,   63,     ,     ,  40,
WP, 01, 2026011506, 03, FNV3,  48, 131N, 1253E,  42,  994, XX,  50, NEQ,    7,    4,    3,    4,     ,     ,  40,
WP, 01, 2026011506, 03, FNV3,  48, 131N, 1253E,  42,  994, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  40,
WP, 01, 2026011506, 03, FNV3,  54, 134N, 1252E,  43,  994, XX,  34, NEQ,   63,   58,   50,   55,     ,     ,  37,
WP, 01, 2026011506, 03, FNV3,  54, 134N, 1252E,  43,  994, XX,  50, NEQ,    6,    5,    3,    4,     ,     ,  37,
WP, 01, 2026011506, 03, FNV3,  54, 134N, 1252E,  43,  994, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  37,
WP, 01, 2026011506, 03, FNV3,  60, 138N, 1250E,  39,  995, XX,  34, NEQ,   64,   56,   48,   54,     ,     ,  39,
WP, 01, 2026011506, 03, FNV3,  60, 138N, 1250E,  39,  995, XX,  50, NEQ,    6,    6,    4,    5,     ,     ,  39,
WP, 01, 2026011506, 03, FNV3,  60, 138N, 1250E,  39,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  39,
WP, 01, 2026011506, 03, FNV3,  66, 141N, 1250E,  36,  998, XX,  34, NEQ,   41,   37,   30,   34,     ,     ,  41,
WP, 01, 2026011506, 03, FNV3,  66, 141N, 1250E,  36,  998, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
WP, 01, 2026011506, 03, FNV3,  72, 144N, 1251E,  33,  999, XX,  34, NEQ,   30,   28,   23,   26,     ,     ,  43,
WP, 01, 2026011506, 03, FNV3,  72, 144N, 1251E,  33,  999, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  43,
WP, 01, 2026011506, 03, FNV3,  78, 146N, 1253E,  32,  999, XX,  34, NEQ,   29,   28,   23,   24,     ,     ,  42,
WP, 01, 2026011506, 03, FNV3,  78, 146N, 1253E,  32,  999, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  42,
WP, 01, 2026011506, 03, FNV3,  84, 149N, 1255E,  30, 1000, XX,  34, NEQ,   21,   18,   14,   15,     ,     ,  46,
WP, 01, 2026011506, 03, FNV3,  90, 151N, 1258E,  28, 1001, XX,  34, NEQ,   14,   10,    8,    8,     ,     ,  49,
WP, 01, 2026011506, 03, FNV3,  96, 152N, 1261E,  29, 1001, XX,  34, NEQ,   14,   14,   11,   12,     ,     ,  49,
WP, 01, 2026011506, 03, FNV3, 102, 152N, 1266E,  29, 1000, XX,  34, NEQ,   19,   18,   16,   16,     ,     ,  43,
WP, 01, 2026011506, 03, FNV3, 108, 152N, 1271E,  28, 1001, XX,  34, NEQ,   10,   10,    8,    9,     ,     ,  47,
WP, 01, 2026011506, 03, FNV3, 114, 152N, 1274E,  28, 1001, XX,  34, NEQ,    6,    6,    5,    5,     ,     ,  47,
WP, 01, 2026011506, 03, FNV3, 120, 151N, 1280E,  30, 1000, XX,  34, NEQ,   12,   12,   10,    9,     ,     ,  44,
