# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 14, 2026011512, 03, FNV3,   0, 171S,  736E, 109,  952, XX,  34, NEQ,   70,  110,  110,   70,     ,     ,  12,
IO, 14, 2026011512, 03, FNV3,   6, 169S,  728E, 117,  948, XX,  34, NEQ,   59,   89,   94,   63,     ,     ,   7,
IO, 14, 2026011512, 03, FNV3,   6, 169S,  728E, 117,  948, XX,  50, NEQ,   33,   42,   42,   31,     ,     ,   7,
IO, 14, 2026011512, 03, FNV3,   6, 169S,  728E, 117,  948, XX,  64, NEQ,   24,   27,   24,   22,     ,     ,   7,
IO, 14, 2026011512, 03, FNV3,  12, 168S,  721E, 115,  948, XX,  34, NEQ,   67,   95,   98,   66,     ,     ,  10,
IO, 14, 2026011512, 03, FNV3,  12, 168S,  721E, 115,  948, XX,  50, NEQ,   38,   47,   47,   36,     ,     ,  10,
IO, 14, 2026011512, 03, FNV3,  12, 168S,  721E, 115,  948, XX,  64, NEQ,   25,   29,   25,   24,     ,     ,  10,
IO, 14, 2026011512, 03, FNV3,  18, 168S,  714E, 101,  961, XX,  34, NEQ,   60,   86,   88,   59,     ,     ,   9,
IO, 14, 2026011512, 03, FNV3,  18, 168S,  714E, 101,  961, XX,  50, NEQ,   31,   40,   39,   29,     ,     ,   9,
IO, 14, 2026011512, 03, FNV3,  18, 168S,  714E, 101,  961, XX,  64, NEQ,   20,   22,   20,   18,     ,     ,   9,
IO, 14, 2026011512, 03, FNV3,  24, 168S,  708E,  89,  969, XX,  34, NEQ,   66,   92,   91,   62,     ,     ,  11,
IO, 14, 2026011512, 03, FNV3,  24, 168S,  708E,  89,  969, XX,  50, NEQ,   37,   45,   44,   34,     ,     ,  11,
IO, 14, 2026011512, 03, FNV3,  24, 168S,  708E,  89,  969, XX,  64, NEQ,   20,   23,   20,   18,     ,     ,  11,
IO, 14, 2026011512, 03, FNV3,  30, 170S,  700E,  73,  980, XX,  34, NEQ,   70,   88,   84,   63,     ,     ,  13,
IO, 14, 2026011512, 03, FNV3,  30, 170S,  700E,  73,  980, XX,  50, NEQ,   30,   34,   31,   26,     ,     ,  13,
IO, 14, 2026011512, 03, FNV3,  30, 170S,  700E,  73,  980, XX,  64, NEQ,   11,   12,   11,   10,     ,     ,  13,
IO, 14, 2026011512, 03, FNV3,  36, 173S,  694E,  64,  985, XX,  34, NEQ,   66,   83,   74,   56,     ,     ,  16,
IO, 14, 2026011512, 03, FNV3,  36, 173S,  694E,  64,  985, XX,  50, NEQ,   26,   28,   25,   21,     ,     ,  16,
IO, 14, 2026011512, 03, FNV3,  36, 173S,  694E,  64,  985, XX,  64, NEQ,    7,    9,    7,    6,     ,     ,  16,
IO, 14, 2026011512, 03, FNV3,  42, 177S,  688E,  54,  992, XX,  34, NEQ,   67,   79,   68,   55,     ,     ,  17,
IO, 14, 2026011512, 03, FNV3,  42, 177S,  688E,  54,  992, XX,  50, NEQ,   18,   18,   15,   13,     ,     ,  17,
IO, 14, 2026011512, 03, FNV3,  42, 177S,  688E,  54,  992, XX,  64, NEQ,    1,    3,    2,    1,     ,     ,  17,
IO, 14, 2026011512, 03, FNV3,  48, 182S,  683E,  52,  992, XX,  34, NEQ,   72,   80,   66,   56,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3,  48, 182S,  683E,  52,  992, XX,  50, NEQ,   14,   17,   12,   11,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3,  48, 182S,  683E,  52,  992, XX,  64, NEQ,    2,    2,    2,    1,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3,  54, 188S,  679E,  50,  994, XX,  34, NEQ,   83,   91,   77,   69,     ,     ,  26,
IO, 14, 2026011512, 03, FNV3,  54, 188S,  679E,  50,  994, XX,  50, NEQ,   16,   17,   14,   13,     ,     ,  26,
IO, 14, 2026011512, 03, FNV3,  54, 188S,  679E,  50,  994, XX,  64, NEQ,    2,    2,    2,    1,     ,     ,  26,
IO, 14, 2026011512, 03, FNV3,  60, 195S,  673E,  51,  993, XX,  34, NEQ,   78,   90,   76,   65,     ,     ,  27,
IO, 14, 2026011512, 03, FNV3,  60, 195S,  673E,  51,  993, XX,  50, NEQ,   15,   18,   13,   11,     ,     ,  27,
IO, 14, 2026011512, 03, FNV3,  60, 195S,  673E,  51,  993, XX,  64, NEQ,    2,    2,    2,    1,     ,     ,  27,
IO, 14, 2026011512, 03, FNV3,  66, 202S,  666E,  52,  993, XX,  34, NEQ,   79,   90,   77,   65,     ,     ,  23,
IO, 14, 2026011512, 03, FNV3,  66, 202S,  666E,  52,  993, XX,  50, NEQ,   17,   19,   15,   13,     ,     ,  23,
IO, 14, 2026011512, 03, FNV3,  66, 202S,  666E,  52,  993, XX,  64, NEQ,    3,    3,    2,    2,     ,     ,  23,
IO, 14, 2026011512, 03, FNV3,  72, 208S,  659E,  55,  990, XX,  34, NEQ,   84,   96,   83,   69,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3,  72, 208S,  659E,  55,  990, XX,  50, NEQ,   23,   25,   20,   17,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3,  72, 208S,  659E,  55,  990, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3,  78, 213S,  649E,  54,  991, XX,  34, NEQ,   82,   95,   84,   70,     ,     ,  21,
IO, 14, 2026011512, 03, FNV3,  78, 213S,  649E,  54,  991, XX,  50, NEQ,   21,   24,   20,   17,     ,     ,  21,
IO, 14, 2026011512, 03, FNV3,  78, 213S,  649E,  54,  991, XX,  64, NEQ,    4,    5,    4,    4,     ,     ,  21,
IO, 14, 2026011512, 03, FNV3,  84, 217S,  637E,  52,  991, XX,  34, NEQ,   85,   99,   85,   72,     ,     ,  25,
IO, 14, 2026011512, 03, FNV3,  84, 217S,  637E,  52,  991, XX,  50, NEQ,   14,   18,   14,   11,     ,     ,  25,
IO, 14, 2026011512, 03, FNV3,  84, 217S,  637E,  52,  991, XX,  64, NEQ,    2,    3,    2,    2,     ,     ,  25,
IO, 14, 2026011512, 03, FNV3,  90, 222S,  623E,  51,  993, XX,  34, NEQ,   77,   90,   77,   65,     ,     ,  26,
IO, 14, 2026011512, 03, FNV3,  90, 222S,  623E,  51,  993, XX,  50, NEQ,    9,   12,   10,    7,     ,     ,  26,
IO, 14, 2026011512, 03, FNV3,  90, 222S,  623E,  51,  993, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  26,
IO, 14, 2026011512, 03, FNV3,  96, 226S,  610E,  52,  993, XX,  34, NEQ,   73,   90,   76,   61,     ,     ,  25,
IO, 14, 2026011512, 03, FNV3,  96, 226S,  610E,  52,  993, XX,  50, NEQ,   19,   22,   17,   15,     ,     ,  25,
IO, 14, 2026011512, 03, FNV3,  96, 226S,  610E,  52,  993, XX,  64, NEQ,    1,    2,    1,    1,     ,     ,  25,
IO, 14, 2026011512, 03, FNV3, 102, 233S,  597E,  56,  990, XX,  34, NEQ,   70,   86,   76,   59,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3, 102, 233S,  597E,  56,  990, XX,  50, NEQ,   25,   28,   23,   20,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3, 102, 233S,  597E,  56,  990, XX,  64, NEQ,    5,    6,    5,    4,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3, 108, 241S,  586E,  56,  990, XX,  34, NEQ,   66,   83,   65,   50,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3, 108, 241S,  586E,  56,  990, XX,  50, NEQ,   20,   25,   18,   15,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3, 108, 241S,  586E,  56,  990, XX,  64, NEQ,    4,    5,    3,    3,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3, 114, 252S,  576E,  55,  990, XX,  34, NEQ,   68,   81,   65,   52,     ,     ,  23,
IO, 14, 2026011512, 03, FNV3, 114, 252S,  576E,  55,  990, XX,  50, NEQ,   18,   21,   15,   13,     ,     ,  23,
IO, 14, 2026011512, 03, FNV3, 114, 252S,  576E,  55,  990, XX,  64, NEQ,    3,    4,    3,    2,     ,     ,  23,
IO, 14, 2026011512, 03, FNV3, 120, 265S,  570E,  53,  989, XX,  34, NEQ,   75,   84,   64,   56,     ,     ,  21,
IO, 14, 2026011512, 03, FNV3, 120, 265S,  570E,  53,  989, XX,  50, NEQ,   18,   17,   13,   12,     ,     ,  21,
IO, 14, 2026011512, 03, FNV3, 120, 265S,  570E,  53,  989, XX,  64, NEQ,    4,    3,    3,    3,     ,     ,  21,
IO, 14, 2026011512, 03, FNV3, 126, 281S,  569E,  52,  990, XX,  34, NEQ,   71,   73,   56,   54,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3, 126, 281S,  569E,  52,  990, XX,  50, NEQ,   19,   19,   13,   14,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3, 126, 281S,  569E,  52,  990, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  22,
IO, 14, 2026011512, 03, FNV3, 132, 298S,  573E,  49,  990, XX,  34, NEQ,   64,   63,   46,   47,     ,     ,  24,
IO, 14, 2026011512, 03, FNV3, 132, 298S,  573E,  49,  990, XX,  50, NEQ,   13,   12,    8,    9,     ,     ,  24,
