# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 91, 2026012200, 03, FNV3,   0, 114S, 1189E,  25, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  55,
IO, 91, 2026012200, 03, FNV3,   6, 122S, 1182E,  23, 1003, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  49,
IO, 91, 2026012200, 03, FNV3,  12, 128S, 1182E,  26, 1001, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
IO, 91, 2026012200, 03, FNV3,  18, 133S, 1185E,  30, 1000, XX,  34, NEQ,    8,    6,    6,    6,     ,     ,  43,
IO, 91, 2026012200, 03, FNV3,  24, 138S, 1189E,  37,  997, XX,  34, NEQ,   42,   40,   30,   33,     ,     ,  41,
IO, 91, 2026012200, 03, FNV3,  24, 138S, 1189E,  37,  997, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
IO, 91, 2026012200, 03, FNV3,  30, 145S, 1194E,  44,  994, XX,  34, NEQ,   82,   78,   62,   64,     ,     ,  40,
IO, 91, 2026012200, 03, FNV3,  30, 145S, 1194E,  44,  994, XX,  50, NEQ,    9,    5,    4,    4,     ,     ,  40,
IO, 91, 2026012200, 03, FNV3,  36, 152S, 1200E,  49,  992, XX,  34, NEQ,   83,   77,   63,   68,     ,     ,  32,
IO, 91, 2026012200, 03, FNV3,  36, 152S, 1200E,  49,  992, XX,  50, NEQ,   15,   12,    9,   10,     ,     ,  32,
IO, 91, 2026012200, 03, FNV3,  36, 152S, 1200E,  49,  992, XX,  64, NEQ,    2,    0,    0,    0,     ,     ,  32,
IO, 91, 2026012200, 03, FNV3,  42, 158S, 1207E,  55,  988, XX,  34, NEQ,  108,  102,   85,   89,     ,     ,  30,
IO, 91, 2026012200, 03, FNV3,  42, 158S, 1207E,  55,  988, XX,  50, NEQ,   36,   33,   25,   28,     ,     ,  30,
IO, 91, 2026012200, 03, FNV3,  42, 158S, 1207E,  55,  988, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  30,
IO, 91, 2026012200, 03, FNV3,  48, 164S, 1214E,  64,  983, XX,  34, NEQ,  110,  106,   89,   91,     ,     ,  25,
IO, 91, 2026012200, 03, FNV3,  48, 164S, 1214E,  64,  983, XX,  50, NEQ,   47,   40,   32,   34,     ,     ,  25,
