# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 19, 2026013112, 03, FNV3,   0, 171S,  465E,  60,  989, XX,  34, NEQ,   75,   60,  100,   95,     ,     ,  12,
IO, 19, 2026013112, 03, FNV3,   6, 180S,  473E,  37, 1001, XX,  34, NEQ,   45,   41,   32,   33,     ,     ,  23,
IO, 19, 2026013112, 03, FNV3,   6, 180S,  473E,  37, 1001, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  23,
IO, 19, 2026013112, 03, FNV3,  12, 188S,  485E,  31, 1003, XX,  34, NEQ,   15,   14,   11,   12,     ,     ,  33,
IO, 19, 2026013112, 03, FNV3,  18, 196S,  494E,  35, 1002, XX,  34, NEQ,   26,   20,   15,   18,     ,     ,  33,
IO, 19, 2026013112, 03, FNV3,  24, 202S,  504E,  42,  998, XX,  34, NEQ,   53,   47,   36,   38,     ,     ,  30,
IO, 19, 2026013112, 03, FNV3,  24, 202S,  504E,  42,  998, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  30,
IO, 19, 2026013112, 03, FNV3,  30, 209S,  515E,  48,  997, XX,  34, NEQ,   69,   62,   48,   52,     ,     ,  28,
IO, 19, 2026013112, 03, FNV3,  30, 209S,  515E,  48,  997, XX,  50, NEQ,    9,    7,    5,    6,     ,     ,  28,
IO, 19, 2026013112, 03, FNV3,  36, 214S,  521E,  53,  994, XX,  34, NEQ,   69,   65,   53,   53,     ,     ,  24,
IO, 19, 2026013112, 03, FNV3,  36, 214S,  521E,  53,  994, XX,  50, NEQ,   14,   10,    6,    6,     ,     ,  24,
IO, 19, 2026013112, 03, FNV3,  36, 214S,  521E,  53,  994, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  24,
IO, 19, 2026013112, 03, FNV3,  42, 220S,  527E,  57,  991, XX,  34, NEQ,   73,   71,   59,   58,     ,     ,  18,
IO, 19, 2026013112, 03, FNV3,  42, 220S,  527E,  57,  991, XX,  50, NEQ,   21,   17,   13,   14,     ,     ,  18,
IO, 19, 2026013112, 03, FNV3,  42, 220S,  527E,  57,  991, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  18,
IO, 19, 2026013112, 03, FNV3,  48, 226S,  534E,  60,  989, XX,  34, NEQ,   75,   72,   60,   59,     ,     ,  16,
IO, 19, 2026013112, 03, FNV3,  48, 226S,  534E,  60,  989, XX,  50, NEQ,   25,   21,   17,   18,     ,     ,  16,
IO, 19, 2026013112, 03, FNV3,  48, 226S,  534E,  60,  989, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  16,
IO, 19, 2026013112, 03, FNV3,  54, 231S,  540E,  56,  992, XX,  34, NEQ,   77,   70,   61,   63,     ,     ,  23,
IO, 19, 2026013112, 03, FNV3,  54, 231S,  540E,  56,  992, XX,  50, NEQ,   24,   18,   15,   16,     ,     ,  23,
IO, 19, 2026013112, 03, FNV3,  54, 231S,  540E,  56,  992, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  23,
