# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 19, 2026020112, 03, FNV3,   0, 204S,  503E,  45, 1000, XX,  34, NEQ,   70,   70,   45,   55,     ,     ,  12,
IO, 19, 2026020112, 03, FNV3,   6, 205S,  513E,  45,  998, XX,  34, NEQ,   61,   53,   41,   46,     ,     ,  30,
IO, 19, 2026020112, 03, FNV3,   6, 205S,  513E,  45,  998, XX,  50, NEQ,    4,    1,    1,    1,     ,     ,  30,
IO, 19, 2026020112, 03, FNV3,  12, 210S,  521E,  49,  996, XX,  34, NEQ,   70,   65,   52,   56,     ,     ,  25,
IO, 19, 2026020112, 03, FNV3,  12, 210S,  521E,  49,  996, XX,  50, NEQ,    9,    7,    5,    6,     ,     ,  25,
IO, 19, 2026020112, 03, FNV3,  18, 215S,  527E,  52,  994, XX,  34, NEQ,   69,   64,   54,   57,     ,     ,  20,
IO, 19, 2026020112, 03, FNV3,  18, 215S,  527E,  52,  994, XX,  50, NEQ,   12,    8,    6,    6,     ,     ,  20,
IO, 19, 2026020112, 03, FNV3,  18, 215S,  527E,  52,  994, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  20,
IO, 19, 2026020112, 03, FNV3,  24, 221S,  533E,  54,  992, XX,  34, NEQ,   76,   72,   60,   60,     ,     ,  20,
IO, 19, 2026020112, 03, FNV3,  24, 221S,  533E,  54,  992, XX,  50, NEQ,   17,   11,   10,   10,     ,     ,  20,
IO, 19, 2026020112, 03, FNV3,  24, 221S,  533E,  54,  992, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  20,
IO, 19, 2026020112, 03, FNV3,  30, 224S,  539E,  54,  993, XX,  34, NEQ,   71,   64,   54,   58,     ,     ,  21,
IO, 19, 2026020112, 03, FNV3,  30, 224S,  539E,  54,  993, XX,  50, NEQ,   18,   11,    9,   10,     ,     ,  21,
IO, 19, 2026020112, 03, FNV3,  30, 224S,  539E,  54,  993, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  21,
IO, 19, 2026020112, 03, FNV3,  36, 228S,  543E,  52,  993, XX,  34, NEQ,   74,   72,   61,   60,     ,     ,  25,
IO, 19, 2026020112, 03, FNV3,  36, 228S,  543E,  52,  993, XX,  50, NEQ,   14,   12,    9,   10,     ,     ,  25,
IO, 19, 2026020112, 03, FNV3,  36, 228S,  543E,  52,  993, XX,  64, NEQ,    2,    2,    2,    1,     ,     ,  25,
IO, 19, 2026020112, 03, FNV3,  42, 232S,  547E,  50,  995, XX,  34, NEQ,   55,   53,   43,   43,     ,     ,  24,
IO, 19, 2026020112, 03, FNV3,  42, 232S,  547E,  50,  995, XX,  50, NEQ,   12,    7,    5,    6,     ,     ,  24,
IO, 19, 2026020112, 03, FNV3,  42, 232S,  547E,  50,  995, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  24,
IO, 19, 2026020112, 03, FNV3,  48, 236S,  551E,  46,  995, XX,  34, NEQ,   57,   51,   44,   44,     ,     ,  27,
IO, 19, 2026020112, 03, FNV3,  48, 236S,  551E,  46,  995, XX,  50, NEQ,    8,    7,    4,    5,     ,     ,  27,
IO, 19, 2026020112, 03, FNV3,  48, 236S,  551E,  46,  995, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  27,
IO, 19, 2026020112, 03, FNV3,  54, 239S,  555E,  43,  997, XX,  34, NEQ,   61,   56,   46,   49,     ,     ,  33,
IO, 19, 2026020112, 03, FNV3,  54, 239S,  555E,  43,  997, XX,  50, NEQ,    5,    3,    2,    3,     ,     ,  33,
IO, 19, 2026020112, 03, FNV3,  60, 242S,  558E,  38, 1000, XX,  34, NEQ,   32,   24,   20,   21,     ,     ,  41,
IO, 19, 2026020112, 03, FNV3,  60, 242S,  558E,  38, 1000, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
IO, 19, 2026020112, 03, FNV3,  66, 246S,  562E,  34, 1000, XX,  34, NEQ,   24,   20,   16,   17,     ,     ,  42,
IO, 19, 2026020112, 03, FNV3,  66, 246S,  562E,  34, 1000, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  42,
IO, 19, 2026020112, 03, FNV3,  72, 250S,  567E,  33, 1001, XX,  34, NEQ,   20,   12,   10,   11,     ,     ,  47,
IO, 19, 2026020112, 03, FNV3,  78, 256S,  576E,  34, 1001, XX,  34, NEQ,   20,   19,   14,   15,     ,     ,  41,
IO, 19, 2026020112, 03, FNV3,  78, 256S,  576E,  34, 1001, XX,  50, NEQ,    1,    2,    1,    1,     ,     ,  41,
IO, 19, 2026020112, 03, FNV3,  84, 262S,  585E,  32, 1001, XX,  34, NEQ,   17,   14,   11,    9,     ,     ,  53,
IO, 19, 2026020112, 03, FNV3,  90, 270S,  595E,  32, 1001, XX,  34, NEQ,   11,   11,    9,    9,     ,     ,  48,
IO, 19, 2026020112, 03, FNV3,  90, 270S,  595E,  32, 1001, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  48,
IO, 19, 2026020112, 03, FNV3,  96, 282S,  611E,  31, 1002, XX,  34, NEQ,   10,    8,   12,    6,     ,     ,  48,
