# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 21, 2026021012, 03, FNV3,   0, 181S,  501E, 109,  956, XX,  34, NEQ,   55,   65,   70,   70,     ,     ,  15,
IO, 21, 2026021012, 03, FNV3,   6, 182S,  492E,  98,  963, XX,  34, NEQ,   58,   73,   76,   58,     ,     ,  11,
IO, 21, 2026021012, 03, FNV3,   6, 182S,  492E,  98,  963, XX,  50, NEQ,   29,   35,   34,   27,     ,     ,  11,
IO, 21, 2026021012, 03, FNV3,   6, 182S,  492E,  98,  963, XX,  64, NEQ,   20,   22,   19,   19,     ,     ,  11,
IO, 21, 2026021012, 03, FNV3,  12, 183S,  480E,  69,  984, XX,  34, NEQ,   67,   73,   64,   56,     ,     ,  10,
IO, 21, 2026021012, 03, FNV3,  12, 183S,  480E,  69,  984, XX,  50, NEQ,   22,   26,   24,   20,     ,     ,  10,
IO, 21, 2026021012, 03, FNV3,  12, 183S,  480E,  69,  984, XX,  64, NEQ,    8,   10,    8,    7,     ,     ,  10,
IO, 21, 2026021012, 03, FNV3,  18, 187S,  462E,  50,  994, XX,  34, NEQ,   54,   56,   46,   45,     ,     ,  15,
IO, 21, 2026021012, 03, FNV3,  18, 187S,  462E,  50,  994, XX,  50, NEQ,    6,    6,    6,    5,     ,     ,  15,
IO, 21, 2026021012, 03, FNV3,  24, 189S,  450E,  41,  999, XX,  34, NEQ,   36,   40,   29,   28,     ,     ,  19,
IO, 21, 2026021012, 03, FNV3,  24, 189S,  450E,  41,  999, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  19,
IO, 21, 2026021012, 03, FNV3,  30, 193S,  435E,  44, 1000, XX,  34, NEQ,   32,   38,   29,   26,     ,     ,  22,
IO, 21, 2026021012, 03, FNV3,  30, 193S,  435E,  44, 1000, XX,  50, NEQ,    2,    4,    3,    2,     ,     ,  22,
IO, 21, 2026021012, 03, FNV3,  30, 193S,  435E,  44, 1000, XX,  64, NEQ,    1,    0,    1,    0,     ,     ,  22,
IO, 21, 2026021012, 03, FNV3,  36, 197S,  422E,  54,  996, XX,  34, NEQ,   41,   52,   41,   33,     ,     ,  14,
IO, 21, 2026021012, 03, FNV3,  36, 197S,  422E,  54,  996, XX,  50, NEQ,   10,   12,    9,    7,     ,     ,  14,
IO, 21, 2026021012, 03, FNV3,  36, 197S,  422E,  54,  996, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  14,
IO, 21, 2026021012, 03, FNV3,  42, 201S,  412E,  59,  991, XX,  34, NEQ,   45,   59,   48,   36,     ,     ,  14,
IO, 21, 2026021012, 03, FNV3,  42, 201S,  412E,  59,  991, XX,  50, NEQ,   13,   18,   12,   10,     ,     ,  14,
IO, 21, 2026021012, 03, FNV3,  42, 201S,  412E,  59,  991, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  14,
IO, 21, 2026021012, 03, FNV3,  48, 204S,  403E,  66,  986, XX,  34, NEQ,   48,   66,   54,   39,     ,     ,  12,
IO, 21, 2026021012, 03, FNV3,  48, 204S,  403E,  66,  986, XX,  50, NEQ,   16,   21,   15,   12,     ,     ,  12,
IO, 21, 2026021012, 03, FNV3,  48, 204S,  403E,  66,  986, XX,  64, NEQ,    6,    7,    5,    4,     ,     ,  12,
IO, 21, 2026021012, 03, FNV3,  54, 207S,  393E,  72,  983, XX,  34, NEQ,   53,   74,   69,   47,     ,     ,  11,
IO, 21, 2026021012, 03, FNV3,  54, 207S,  393E,  72,  983, XX,  50, NEQ,   24,   29,   26,   21,     ,     ,  11,
IO, 21, 2026021012, 03, FNV3,  54, 207S,  393E,  72,  983, XX,  64, NEQ,   10,   12,   10,    9,     ,     ,  11,
IO, 21, 2026021012, 03, FNV3,  60, 211S,  384E,  75,  982, XX,  34, NEQ,   53,   79,   71,   44,     ,     ,  11,
IO, 21, 2026021012, 03, FNV3,  60, 211S,  384E,  75,  982, XX,  50, NEQ,   26,   33,   30,   22,     ,     ,  11,
IO, 21, 2026021012, 03, FNV3,  60, 211S,  384E,  75,  982, XX,  64, NEQ,   11,   13,   10,    9,     ,     ,  11,
IO, 21, 2026021012, 03, FNV3,  66, 216S,  376E,  76,  980, XX,  34, NEQ,   59,   84,   76,   48,     ,     ,  16,
IO, 21, 2026021012, 03, FNV3,  66, 216S,  376E,  76,  980, XX,  50, NEQ,   28,   34,   31,   23,     ,     ,  16,
IO, 21, 2026021012, 03, FNV3,  66, 216S,  376E,  76,  980, XX,  64, NEQ,   14,   16,   13,   12,     ,     ,  16,
IO, 21, 2026021012, 03, FNV3,  72, 222S,  369E,  84,  972, XX,  34, NEQ,   63,   92,   78,   48,     ,     ,  12,
IO, 21, 2026021012, 03, FNV3,  72, 222S,  369E,  84,  972, XX,  50, NEQ,   30,   38,   31,   25,     ,     ,  12,
IO, 21, 2026021012, 03, FNV3,  72, 222S,  369E,  84,  972, XX,  64, NEQ,   15,   17,   14,   13,     ,     ,  12,
IO, 21, 2026021012, 03, FNV3,  78, 229S,  366E,  86,  970, XX,  34, NEQ,   66,   93,   83,   52,     ,     ,  13,
IO, 21, 2026021012, 03, FNV3,  78, 229S,  366E,  86,  970, XX,  50, NEQ,   36,   41,   36,   30,     ,     ,  13,
IO, 21, 2026021012, 03, FNV3,  78, 229S,  366E,  86,  970, XX,  64, NEQ,   21,   22,   18,   18,     ,     ,  13,
IO, 21, 2026021012, 03, FNV3,  84, 237S,  364E,  86,  969, XX,  34, NEQ,   76,   98,   80,   56,     ,     ,  12,
IO, 21, 2026021012, 03, FNV3,  84, 237S,  364E,  86,  969, XX,  50, NEQ,   39,   42,   35,   31,     ,     ,  12,
IO, 21, 2026021012, 03, FNV3,  84, 237S,  364E,  86,  969, XX,  64, NEQ,   19,   20,   16,   16,     ,     ,  12,
IO, 21, 2026021012, 03, FNV3,  90, 247S,  364E,  83,  971, XX,  34, NEQ,   79,   90,   72,   59,     ,     ,  15,
IO, 21, 2026021012, 03, FNV3,  90, 247S,  364E,  83,  971, XX,  50, NEQ,   38,   38,   31,   30,     ,     ,  15,
IO, 21, 2026021012, 03, FNV3,  90, 247S,  364E,  83,  971, XX,  64, NEQ,   20,   17,   14,   14,     ,     ,  15,
IO, 21, 2026021012, 03, FNV3,  96, 257S,  369E,  80,  972, XX,  34, NEQ,   89,   91,   72,   66,     ,     ,  14,
IO, 21, 2026021012, 03, FNV3,  96, 257S,  369E,  80,  972, XX,  50, NEQ,   41,   38,   29,   31,     ,     ,  14,
IO, 21, 2026021012, 03, FNV3,  96, 257S,  369E,  80,  972, XX,  64, NEQ,   18,   14,   11,   12,     ,     ,  14,
IO, 21, 2026021012, 03, FNV3, 102, 265S,  376E,  77,  975, XX,  34, NEQ,   87,   83,   69,   69,     ,     ,  16,
IO, 21, 2026021012, 03, FNV3, 102, 265S,  376E,  77,  975, XX,  50, NEQ,   39,   34,   27,   31,     ,     ,  16,
IO, 21, 2026021012, 03, FNV3, 102, 265S,  376E,  77,  975, XX,  64, NEQ,   17,   12,   10,   11,     ,     ,  16,
IO, 21, 2026021012, 03, FNV3, 108, 272S,  383E,  71,  980, XX,  34, NEQ,   85,   82,   70,   67,     ,     ,  17,
IO, 21, 2026021012, 03, FNV3, 108, 272S,  383E,  71,  980, XX,  50, NEQ,   35,   31,   26,   27,     ,     ,  17,
IO, 21, 2026021012, 03, FNV3, 108, 272S,  383E,  71,  980, XX,  64, NEQ,   13,   12,    9,   11,     ,     ,  17,
IO, 21, 2026021012, 03, FNV3, 114, 276S,  394E,  65,  983, XX,  34, NEQ,   91,   84,   73,   75,     ,     ,  20,
IO, 21, 2026021012, 03, FNV3, 114, 276S,  394E,  65,  983, XX,  50, NEQ,   28,   20,   18,   19,     ,     ,  20,
IO, 21, 2026021012, 03, FNV3, 114, 276S,  394E,  65,  983, XX,  64, NEQ,    8,    6,    6,    6,     ,     ,  20,
IO, 21, 2026021012, 03, FNV3, 120, 280S,  405E,  64,  984, XX,  34, NEQ,   86,   76,   68,   73,     ,     ,  20,
IO, 21, 2026021012, 03, FNV3, 120, 280S,  405E,  64,  984, XX,  50, NEQ,   27,   20,   17,   20,     ,     ,  20,
