# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 97, 2026021900, 03, FNV3,   0, 129S,  763E,  29, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  80,
IO, 97, 2026021900, 03, FNV3,   6, 134S,  765E,  29, 1001, XX,  34, NEQ,    3,    0,    1,    0,     ,     ,  50,
IO, 97, 2026021900, 03, FNV3,  12, 139S,  765E,  29, 1000, XX,  34, NEQ,    2,    0,    1,    0,     ,     ,  47,
IO, 97, 2026021900, 03, FNV3,  18, 146S,  764E,  31, 1001, XX,  34, NEQ,    3,    2,    5,    0,     ,     ,  44,
IO, 97, 2026021900, 03, FNV3,  24, 152S,  764E,  32, 1001, XX,  34, NEQ,    7,    2,    6,    0,     ,     ,  45,
IO, 97, 2026021900, 03, FNV3,  30, 157S,  761E,  36,  999, XX,  34, NEQ,   18,   16,   14,   10,     ,     ,  41,
IO, 97, 2026021900, 03, FNV3,  36, 161S,  757E,  42,  997, XX,  34, NEQ,   34,   32,   26,   23,     ,     ,  31,
IO, 97, 2026021900, 03, FNV3,  36, 161S,  757E,  42,  997, XX,  50, NEQ,    3,    1,    2,    1,     ,     ,  31,
IO, 97, 2026021900, 03, FNV3,  42, 164S,  751E,  45,  996, XX,  34, NEQ,   37,   42,   37,   31,     ,     ,  28,
IO, 97, 2026021900, 03, FNV3,  42, 164S,  751E,  45,  996, XX,  50, NEQ,    6,    5,    6,    4,     ,     ,  28,
IO, 97, 2026021900, 03, FNV3,  42, 164S,  751E,  45,  996, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  28,
IO, 97, 2026021900, 03, FNV3,  48, 166S,  745E,  49,  993, XX,  34, NEQ,   45,   52,   44,   36,     ,     ,  23,
IO, 97, 2026021900, 03, FNV3,  48, 166S,  745E,  49,  993, XX,  50, NEQ,    8,    8,    6,    5,     ,     ,  23,
IO, 97, 2026021900, 03, FNV3,  48, 166S,  745E,  49,  993, XX,  64, NEQ,    1,    2,    1,    1,     ,     ,  23,
IO, 97, 2026021900, 03, FNV3,  54, 169S,  738E,  48,  994, XX,  34, NEQ,   41,   49,   43,   35,     ,     ,  24,
IO, 97, 2026021900, 03, FNV3,  54, 169S,  738E,  48,  994, XX,  50, NEQ,    8,   10,    8,    6,     ,     ,  24,
IO, 97, 2026021900, 03, FNV3,  54, 169S,  738E,  48,  994, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  24,
IO, 97, 2026021900, 03, FNV3,  60, 171S,  730E,  55,  990, XX,  34, NEQ,   49,   58,   53,   42,     ,     ,  18,
IO, 97, 2026021900, 03, FNV3,  60, 171S,  730E,  55,  990, XX,  50, NEQ,   13,   15,   12,   10,     ,     ,  18,
IO, 97, 2026021900, 03, FNV3,  60, 171S,  730E,  55,  990, XX,  64, NEQ,    2,    3,    3,    2,     ,     ,  18,
IO, 97, 2026021900, 03, FNV3,  66, 173S,  720E,  56,  990, XX,  34, NEQ,   53,   64,   59,   48,     ,     ,  18,
IO, 97, 2026021900, 03, FNV3,  66, 173S,  720E,  56,  990, XX,  50, NEQ,   15,   18,   16,   13,     ,     ,  18,
IO, 97, 2026021900, 03, FNV3,  66, 173S,  720E,  56,  990, XX,  64, NEQ,    3,    5,    4,    3,     ,     ,  18,
IO, 97, 2026021900, 03, FNV3,  72, 177S,  712E,  65,  985, XX,  34, NEQ,   56,   74,   70,   49,     ,     ,  13,
IO, 97, 2026021900, 03, FNV3,  72, 177S,  712E,  65,  985, XX,  50, NEQ,   21,   26,   23,   18,     ,     ,  13,
