# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 22, 2026022112, 03, FNV3,   0, 169S,  731E,  35, 1001, XX,  34, NEQ,     ,   80,   90,     ,     ,     ,  50,
IO, 22, 2026022112, 03, FNV3,   6, 168S,  717E,  54,  992, XX,  34, NEQ,   55,   64,   61,   52,     ,     ,  17,
IO, 22, 2026022112, 03, FNV3,   6, 168S,  717E,  54,  992, XX,  50, NEQ,   13,   15,   15,   10,     ,     ,  17,
IO, 22, 2026022112, 03, FNV3,   6, 168S,  717E,  54,  992, XX,  64, NEQ,    1,    1,    1,    0,     ,     ,  17,
IO, 22, 2026022112, 03, FNV3,  12, 171S,  708E,  65,  986, XX,  34, NEQ,   56,   75,   69,   49,     ,     ,  10,
IO, 22, 2026022112, 03, FNV3,  12, 171S,  708E,  65,  986, XX,  50, NEQ,   26,   31,   26,   21,     ,     ,  10,
IO, 22, 2026022112, 03, FNV3,  12, 171S,  708E,  65,  986, XX,  64, NEQ,    6,    6,    6,    5,     ,     ,  10,
IO, 22, 2026022112, 03, FNV3,  18, 174S,  698E,  67,  984, XX,  34, NEQ,   54,   75,   73,   50,     ,     ,  11,
IO, 22, 2026022112, 03, FNV3,  18, 174S,  698E,  67,  984, XX,  50, NEQ,   29,   34,   29,   24,     ,     ,  11,
IO, 22, 2026022112, 03, FNV3,  18, 174S,  698E,  67,  984, XX,  64, NEQ,    8,   10,    8,    7,     ,     ,  11,
IO, 22, 2026022112, 03, FNV3,  24, 178S,  690E,  74,  979, XX,  34, NEQ,   52,   75,   73,   45,     ,     ,   7,
IO, 22, 2026022112, 03, FNV3,  24, 178S,  690E,  74,  979, XX,  50, NEQ,   29,   34,   31,   24,     ,     ,   7,
IO, 22, 2026022112, 03, FNV3,  24, 178S,  690E,  74,  979, XX,  64, NEQ,   12,   14,   12,   11,     ,     ,   7,
IO, 22, 2026022112, 03, FNV3,  30, 183S,  681E,  77,  978, XX,  34, NEQ,   49,   74,   74,   46,     ,     ,  10,
IO, 22, 2026022112, 03, FNV3,  30, 183S,  681E,  77,  978, XX,  50, NEQ,   28,   34,   33,   25,     ,     ,  10,
IO, 22, 2026022112, 03, FNV3,  30, 183S,  681E,  77,  978, XX,  64, NEQ,   15,   17,   15,   13,     ,     ,  10,
IO, 22, 2026022112, 03, FNV3,  36, 189S,  673E,  86,  970, XX,  34, NEQ,   62,   88,   83,   53,     ,     ,   9,
IO, 22, 2026022112, 03, FNV3,  36, 189S,  673E,  86,  970, XX,  50, NEQ,   35,   42,   39,   31,     ,     ,   9,
IO, 22, 2026022112, 03, FNV3,  36, 189S,  673E,  86,  970, XX,  64, NEQ,   20,   22,   19,   18,     ,     ,   9,
IO, 22, 2026022112, 03, FNV3,  42, 196S,  665E,  94,  964, XX,  34, NEQ,   61,   89,   86,   54,     ,     ,  11,
IO, 22, 2026022112, 03, FNV3,  42, 196S,  665E,  94,  964, XX,  50, NEQ,   34,   41,   39,   30,     ,     ,  11,
IO, 22, 2026022112, 03, FNV3,  42, 196S,  665E,  94,  964, XX,  64, NEQ,   21,   23,   20,   19,     ,     ,  11,
IO, 22, 2026022112, 03, FNV3,  48, 203S,  659E,  99,  959, XX,  34, NEQ,   67,   93,   84,   56,     ,     ,  12,
IO, 22, 2026022112, 03, FNV3,  48, 203S,  659E,  99,  959, XX,  50, NEQ,   37,   43,   39,   32,     ,     ,  12,
IO, 22, 2026022112, 03, FNV3,  48, 203S,  659E,  99,  959, XX,  64, NEQ,   23,   25,   21,   20,     ,     ,  12,
IO, 22, 2026022112, 03, FNV3,  54, 211S,  654E, 100,  959, XX,  34, NEQ,   63,   85,   78,   51,     ,     ,  11,
IO, 22, 2026022112, 03, FNV3,  54, 211S,  654E, 100,  959, XX,  50, NEQ,   34,   39,   35,   29,     ,     ,  11,
IO, 22, 2026022112, 03, FNV3,  54, 211S,  654E, 100,  959, XX,  64, NEQ,   22,   22,   19,   19,     ,     ,  11,
IO, 22, 2026022112, 03, FNV3,  60, 219S,  649E,  95,  962, XX,  34, NEQ,   70,   94,   80,   55,     ,     ,  10,
IO, 22, 2026022112, 03, FNV3,  60, 219S,  649E,  95,  962, XX,  50, NEQ,   36,   40,   36,   30,     ,     ,  10,
IO, 22, 2026022112, 03, FNV3,  60, 219S,  649E,  95,  962, XX,  64, NEQ,   22,   23,   19,   19,     ,     ,  10,
IO, 22, 2026022112, 03, FNV3,  66, 229S,  647E,  89,  966, XX,  34, NEQ,   77,   95,   80,   58,     ,     ,  12,
IO, 22, 2026022112, 03, FNV3,  66, 229S,  647E,  89,  966, XX,  50, NEQ,   41,   43,   37,   34,     ,     ,  12,
IO, 22, 2026022112, 03, FNV3,  66, 229S,  647E,  89,  966, XX,  64, NEQ,   23,   23,   19,   20,     ,     ,  12,
IO, 22, 2026022112, 03, FNV3,  72, 239S,  647E,  86,  969, XX,  34, NEQ,   78,   91,   76,   60,     ,     ,  12,
IO, 22, 2026022112, 03, FNV3,  72, 239S,  647E,  86,  969, XX,  50, NEQ,   42,   43,   37,   35,     ,     ,  12,
IO, 22, 2026022112, 03, FNV3,  72, 239S,  647E,  86,  969, XX,  64, NEQ,   24,   24,   20,   21,     ,     ,  12,
IO, 22, 2026022112, 03, FNV3,  78, 251S,  650E,  75,  979, XX,  34, NEQ,   79,   86,   70,   61,     ,     ,  15,
IO, 22, 2026022112, 03, FNV3,  78, 251S,  650E,  75,  979, XX,  50, NEQ,   40,   40,   32,   33,     ,     ,  15,
IO, 22, 2026022112, 03, FNV3,  78, 251S,  650E,  75,  979, XX,  64, NEQ,   19,   17,   14,   15,     ,     ,  15,
IO, 22, 2026022112, 03, FNV3,  84, 264S,  655E,  64,  985, XX,  34, NEQ,   87,   92,   76,   67,     ,     ,  15,
IO, 22, 2026022112, 03, FNV3,  84, 264S,  655E,  64,  985, XX,  50, NEQ,   38,   36,   29,   30,     ,     ,  15,
IO, 22, 2026022112, 03, FNV3,  84, 264S,  655E,  64,  985, XX,  64, NEQ,   10,   10,    7,    8,     ,     ,  15,
IO, 22, 2026022112, 03, FNV3,  90, 278S,  664E,  56,  992, XX,  34, NEQ,   85,   85,   67,   66,     ,     ,  19,
IO, 22, 2026022112, 03, FNV3,  90, 278S,  664E,  56,  992, XX,  50, NEQ,   28,   26,   21,   22,     ,     ,  19,
IO, 22, 2026022112, 03, FNV3,  90, 278S,  664E,  56,  992, XX,  64, NEQ,    5,    4,    3,    3,     ,     ,  19,
IO, 22, 2026022112, 03, FNV3,  96, 290S,  673E,  50,  994, XX,  34, NEQ,   84,   83,   66,   65,     ,     ,  26,
IO, 22, 2026022112, 03, FNV3,  96, 290S,  673E,  50,  994, XX,  50, NEQ,   20,   18,   13,   13,     ,     ,  26,
IO, 22, 2026022112, 03, FNV3,  96, 290S,  673E,  50,  994, XX,  64, NEQ,    3,    2,    1,    1,     ,     ,  26,
IO, 22, 2026022112, 03, FNV3, 102, 298S,  679E,  44,  998, XX,  34, NEQ,   60,   57,   45,   46,     ,     ,  31,
IO, 22, 2026022112, 03, FNV3, 102, 298S,  679E,  44,  998, XX,  50, NEQ,    4,    3,    2,    2,     ,     ,  31,
IO, 22, 2026022112, 03, FNV3, 108, 303S,  683E,  38, 1001, XX,  34, NEQ,   29,   26,   19,   19,     ,     ,  37,
IO, 22, 2026022112, 03, FNV3, 108, 303S,  683E,  38, 1001, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  37,
IO, 22, 2026022112, 03, FNV3, 114, 305S,  683E,  35, 1003, XX,  34, NEQ,   17,   12,   14,   13,     ,     ,  43,
IO, 22, 2026022112, 03, FNV3, 120, 306S,  679E,  34, 1002, XX,  34, NEQ,   11,   11,   14,    7,     ,     ,  39,
