# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026031906, 03, FNV3,   0, 136S, 1465E, 124,  933, XX,  34, NEQ,  100,  100,  115,   95,     ,     ,   5,
SH, 27, 2026031906, 03, FNV3,   6, 135S, 1453E, 122,  939, XX,  34, NEQ,   84,  110,  114,   89,     ,     ,  13,
SH, 27, 2026031906, 03, FNV3,   6, 135S, 1453E, 122,  939, XX,  50, NEQ,   49,   57,   56,   47,     ,     ,  13,
SH, 27, 2026031906, 03, FNV3,   6, 135S, 1453E, 122,  939, XX,  64, NEQ,   32,   34,   31,   31,     ,     ,  13,
SH, 27, 2026031906, 03, FNV3,  12, 134S, 1443E, 117,  944, XX,  34, NEQ,   78,  108,  111,   81,     ,     ,  11,
SH, 27, 2026031906, 03, FNV3,  12, 134S, 1443E, 117,  944, XX,  50, NEQ,   47,   58,   56,   45,     ,     ,  11,
SH, 27, 2026031906, 03, FNV3,  12, 134S, 1443E, 117,  944, XX,  64, NEQ,   32,   35,   31,   30,     ,     ,  11,
SH, 27, 2026031906, 03, FNV3,  18, 134S, 1432E,  96,  959, XX,  34, NEQ,   83,  101,  104,   81,     ,     ,  11,
SH, 27, 2026031906, 03, FNV3,  18, 134S, 1432E,  96,  959, XX,  50, NEQ,   42,   51,   48,   40,     ,     ,  11,
SH, 27, 2026031906, 03, FNV3,  18, 134S, 1432E,  96,  959, XX,  64, NEQ,   23,   24,   22,   21,     ,     ,  11,
SH, 27, 2026031906, 03, FNV3,  24, 133S, 1423E,  76,  975, XX,  34, NEQ,   80,   95,   93,   74,     ,     ,  14,
SH, 27, 2026031906, 03, FNV3,  24, 133S, 1423E,  76,  975, XX,  50, NEQ,   41,   47,   43,   38,     ,     ,  14,
SH, 27, 2026031906, 03, FNV3,  24, 133S, 1423E,  76,  975, XX,  64, NEQ,   18,   21,   17,   17,     ,     ,  14,
SH, 27, 2026031906, 03, FNV3,  30, 133S, 1414E,  68,  981, XX,  34, NEQ,   79,   93,   96,   78,     ,     ,  22,
