# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032006, 03, FNV3,   0, 134S, 1420E,  99,  955, XX,  34, NEQ,   90,   70,   85,   90,     ,     ,  20,
SH, 27, 2026032006, 03, FNV3,   6, 132S, 1410E,  67,  983, XX,  34, NEQ,   80,   93,   96,   78,     ,     ,  18,
SH, 27, 2026032006, 03, FNV3,   6, 132S, 1410E,  67,  983, XX,  50, NEQ,   39,   43,   40,   34,     ,     ,  18,
SH, 27, 2026032006, 03, FNV3,   6, 132S, 1410E,  67,  983, XX,  64, NEQ,   11,   13,   11,    9,     ,     ,  18,
SH, 27, 2026032006, 03, FNV3,  12, 131S, 1399E,  78,  977, XX,  34, NEQ,   75,   97,   96,   71,     ,     ,  13,
SH, 27, 2026032006, 03, FNV3,  12, 131S, 1399E,  78,  977, XX,  50, NEQ,   41,   48,   44,   36,     ,     ,  13,
SH, 27, 2026032006, 03, FNV3,  12, 131S, 1399E,  78,  977, XX,  64, NEQ,   21,   22,   19,   18,     ,     ,  13,
SH, 27, 2026032006, 03, FNV3,  18, 132S, 1387E,  83,  973, XX,  34, NEQ,   85,  110,  113,   83,     ,     ,  16,
SH, 27, 2026032006, 03, FNV3,  18, 132S, 1387E,  83,  973, XX,  50, NEQ,   45,   54,   53,   42,     ,     ,  16,
SH, 27, 2026032006, 03, FNV3,  18, 132S, 1387E,  83,  973, XX,  64, NEQ,   24,   28,   25,   22,     ,     ,  16,
SH, 27, 2026032006, 03, FNV3,  24, 133S, 1376E,  83,  972, XX,  34, NEQ,   86,  115,  117,   82,     ,     ,  15,
SH, 27, 2026032006, 03, FNV3,  24, 133S, 1376E,  83,  972, XX,  50, NEQ,   48,   57,   54,   43,     ,     ,  15,
SH, 27, 2026032006, 03, FNV3,  24, 133S, 1376E,  83,  972, XX,  64, NEQ,   22,   28,   23,   21,     ,     ,  15,
SH, 27, 2026032006, 03, FNV3,  30, 134S, 1365E,  78,  976, XX,  34, NEQ,   79,  101,  103,   75,     ,     ,  17,
SH, 27, 2026032006, 03, FNV3,  30, 134S, 1365E,  78,  976, XX,  50, NEQ,   41,   49,   46,   38,     ,     ,  17,
SH, 27, 2026032006, 03, FNV3,  30, 134S, 1365E,  78,  976, XX,  64, NEQ,   17,   22,   18,   16,     ,     ,  17,
SH, 27, 2026032006, 03, FNV3,  36, 136S, 1354E,  62,  984, XX,  34, NEQ,   80,   95,   87,   71,     ,     ,  19,
SH, 27, 2026032006, 03, FNV3,  36, 136S, 1354E,  62,  984, XX,  50, NEQ,   29,   36,   30,   24,     ,     ,  19,
SH, 27, 2026032006, 03, FNV3,  36, 136S, 1354E,  62,  984, XX,  64, NEQ,    6,    8,    6,    5,     ,     ,  19,
SH, 27, 2026032006, 03, FNV3,  42, 138S, 1341E,  48,  991, XX,  34, NEQ,   49,   56,   49,   43,     ,     ,  24,
SH, 27, 2026032006, 03, FNV3,  42, 138S, 1341E,  48,  991, XX,  50, NEQ,    6,    8,    5,    3,     ,     ,  24,
SH, 27, 2026032006, 03, FNV3,  42, 138S, 1341E,  48,  991, XX,  64, NEQ,    0,    0,    1,    0,     ,     ,  24,
SH, 27, 2026032006, 03, FNV3,  48, 140S, 1328E,  38,  994, XX,  34, NEQ,   19,   21,   18,   16,     ,     ,  26,
SH, 27, 2026032006, 03, FNV3,  48, 140S, 1328E,  38,  994, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  26,
SH, 27, 2026032006, 03, FNV3,  54, 141S, 1315E,  31,  998, XX,  34, NEQ,   15,   15,   12,   12,     ,     ,  34,
SH, 27, 2026032006, 03, FNV3,  60, 143S, 1303E,  32,  998, XX,  34, NEQ,   16,   15,   11,   12,     ,     ,  36,
SH, 27, 2026032006, 03, FNV3,  66, 147S, 1291E,  32,  997, XX,  34, NEQ,   18,   19,   16,   16,     ,     ,  37,
SH, 27, 2026032006, 03, FNV3,  72, 150S, 1280E,  31,  997, XX,  34, NEQ,    7,    8,    7,    6,     ,     ,  34,
SH, 27, 2026032006, 03, FNV3,  78, 154S, 1265E,  31,  997, XX,  34, NEQ,   16,   16,   12,   13,     ,     ,  35,
SH, 27, 2026032006, 03, FNV3,  84, 156S, 1252E,  34,  996, XX,  34, NEQ,   20,   20,   14,   15,     ,     ,  34,
SH, 27, 2026032006, 03, FNV3,  84, 156S, 1252E,  34,  996, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  34,
SH, 27, 2026032006, 03, FNV3,  90, 160S, 1241E,  36,  995, XX,  34, NEQ,   32,   33,   30,   27,     ,     ,  36,
SH, 27, 2026032006, 03, FNV3,  90, 160S, 1241E,  36,  995, XX,  50, NEQ,    3,    3,    2,    2,     ,     ,  36,
SH, 27, 2026032006, 03, FNV3,  96, 165S, 1231E,  43,  992, XX,  34, NEQ,   55,   62,   52,   47,     ,     ,  34,
SH, 27, 2026032006, 03, FNV3,  96, 165S, 1231E,  43,  992, XX,  50, NEQ,    9,   11,    8,    7,     ,     ,  34,
SH, 27, 2026032006, 03, FNV3, 102, 168S, 1218E,  52,  988, XX,  34, NEQ,   73,   82,   73,   66,     ,     ,  29,
SH, 27, 2026032006, 03, FNV3, 102, 168S, 1218E,  52,  988, XX,  50, NEQ,   18,   20,   17,   14,     ,     ,  29,
SH, 27, 2026032006, 03, FNV3, 102, 168S, 1218E,  52,  988, XX,  64, NEQ,    2,    3,    2,    2,     ,     ,  29,
SH, 27, 2026032006, 03, FNV3, 108, 171S, 1207E,  63,  983, XX,  34, NEQ,   85,  100,   92,   75,     ,     ,  24,
SH, 27, 2026032006, 03, FNV3, 108, 171S, 1207E,  63,  983, XX,  50, NEQ,   33,   38,   32,   27,     ,     ,  24,
SH, 27, 2026032006, 03, FNV3, 108, 171S, 1207E,  63,  983, XX,  64, NEQ,    8,   10,    9,    6,     ,     ,  24,
SH, 27, 2026032006, 03, FNV3, 114, 175S, 1196E,  76,  975, XX,  34, NEQ,   89,  111,  104,   81,     ,     ,  20,
SH, 27, 2026032006, 03, FNV3, 114, 175S, 1196E,  76,  975, XX,  50, NEQ,   44,   49,   46,   39,     ,     ,  20,
SH, 27, 2026032006, 03, FNV3, 114, 175S, 1196E,  76,  975, XX,  64, NEQ,   19,   22,   17,   16,     ,     ,  20,
SH, 27, 2026032006, 03, FNV3, 120, 180S, 1186E,  91,  964, XX,  34, NEQ,  103,  133,  123,   91,     ,     ,  14,
SH, 27, 2026032006, 03, FNV3, 120, 180S, 1186E,  91,  964, XX,  50, NEQ,   53,   62,   57,   47,     ,     ,  14,
SH, 27, 2026032006, 03, FNV3, 120, 180S, 1186E,  91,  964, XX,  64, NEQ,   28,   31,   26,   25,     ,     ,  14,
SH, 27, 2026032006, 03, FNV3, 126, 183S, 1176E, 102,  954, XX,  34, NEQ,  114,  144,  135,  101,     ,     ,  13,
SH, 27, 2026032006, 03, FNV3, 126, 183S, 1176E, 102,  954, XX,  50, NEQ,   61,   71,   66,   55,     ,     ,  13,
SH, 27, 2026032006, 03, FNV3, 126, 183S, 1176E, 102,  954, XX,  64, NEQ,   36,   39,   34,   32,     ,     ,  13,
SH, 27, 2026032006, 03, FNV3, 132, 187S, 1166E, 112,  946, XX,  34, NEQ,  112,  149,  139,   99,     ,     ,  14,
SH, 27, 2026032006, 03, FNV3, 132, 187S, 1166E, 112,  946, XX,  50, NEQ,   64,   75,   70,   57,     ,     ,  14,
SH, 27, 2026032006, 03, FNV3, 132, 187S, 1166E, 112,  946, XX,  64, NEQ,   38,   41,   36,   34,     ,     ,  14,
