# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032100, 03, FNV3,   0, 129S, 1388E,  70,  983, XX,  34, NEQ,  110,  100,   90,  120,     ,     ,  25,
SH, 27, 2026032100, 03, FNV3,   6, 130S, 1380E,  75,  978, XX,  34, NEQ,   85,  112,  113,   82,     ,     ,  19,
SH, 27, 2026032100, 03, FNV3,   6, 130S, 1380E,  75,  978, XX,  50, NEQ,   47,   55,   50,   41,     ,     ,  19,
SH, 27, 2026032100, 03, FNV3,   6, 130S, 1380E,  75,  978, XX,  64, NEQ,   15,   20,   17,   14,     ,     ,  19,
SH, 27, 2026032100, 03, FNV3,  12, 132S, 1368E,  75,  978, XX,  34, NEQ,   78,   99,  102,   77,     ,     ,  18,
SH, 27, 2026032100, 03, FNV3,  12, 132S, 1368E,  75,  978, XX,  50, NEQ,   41,   48,   46,   37,     ,     ,  18,
SH, 27, 2026032100, 03, FNV3,  12, 132S, 1368E,  75,  978, XX,  64, NEQ,   16,   20,   18,   15,     ,     ,  18,
SH, 27, 2026032100, 03, FNV3,  18, 135S, 1357E,  66,  981, XX,  34, NEQ,   77,   96,   87,   69,     ,     ,  18,
SH, 27, 2026032100, 03, FNV3,  18, 135S, 1357E,  66,  981, XX,  50, NEQ,   32,   38,   33,   26,     ,     ,  18,
SH, 27, 2026032100, 03, FNV3,  18, 135S, 1357E,  66,  981, XX,  64, NEQ,    7,    9,    8,    6,     ,     ,  18,
SH, 27, 2026032100, 03, FNV3,  24, 137S, 1343E,  54,  988, XX,  34, NEQ,   59,   66,   57,   52,     ,     ,  22,
SH, 27, 2026032100, 03, FNV3,  24, 137S, 1343E,  54,  988, XX,  50, NEQ,   14,   18,   13,   11,     ,     ,  22,
SH, 27, 2026032100, 03, FNV3,  24, 137S, 1343E,  54,  988, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  22,
SH, 27, 2026032100, 03, FNV3,  30, 140S, 1329E,  40,  994, XX,  34, NEQ,   32,   39,   27,   26,     ,     ,  27,
SH, 27, 2026032100, 03, FNV3,  30, 140S, 1329E,  40,  994, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  27,
SH, 27, 2026032100, 03, FNV3,  36, 142S, 1316E,  35,  996, XX,  34, NEQ,   18,   22,   16,   16,     ,     ,  34,
SH, 27, 2026032100, 03, FNV3,  36, 142S, 1316E,  35,  996, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  34,
SH, 27, 2026032100, 03, FNV3,  42, 144S, 1302E,  35,  997, XX,  34, NEQ,   16,   19,   12,   13,     ,     ,  31,
SH, 27, 2026032100, 03, FNV3,  42, 144S, 1302E,  35,  997, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  31,
SH, 27, 2026032100, 03, FNV3,  48, 147S, 1289E,  33,  997, XX,  34, NEQ,   18,   19,   15,   13,     ,     ,  38,
SH, 27, 2026032100, 03, FNV3,  48, 147S, 1289E,  33,  997, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  38,
SH, 27, 2026032100, 03, FNV3,  54, 151S, 1276E,  33,  996, XX,  34, NEQ,   12,   13,   10,    8,     ,     ,  31,
SH, 27, 2026032100, 03, FNV3,  54, 151S, 1276E,  33,  996, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  31,
SH, 27, 2026032100, 03, FNV3,  60, 154S, 1262E,  32,  997, XX,  34, NEQ,   14,   12,   10,   11,     ,     ,  33,
SH, 27, 2026032100, 03, FNV3,  66, 157S, 1248E,  35,  995, XX,  34, NEQ,   32,   34,   26,   26,     ,     ,  37,
SH, 27, 2026032100, 03, FNV3,  66, 157S, 1248E,  35,  995, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  37,
SH, 27, 2026032100, 03, FNV3,  72, 161S, 1238E,  39,  994, XX,  34, NEQ,   46,   49,   43,   39,     ,     ,  37,
SH, 27, 2026032100, 03, FNV3,  72, 161S, 1238E,  39,  994, XX,  50, NEQ,    2,    2,    2,    1,     ,     ,  37,
SH, 27, 2026032100, 03, FNV3,  78, 166S, 1228E,  47,  991, XX,  34, NEQ,   67,   74,   65,   55,     ,     ,  31,
SH, 27, 2026032100, 03, FNV3,  78, 166S, 1228E,  47,  991, XX,  50, NEQ,    8,   10,    8,    6,     ,     ,  31,
SH, 27, 2026032100, 03, FNV3,  78, 166S, 1228E,  47,  991, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  31,
SH, 27, 2026032100, 03, FNV3,  84, 169S, 1216E,  54,  987, XX,  34, NEQ,   75,   86,   78,   66,     ,     ,  27,
SH, 27, 2026032100, 03, FNV3,  84, 169S, 1216E,  54,  987, XX,  50, NEQ,   22,   24,   20,   17,     ,     ,  27,
SH, 27, 2026032100, 03, FNV3,  84, 169S, 1216E,  54,  987, XX,  64, NEQ,    2,    3,    3,    2,     ,     ,  27,
SH, 27, 2026032100, 03, FNV3,  90, 172S, 1205E,  66,  982, XX,  34, NEQ,   97,  114,  103,   84,     ,     ,  25,
SH, 27, 2026032100, 03, FNV3,  90, 172S, 1205E,  66,  982, XX,  50, NEQ,   38,   44,   39,   32,     ,     ,  25,
SH, 27, 2026032100, 03, FNV3,  90, 172S, 1205E,  66,  982, XX,  64, NEQ,   11,   15,   10,   10,     ,     ,  25,
SH, 27, 2026032100, 03, FNV3,  96, 177S, 1195E,  78,  973, XX,  34, NEQ,  105,  127,  116,   93,     ,     ,  18,
SH, 27, 2026032100, 03, FNV3,  96, 177S, 1195E,  78,  973, XX,  50, NEQ,   48,   54,   49,   41,     ,     ,  18,
SH, 27, 2026032100, 03, FNV3,  96, 177S, 1195E,  78,  973, XX,  64, NEQ,   20,   23,   20,   18,     ,     ,  18,
SH, 27, 2026032100, 03, FNV3, 102, 182S, 1185E,  94,  961, XX,  34, NEQ,  119,  151,  136,  102,     ,     ,  16,
SH, 27, 2026032100, 03, FNV3, 102, 182S, 1185E,  94,  961, XX,  50, NEQ,   63,   72,   65,   54,     ,     ,  16,
SH, 27, 2026032100, 03, FNV3, 102, 182S, 1185E,  94,  961, XX,  64, NEQ,   31,   35,   30,   28,     ,     ,  16,
SH, 27, 2026032100, 03, FNV3, 108, 187S, 1174E, 106,  950, XX,  34, NEQ,  122,  155,  144,  107,     ,     ,  14,
SH, 27, 2026032100, 03, FNV3, 108, 187S, 1174E, 106,  950, XX,  50, NEQ,   67,   77,   71,   59,     ,     ,  14,
SH, 27, 2026032100, 03, FNV3, 108, 187S, 1174E, 106,  950, XX,  64, NEQ,   40,   42,   37,   35,     ,     ,  14,
SH, 27, 2026032100, 03, FNV3, 114, 192S, 1165E, 114,  943, XX,  34, NEQ,  122,  165,  152,  108,     ,     ,  13,
SH, 27, 2026032100, 03, FNV3, 114, 192S, 1165E, 114,  943, XX,  50, NEQ,   71,   84,   78,   63,     ,     ,  13,
SH, 27, 2026032100, 03, FNV3, 114, 192S, 1165E, 114,  943, XX,  64, NEQ,   43,   46,   40,   38,     ,     ,  13,
SH, 27, 2026032100, 03, FNV3, 120, 198S, 1156E, 111,  945, XX,  34, NEQ,  123,  159,  144,  107,     ,     ,  14,
SH, 27, 2026032100, 03, FNV3, 120, 198S, 1156E, 111,  945, XX,  50, NEQ,   67,   77,   70,   59,     ,     ,  14,
SH, 27, 2026032100, 03, FNV3, 120, 198S, 1156E, 111,  945, XX,  64, NEQ,   40,   42,   37,   35,     ,     ,  14,
SH, 27, 2026032100, 03, FNV3, 126, 206S, 1149E, 106,  948, XX,  34, NEQ,  135,  172,  152,  113,     ,     ,  13,
SH, 27, 2026032100, 03, FNV3, 126, 206S, 1149E, 106,  948, XX,  50, NEQ,   75,   86,   77,   65,     ,     ,  13,
SH, 27, 2026032100, 03, FNV3, 126, 206S, 1149E, 106,  948, XX,  64, NEQ,   43,   46,   39,   37,     ,     ,  13,
SH, 27, 2026032100, 03, FNV3, 132, 215S, 1145E,  92,  957, XX,  34, NEQ,  123,  154,  134,  101,     ,     ,  18,
