# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032300, 03, FNV3,   0, 145S, 1292E,  35,  991, XX,  34, NEQ,   40,     ,     ,  115,     ,     ,  35,
SH, 27, 2026032300, 03, FNV3,   6, 148S, 1281E,  35,  994, XX,  34, NEQ,   19,   23,   18,   14,     ,     ,  36,
SH, 27, 2026032300, 03, FNV3,   6, 148S, 1281E,  35,  994, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  36,
SH, 27, 2026032300, 03, FNV3,  12, 153S, 1268E,  33,  996, XX,  34, NEQ,   14,   14,   10,   10,     ,     ,  33,
SH, 27, 2026032300, 03, FNV3,  18, 155S, 1254E,  35,  995, XX,  34, NEQ,   25,   27,   19,   20,     ,     ,  39,
SH, 27, 2026032300, 03, FNV3,  24, 159S, 1243E,  35,  994, XX,  34, NEQ,   43,   43,   36,   35,     ,     ,  44,
SH, 27, 2026032300, 03, FNV3,  24, 159S, 1243E,  35,  994, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  44,
SH, 27, 2026032300, 03, FNV3,  30, 163S, 1235E,  41,  991, XX,  34, NEQ,   62,   69,   57,   52,     ,     ,  37,
SH, 27, 2026032300, 03, FNV3,  30, 163S, 1235E,  41,  991, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  37,
SH, 27, 2026032300, 03, FNV3,  36, 167S, 1224E,  47,  989, XX,  34, NEQ,   84,   91,   79,   73,     ,     ,  36,
SH, 27, 2026032300, 03, FNV3,  36, 167S, 1224E,  47,  989, XX,  50, NEQ,    8,    9,    7,    6,     ,     ,  36,
SH, 27, 2026032300, 03, FNV3,  36, 167S, 1224E,  47,  989, XX,  64, NEQ,    1,    1,    1,    0,     ,     ,  36,
SH, 27, 2026032300, 03, FNV3,  42, 168S, 1213E,  53,  987, XX,  34, NEQ,  104,  115,  102,   90,     ,     ,  32,
SH, 27, 2026032300, 03, FNV3,  42, 168S, 1213E,  53,  987, XX,  50, NEQ,   15,   19,   15,   13,     ,     ,  32,
SH, 27, 2026032300, 03, FNV3,  42, 168S, 1213E,  53,  987, XX,  64, NEQ,    1,    2,    2,    1,     ,     ,  32,
SH, 27, 2026032300, 03, FNV3,  48, 173S, 1202E,  64,  981, XX,  34, NEQ,  117,  133,  118,  101,     ,     ,  27,
SH, 27, 2026032300, 03, FNV3,  48, 173S, 1202E,  64,  981, XX,  50, NEQ,   39,   45,   37,   32,     ,     ,  27,
SH, 27, 2026032300, 03, FNV3,  48, 173S, 1202E,  64,  981, XX,  64, NEQ,    6,    9,    6,    5,     ,     ,  27,
SH, 27, 2026032300, 03, FNV3,  54, 177S, 1192E,  79,  972, XX,  34, NEQ,  129,  158,  144,  112,     ,     ,  23,
