# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032312, 03, FNV3,   0, 151S, 1268E,  35,  994, XX,  34, NEQ,  120,     ,     ,  130,     ,     ,  50,
SH, 27, 2026032312, 03, FNV3,   6, 152S, 1256E,  36,  995, XX,  34, NEQ,   24,   24,   19,   22,     ,     ,  31,
SH, 27, 2026032312, 03, FNV3,   6, 152S, 1256E,  36,  995, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  31,
SH, 27, 2026032312, 03, FNV3,  12, 157S, 1246E,  36,  994, XX,  34, NEQ,   36,   37,   28,   28,     ,     ,  38,
SH, 27, 2026032312, 03, FNV3,  18, 161S, 1236E,  43,  991, XX,  34, NEQ,   62,   72,   63,   54,     ,     ,  38,
SH, 27, 2026032312, 03, FNV3,  18, 161S, 1236E,  43,  991, XX,  50, NEQ,    5,    5,    7,    4,     ,     ,  38,
SH, 27, 2026032312, 03, FNV3,  24, 165S, 1224E,  51,  988, XX,  34, NEQ,   98,  107,   97,   87,     ,     ,  34,
SH, 27, 2026032312, 03, FNV3,  24, 165S, 1224E,  51,  988, XX,  50, NEQ,   17,   19,   16,   13,     ,     ,  34,
SH, 27, 2026032312, 03, FNV3,  24, 165S, 1224E,  51,  988, XX,  64, NEQ,    0,    1,    1,    0,     ,     ,  34,
SH, 27, 2026032312, 03, FNV3,  30, 167S, 1212E,  61,  984, XX,  34, NEQ,  103,  119,  108,   91,     ,     ,  27,
SH, 27, 2026032312, 03, FNV3,  30, 167S, 1212E,  61,  984, XX,  50, NEQ,   37,   43,   36,   29,     ,     ,  27,
SH, 27, 2026032312, 03, FNV3,  30, 167S, 1212E,  61,  984, XX,  64, NEQ,    3,    6,    3,    3,     ,     ,  27,
SH, 27, 2026032312, 03, FNV3,  36, 171S, 1201E,  71,  978, XX,  34, NEQ,  116,  137,  126,  103,     ,     ,  24,
SH, 27, 2026032312, 03, FNV3,  36, 171S, 1201E,  71,  978, XX,  50, NEQ,   49,   57,   48,   42,     ,     ,  24,
SH, 27, 2026032312, 03, FNV3,  36, 171S, 1201E,  71,  978, XX,  64, NEQ,   16,   21,   17,   14,     ,     ,  24,
SH, 27, 2026032312, 03, FNV3,  42, 176S, 1190E,  87,  966, XX,  34, NEQ,  126,  159,  147,  110,     ,     ,  19,
SH, 27, 2026032312, 03, FNV3,  42, 176S, 1190E,  87,  966, XX,  50, NEQ,   70,   79,   72,   61,     ,     ,  19,
SH, 27, 2026032312, 03, FNV3,  42, 176S, 1190E,  87,  966, XX,  64, NEQ,   33,   38,   31,   30,     ,     ,  19,
SH, 27, 2026032312, 03, FNV3,  48, 178S, 1179E,  99,  955, XX,  34, NEQ,  130,  164,  155,  118,     ,     ,  16,
SH, 27, 2026032312, 03, FNV3,  48, 178S, 1179E,  99,  955, XX,  50, NEQ,   73,   84,   78,   66,     ,     ,  16,
SH, 27, 2026032312, 03, FNV3,  48, 178S, 1179E,  99,  955, XX,  64, NEQ,   41,   44,   39,   37,     ,     ,  16,
SH, 27, 2026032312, 03, FNV3,  54, 183S, 1169E, 110,  946, XX,  34, NEQ,  145,  186,  173,  129,     ,     ,  17,
SH, 27, 2026032312, 03, FNV3,  54, 183S, 1169E, 110,  946, XX,  50, NEQ,   81,   94,   88,   72,     ,     ,  17,
SH, 27, 2026032312, 03, FNV3,  54, 183S, 1169E, 110,  946, XX,  64, NEQ,   47,   52,   45,   42,     ,     ,  17,
SH, 27, 2026032312, 03, FNV3,  60, 188S, 1159E, 114,  941, XX,  34, NEQ,  156,  200,  185,  139,     ,     ,  16,
SH, 27, 2026032312, 03, FNV3,  60, 188S, 1159E, 114,  941, XX,  50, NEQ,   85,   98,   91,   75,     ,     ,  16,
SH, 27, 2026032312, 03, FNV3,  60, 188S, 1159E, 114,  941, XX,  64, NEQ,   49,   53,   47,   44,     ,     ,  16,
SH, 27, 2026032312, 03, FNV3,  66, 196S, 1150E, 113,  941, XX,  34, NEQ,  151,  195,  177,  131,     ,     ,  18,
SH, 27, 2026032312, 03, FNV3,  66, 196S, 1150E, 113,  941, XX,  50, NEQ,   85,   98,   89,   75,     ,     ,  18,
SH, 27, 2026032312, 03, FNV3,  66, 196S, 1150E, 113,  941, XX,  64, NEQ,   50,   53,   46,   44,     ,     ,  18,
SH, 27, 2026032312, 03, FNV3,  72, 203S, 1143E, 104,  949, XX,  34, NEQ,  143,  187,  170,  123,     ,     ,  18,
SH, 27, 2026032312, 03, FNV3,  72, 203S, 1143E, 104,  949, XX,  50, NEQ,   84,   96,   87,   73,     ,     ,  18,
SH, 27, 2026032312, 03, FNV3,  72, 203S, 1143E, 104,  949, XX,  64, NEQ,   49,   52,   46,   43,     ,     ,  18,
SH, 27, 2026032312, 03, FNV3,  78, 212S, 1137E,  96,  955, XX,  34, NEQ,  132,  172,  149,  108,     ,     ,  18,
SH, 27, 2026032312, 03, FNV3,  78, 212S, 1137E,  96,  955, XX,  50, NEQ,   73,   83,   73,   62,     ,     ,  18,
SH, 27, 2026032312, 03, FNV3,  78, 212S, 1137E,  96,  955, XX,  64, NEQ,   40,   43,   37,   35,     ,     ,  18,
SH, 27, 2026032312, 03, FNV3,  84, 225S, 1135E,  81,  966, XX,  34, NEQ,  137,  161,  133,  106,     ,     ,  19,
SH, 27, 2026032312, 03, FNV3,  84, 225S, 1135E,  81,  966, XX,  50, NEQ,   66,   70,   59,   54,     ,     ,  19,
SH, 27, 2026032312, 03, FNV3,  84, 225S, 1135E,  81,  966, XX,  64, NEQ,   29,   32,   25,   25,     ,     ,  19,
SH, 27, 2026032312, 03, FNV3,  90, 240S, 1137E,  72,  971, XX,  34, NEQ,  149,  164,  132,  112,     ,     ,  21,
SH, 27, 2026032312, 03, FNV3,  90, 240S, 1137E,  72,  971, XX,  50, NEQ,   66,   68,   55,   52,     ,     ,  21,
SH, 27, 2026032312, 03, FNV3,  90, 240S, 1137E,  72,  971, XX,  64, NEQ,   25,   25,   20,   20,     ,     ,  21,
SH, 27, 2026032312, 03, FNV3,  96, 259S, 1142E,  61,  980, XX,  34, NEQ,  126,  129,  101,   94,     ,     ,  25,
