# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032612, 03, FNV3,   0, 204S, 1146E, 115,  944, XX,  34, NEQ,  160,  180,  130,  120,     ,     ,  26,
SH, 27, 2026032612, 03, FNV3,   6, 212S, 1141E, 102,  949, XX,  34, NEQ,  128,  176,  159,  109,     ,     ,  17,
SH, 27, 2026032612, 03, FNV3,   6, 212S, 1141E, 102,  949, XX,  50, NEQ,   73,   86,   78,   63,     ,     ,  17,
SH, 27, 2026032612, 03, FNV3,   6, 212S, 1141E, 102,  949, XX,  64, NEQ,   42,   46,   39,   37,     ,     ,  17,
SH, 27, 2026032612, 03, FNV3,  12, 223S, 1139E,  90,  960, XX,  34, NEQ,  134,  161,  131,  103,     ,     ,  12,
SH, 27, 2026032612, 03, FNV3,  12, 223S, 1139E,  90,  960, XX,  50, NEQ,   72,   76,   63,   59,     ,     ,  12,
SH, 27, 2026032612, 03, FNV3,  12, 223S, 1139E,  90,  960, XX,  64, NEQ,   38,   39,   32,   32,     ,     ,  12,
SH, 27, 2026032612, 03, FNV3,  18, 238S, 1140E,  77,  969, XX,  34, NEQ,  150,  163,  133,  114,     ,     ,  13,
SH, 27, 2026032612, 03, FNV3,  18, 238S, 1140E,  77,  969, XX,  50, NEQ,   76,   77,   64,   62,     ,     ,  13,
SH, 27, 2026032612, 03, FNV3,  18, 238S, 1140E,  77,  969, XX,  64, NEQ,   33,   34,   28,   28,     ,     ,  13,
SH, 27, 2026032612, 03, FNV3,  24, 255S, 1145E,  65,  978, XX,  34, NEQ,  135,  138,  105,  101,     ,     ,  19,
SH, 27, 2026032612, 03, FNV3,  24, 255S, 1145E,  65,  978, XX,  50, NEQ,   56,   54,   40,   43,     ,     ,  19,
SH, 27, 2026032612, 03, FNV3,  24, 255S, 1145E,  65,  978, XX,  64, NEQ,   10,    6,    5,    5,     ,     ,  19,
SH, 27, 2026032612, 03, FNV3,  30, 276S, 1155E,  48,  987, XX,  34, NEQ,  110,  112,   88,   84,     ,     ,  27,
SH, 27, 2026032612, 03, FNV3,  30, 276S, 1155E,  48,  987, XX,  50, NEQ,    9,   10,    5,    6,     ,     ,  27,
SH, 27, 2026032612, 03, FNV3,  36, 300S, 1169E,  36,  994, XX,  34, NEQ,   34,   30,   21,   19,     ,     ,  39,
SH, 27, 2026032612, 03, FNV3,  42, 325S, 1188E,  28,  998, XX,  34, NEQ,    1,    1,    0,    0,     ,     ,  48,
SH, 27, 2026032612, 03, FNV3,  48, 352S, 1207E,  32,  996, XX,  34, NEQ,   13,    3,    4,    0,     ,     ,  63,
SH, 27, 2026032612, 03, FNV3,  48, 352S, 1207E,  32,  996, XX,  50, NEQ,    0,    0,    2,    0,     ,     ,  63,
SH, 27, 2026032612, 03, FNV3,  54, 374S, 1220E,  35,  992, XX,  34, NEQ,   31,    9,    2,    1,     ,     ,  64,
