# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 99, 2026040100, 03, FNV3,   0,  95S,  748E,  25, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  40,
IO, 99, 2026040100, 03, FNV3,   6, 104S,  745E,  25, 1004, XX,  34, NEQ,    0,    0,    1,    0,     ,     ,  41,
IO, 99, 2026040100, 03, FNV3,  12, 108S,  741E,  30, 1002, XX,  34, NEQ,    2,    4,    1,    2,     ,     ,  35,
IO, 99, 2026040100, 03, FNV3,  18, 112S,  738E,  31, 1002, XX,  34, NEQ,    4,    3,    4,    3,     ,     ,  35,
IO, 99, 2026040100, 03, FNV3,  24, 115S,  736E,  38,  999, XX,  34, NEQ,   12,   18,    7,    7,     ,     ,  29,
IO, 99, 2026040100, 03, FNV3,  24, 115S,  736E,  38,  999, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  29,
IO, 99, 2026040100, 03, FNV3,  30, 120S,  734E,  42,  998, XX,  34, NEQ,   25,   29,   20,   18,     ,     ,  26,
IO, 99, 2026040100, 03, FNV3,  30, 120S,  734E,  42,  998, XX,  50, NEQ,    3,    4,    2,    2,     ,     ,  26,
IO, 99, 2026040100, 03, FNV3,  36, 126S,  731E,  46,  996, XX,  34, NEQ,   42,   45,   34,   32,     ,     ,  23,
IO, 99, 2026040100, 03, FNV3,  36, 126S,  731E,  46,  996, XX,  50, NEQ,    5,    6,    4,    4,     ,     ,  23,
IO, 99, 2026040100, 03, FNV3,  42, 134S,  727E,  53,  994, XX,  34, NEQ,   61,   67,   53,   49,     ,     ,  22,
IO, 99, 2026040100, 03, FNV3,  42, 134S,  727E,  53,  994, XX,  50, NEQ,   12,   14,    8,    8,     ,     ,  22,
IO, 99, 2026040100, 03, FNV3,  42, 134S,  727E,  53,  994, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  22,
IO, 99, 2026040100, 03, FNV3,  48, 144S,  722E,  62,  987, XX,  34, NEQ,   70,   81,   63,   54,     ,     ,  18,
IO, 99, 2026040100, 03, FNV3,  48, 144S,  722E,  62,  987, XX,  50, NEQ,   24,   25,   18,   17,     ,     ,  18,
IO, 99, 2026040100, 03, FNV3,  48, 144S,  722E,  62,  987, XX,  64, NEQ,    5,    5,    3,    3,     ,     ,  18,
IO, 99, 2026040100, 03, FNV3,  54, 155S,  716E,  70,  982, XX,  34, NEQ,   82,   96,   79,   64,     ,     ,  19,
IO, 99, 2026040100, 03, FNV3,  54, 155S,  716E,  70,  982, XX,  50, NEQ,   31,   31,   25,   23,     ,     ,  19,
IO, 99, 2026040100, 03, FNV3,  54, 155S,  716E,  70,  982, XX,  64, NEQ,   11,    9,    7,    6,     ,     ,  19,
IO, 99, 2026040100, 03, FNV3,  60, 165S,  710E,  79,  975, XX,  34, NEQ,   91,  108,   85,   69,     ,     ,  15,
IO, 99, 2026040100, 03, FNV3,  60, 165S,  710E,  79,  975, XX,  50, NEQ,   41,   43,   34,   32,     ,     ,  15,
IO, 99, 2026040100, 03, FNV3,  60, 165S,  710E,  79,  975, XX,  64, NEQ,   17,   19,   14,   14,     ,     ,  15,
IO, 99, 2026040100, 03, FNV3,  66, 178S,  704E,  88,  969, XX,  34, NEQ,   98,  114,   92,   76,     ,     ,  14,
IO, 99, 2026040100, 03, FNV3,  66, 178S,  704E,  88,  969, XX,  50, NEQ,   46,   47,   39,   36,     ,     ,  14,
IO, 99, 2026040100, 03, FNV3,  66, 178S,  704E,  88,  969, XX,  64, NEQ,   21,   20,   16,   16,     ,     ,  14,
IO, 99, 2026040100, 03, FNV3,  72, 191S,  699E,  92,  964, XX,  34, NEQ,  103,  120,   95,   78,     ,     ,  13,
IO, 99, 2026040100, 03, FNV3,  72, 191S,  699E,  92,  964, XX,  50, NEQ,   49,   51,   41,   39,     ,     ,  13,
IO, 99, 2026040100, 03, FNV3,  72, 191S,  699E,  92,  964, XX,  64, NEQ,   23,   23,   18,   19,     ,     ,  13,
IO, 99, 2026040100, 03, FNV3,  78, 205S,  698E,  93,  964, XX,  34, NEQ,  104,  119,   96,   80,     ,     ,  13,
IO, 99, 2026040100, 03, FNV3,  78, 205S,  698E,  93,  964, XX,  50, NEQ,   58,   58,   48,   46,     ,     ,  13,
IO, 99, 2026040100, 03, FNV3,  78, 205S,  698E,  93,  964, XX,  64, NEQ,   26,   25,   21,   22,     ,     ,  13,
IO, 99, 2026040100, 03, FNV3,  84, 222S,  698E,  92,  963, XX,  34, NEQ,  106,  115,   91,   79,     ,     ,  13,
IO, 99, 2026040100, 03, FNV3,  84, 222S,  698E,  92,  963, XX,  50, NEQ,   55,   54,   43,   43,     ,     ,  13,
IO, 99, 2026040100, 03, FNV3,  84, 222S,  698E,  92,  963, XX,  64, NEQ,   26,   24,   20,   22,     ,     ,  13,
IO, 99, 2026040100, 03, FNV3,  90, 240S,  701E,  88,  967, XX,  34, NEQ,  107,  109,   88,   82,     ,     ,  13,
IO, 99, 2026040100, 03, FNV3,  90, 240S,  701E,  88,  967, XX,  50, NEQ,   55,   54,   43,   45,     ,     ,  13,
