# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 29, 2026040312, 03, GENC,   0, 163S,  720E,  54,  993, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 29, 2026040312, 03, GENC,   6, 176S,  713E,  58,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 29, 2026040312, 03, GENC,  12, 189S,  705E,  61,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 29, 2026040312, 03, GENC,  18, 203S,  702E,  61,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 29, 2026040312, 03, GENC,  24, 217S,  699E,  60,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 29, 2026040312, 03, GENC,  30, 236S,  699E,  58,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 29, 2026040312, 03, GENC,  36, 255S,  699E,  55,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 29, 2026040312, 03, GENC,  42, 278S,  704E,  53,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 29, 2026040312, 03, GENC,  48, 300S,  709E,  50,  996, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 29, 2026040312, 03, GENC,  54, 321S,  718E,  44, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 29, 2026040312, 03, GENC,  60, 341S,  728E,  38, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026040312, 03, GENC,   0,  95S, 1560E,  41, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026040312, 03, GENC,   6,  93S, 1555E,  46,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026040312, 03, GENC,  12,  91S, 1549E,  50,  996, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
