# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 29, 2026040412, 03, FNV3,   0, 218S,  703E,  80,  976, XX,  34, NEQ,  100,   80,   50,   40,     ,     ,   5,
IO, 29, 2026040412, 03, FNV3,   6, 235S,  698E,  57,  989, XX,  34, NEQ,   76,   76,   56,   57,     ,     ,  19,
IO, 29, 2026040412, 03, FNV3,   6, 235S,  698E,  57,  989, XX,  50, NEQ,   24,   19,   14,   15,     ,     ,  19,
IO, 29, 2026040412, 03, FNV3,   6, 235S,  698E,  57,  989, XX,  64, NEQ,    3,    2,    1,    1,     ,     ,  19,
IO, 29, 2026040412, 03, FNV3,  12, 255S,  701E,  62,  986, XX,  34, NEQ,   84,   84,   63,   61,     ,     ,  18,
IO, 29, 2026040412, 03, FNV3,  12, 255S,  701E,  62,  986, XX,  50, NEQ,   29,   25,   17,   19,     ,     ,  18,
IO, 29, 2026040412, 03, FNV3,  12, 255S,  701E,  62,  986, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  18,
IO, 29, 2026040412, 03, FNV3,  18, 276S,  708E,  60,  986, XX,  34, NEQ,   85,   82,   61,   63,     ,     ,  17,
IO, 29, 2026040412, 03, FNV3,  18, 276S,  708E,  60,  986, XX,  50, NEQ,   29,   24,   18,   20,     ,     ,  17,
IO, 29, 2026040412, 03, FNV3,  18, 276S,  708E,  60,  986, XX,  64, NEQ,    5,    3,    3,    3,     ,     ,  17,
IO, 29, 2026040412, 03, FNV3,  24, 297S,  715E,  54,  989, XX,  34, NEQ,   88,   84,   63,   65,     ,     ,  21,
IO, 29, 2026040412, 03, FNV3,  24, 297S,  715E,  54,  989, XX,  50, NEQ,   24,   20,   13,   15,     ,     ,  21,
IO, 29, 2026040412, 03, FNV3,  24, 297S,  715E,  54,  989, XX,  64, NEQ,    1,    1,    1,    0,     ,     ,  21,
IO, 29, 2026040412, 03, FNV3,  30, 317S,  723E,  45,  996, XX,  34, NEQ,   67,   60,   44,   48,     ,     ,  27,
IO, 29, 2026040412, 03, FNV3,  30, 317S,  723E,  45,  996, XX,  50, NEQ,    6,    4,    2,    2,     ,     ,  27,
IO, 29, 2026040412, 03, FNV3,  36, 335S,  733E,  38, 1000, XX,  34, NEQ,   33,   29,   17,   19,     ,     ,  34,
IO, 29, 2026040412, 03, FNV3,  36, 335S,  733E,  38, 1000, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  34,
IO, 29, 2026040412, 03, FNV3,  42, 352S,  743E,  34, 1003, XX,  34, NEQ,   16,   10,    5,    5,     ,     ,  35,
IO, 29, 2026040412, 03, FNV3,  48, 367S,  757E,  30, 1005, XX,  34, NEQ,    8,    3,    1,    1,     ,     ,  46,
SH, 30, 2026040412, 03, FNV3,   0,  89S, 1550E,  45,  990, XX,  34, NEQ,  100,   50,   70,  130,     ,     ,  45,
SH, 30, 2026040412, 03, FNV3,   6,  91S, 1544E,  54,  988, XX,  34, NEQ,   96,   94,   85,   84,     ,     ,  27,
SH, 30, 2026040412, 03, FNV3,   6,  91S, 1544E,  54,  988, XX,  50, NEQ,   16,   17,   11,   10,     ,     ,  27,
SH, 30, 2026040412, 03, FNV3,   6,  91S, 1544E,  54,  988, XX,  64, NEQ,    0,    0,    0,    1,     ,     ,  27,
SH, 30, 2026040412, 03, FNV3,  12,  92S, 1544E,  57,  987, XX,  34, NEQ,   90,   90,   82,   79,     ,     ,  23,
SH, 30, 2026040412, 03, FNV3,  12,  92S, 1544E,  57,  987, XX,  50, NEQ,   18,   17,   13,   13,     ,     ,  23,
SH, 30, 2026040412, 03, FNV3,  12,  92S, 1544E,  57,  987, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  23,
SH, 30, 2026040412, 03, FNV3,  18,  94S, 1545E,  65,  981, XX,  34, NEQ,  105,  105,   95,   90,     ,     ,  22,
SH, 30, 2026040412, 03, FNV3,  18,  94S, 1545E,  65,  981, XX,  50, NEQ,   38,   37,   29,   30,     ,     ,  22,
SH, 30, 2026040412, 03, FNV3,  18,  94S, 1545E,  65,  981, XX,  64, NEQ,   10,    6,    5,    5,     ,     ,  22,
SH, 30, 2026040412, 03, FNV3,  24,  96S, 1545E,  72,  978, XX,  34, NEQ,  108,  108,   99,   93,     ,     ,  19,
SH, 30, 2026040412, 03, FNV3,  24,  96S, 1545E,  72,  978, XX,  50, NEQ,   49,   47,   40,   41,     ,     ,  19,
SH, 30, 2026040412, 03, FNV3,  24,  96S, 1545E,  72,  978, XX,  64, NEQ,   18,   14,   12,   13,     ,     ,  19,
SH, 30, 2026040412, 03, FNV3,  30,  98S, 1545E,  78,  974, XX,  34, NEQ,   98,  108,  103,   87,     ,     ,  17,
SH, 30, 2026040412, 03, FNV3,  30,  98S, 1545E,  78,  974, XX,  50, NEQ,   49,   51,   45,   42,     ,     ,  17,
SH, 30, 2026040412, 03, FNV3,  30,  98S, 1545E,  78,  974, XX,  64, NEQ,   22,   21,   18,   18,     ,     ,  17,
SH, 30, 2026040412, 03, FNV3,  36,  99S, 1547E,  81,  971, XX,  34, NEQ,  108,  107,  107,  102,     ,     ,  18,
SH, 30, 2026040412, 03, FNV3,  36,  99S, 1547E,  81,  971, XX,  50, NEQ,   52,   50,   46,   46,     ,     ,  18,
SH, 30, 2026040412, 03, FNV3,  36,  99S, 1547E,  81,  971, XX,  64, NEQ,   25,   23,   20,   20,     ,     ,  18,
SH, 30, 2026040412, 03, FNV3,  42, 100S, 1550E,  80,  972, XX,  34, NEQ,  103,  100,   99,   93,     ,     ,  14,
