# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 29, 2026040512, 03, FNV3,   0, 295S,  716E,  54,  988, XX,  34, NEQ,  100,  100,   60,   50,     ,     ,  40,
IO, 29, 2026040512, 03, FNV3,   6, 317S,  730E,  46,  996, XX,  34, NEQ,   83,   79,   60,   61,     ,     ,  28,
IO, 29, 2026040512, 03, FNV3,   6, 317S,  730E,  46,  996, XX,  50, NEQ,    7,    5,    4,    4,     ,     ,  28,
IO, 29, 2026040512, 03, FNV3,  12, 332S,  745E,  43,  999, XX,  34, NEQ,   52,   44,   29,   32,     ,     ,  30,
IO, 29, 2026040512, 03, FNV3,  12, 332S,  745E,  43,  999, XX,  50, NEQ,    2,    0,    0,    0,     ,     ,  30,
IO, 29, 2026040512, 03, FNV3,  18, 344S,  758E,  36, 1002, XX,  34, NEQ,   30,   23,   15,   16,     ,     ,  31,
IO, 29, 2026040512, 03, FNV3,  24, 356S,  769E,  30, 1006, XX,  34, NEQ,    9,    1,    0,    1,     ,     ,  42,
IO, 29, 2026040512, 03, FNV3,  30, 367S,  783E,  27, 1007, XX,  34, NEQ,    4,    0,    0,    0,     ,     ,  51,
SH, 30, 2026040512, 03, FNV3,   0,  93S, 1546E,  74,  973, XX,  34, NEQ,  120,   75,   90,  135,     ,     ,  25,
SH, 30, 2026040512, 03, FNV3,   6,  96S, 1543E,  87,  966, XX,  34, NEQ,   98,  111,  109,   85,     ,     ,  14,
SH, 30, 2026040512, 03, FNV3,   6,  96S, 1543E,  87,  966, XX,  50, NEQ,   52,   56,   51,   46,     ,     ,  14,
SH, 30, 2026040512, 03, FNV3,   6,  96S, 1543E,  87,  966, XX,  64, NEQ,   26,   27,   24,   23,     ,     ,  14,
SH, 30, 2026040512, 03, FNV3,  12,  97S, 1546E,  90,  965, XX,  34, NEQ,  104,  109,  109,   97,     ,     ,  17,
