# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 30, 2026040806, 03, FNV3,   0,  85S, 1559E, 115,  939, XX,  34, NEQ,  120,  100,  120,  115,     ,     ,  17,
SH, 30, 2026040806, 03, FNV3,   6,  87S, 1557E, 101,  953, XX,  34, NEQ,   89,  104,  118,   97,     ,     ,  15,
SH, 30, 2026040806, 03, FNV3,   6,  87S, 1557E, 101,  953, XX,  50, NEQ,   51,   57,   58,   50,     ,     ,  15,
SH, 30, 2026040806, 03, FNV3,   6,  87S, 1557E, 101,  953, XX,  64, NEQ,   31,   34,   31,   30,     ,     ,  15,
SH, 30, 2026040806, 03, FNV3,  12,  87S, 1555E, 101,  955, XX,  34, NEQ,   97,  113,  120,   99,     ,     ,  16,
SH, 30, 2026040806, 03, FNV3,  12,  87S, 1555E, 101,  955, XX,  50, NEQ,   52,   59,   58,   49,     ,     ,  16,
SH, 30, 2026040806, 03, FNV3,  12,  87S, 1555E, 101,  955, XX,  64, NEQ,   28,   31,   28,   26,     ,     ,  16,
SH, 30, 2026040806, 03, FNV3,  18,  87S, 1551E,  98,  958, XX,  34, NEQ,  100,  121,  127,  101,     ,     ,  16,
SH, 30, 2026040806, 03, FNV3,  18,  87S, 1551E,  98,  958, XX,  50, NEQ,   52,   60,   58,   49,     ,     ,  16,
SH, 30, 2026040806, 03, FNV3,  18,  87S, 1551E,  98,  958, XX,  64, NEQ,   28,   30,   27,   25,     ,     ,  16,
SH, 30, 2026040806, 03, FNV3,  24,  87S, 1547E,  94,  960, XX,  34, NEQ,  101,  125,  129,   99,     ,     ,  16,
SH, 30, 2026040806, 03, FNV3,  24,  87S, 1547E,  94,  960, XX,  50, NEQ,   52,   61,   58,   48,     ,     ,  16,
SH, 30, 2026040806, 03, FNV3,  24,  87S, 1547E,  94,  960, XX,  64, NEQ,   28,   30,   27,   25,     ,     ,  16,
SH, 30, 2026040806, 03, FNV3,  30,  87S, 1542E,  87,  966, XX,  34, NEQ,  104,  120,  125,  105,     ,     ,  20,
SH, 30, 2026040806, 03, FNV3,  30,  87S, 1542E,  87,  966, XX,  50, NEQ,   57,   63,   60,   53,     ,     ,  20,
SH, 30, 2026040806, 03, FNV3,  30,  87S, 1542E,  87,  966, XX,  64, NEQ,   27,   29,   26,   25,     ,     ,  20,
SH, 30, 2026040806, 03, FNV3,  36,  86S, 1539E,  82,  969, XX,  34, NEQ,   98,  112,  118,   97,     ,     ,  19,
SH, 30, 2026040806, 03, FNV3,  36,  86S, 1539E,  82,  969, XX,  50, NEQ,   51,   56,   53,   46,     ,     ,  19,
SH, 30, 2026040806, 03, FNV3,  36,  86S, 1539E,  82,  969, XX,  64, NEQ,   21,   25,   21,   19,     ,     ,  19,
SH, 30, 2026040806, 03, FNV3,  42,  87S, 1536E,  76,  974, XX,  34, NEQ,   96,  110,  112,   93,     ,     ,  20,
SH, 30, 2026040806, 03, FNV3,  42,  87S, 1536E,  76,  974, XX,  50, NEQ,   45,   48,   46,   40,     ,     ,  20,
SH, 30, 2026040806, 03, FNV3,  42,  87S, 1536E,  76,  974, XX,  64, NEQ,   20,   21,   21,   18,     ,     ,  20,
SH, 30, 2026040806, 03, FNV3,  48,  88S, 1533E,  68,  979, XX,  34, NEQ,  100,  113,  113,   94,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  48,  88S, 1533E,  68,  979, XX,  50, NEQ,   47,   51,   46,   41,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  48,  88S, 1533E,  68,  979, XX,  64, NEQ,   14,   17,   15,   13,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  54,  89S, 1530E,  63,  982, XX,  34, NEQ,   97,  107,  104,   94,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  54,  89S, 1530E,  63,  982, XX,  50, NEQ,   36,   40,   35,   33,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  54,  89S, 1530E,  63,  982, XX,  64, NEQ,   12,   13,   12,   11,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  60,  90S, 1528E,  55,  988, XX,  34, NEQ,   73,   81,   78,   68,     ,     ,  25,
SH, 30, 2026040806, 03, FNV3,  60,  90S, 1528E,  55,  988, XX,  50, NEQ,   19,   22,   19,   17,     ,     ,  25,
SH, 30, 2026040806, 03, FNV3,  60,  90S, 1528E,  55,  988, XX,  64, NEQ,    7,    7,    6,    5,     ,     ,  25,
SH, 30, 2026040806, 03, FNV3,  66,  93S, 1526E,  52,  990, XX,  34, NEQ,   64,   69,   65,   58,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  66,  93S, 1526E,  52,  990, XX,  50, NEQ,   16,   17,   14,   13,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  66,  93S, 1526E,  52,  990, XX,  64, NEQ,    4,    4,    4,    3,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  72,  97S, 1523E,  45,  992, XX,  34, NEQ,   51,   53,   48,   42,     ,     ,  27,
SH, 30, 2026040806, 03, FNV3,  72,  97S, 1523E,  45,  992, XX,  50, NEQ,   12,   13,   10,    9,     ,     ,  27,
SH, 30, 2026040806, 03, FNV3,  72,  97S, 1523E,  45,  992, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  27,
SH, 30, 2026040806, 03, FNV3,  78, 100S, 1521E,  44,  993, XX,  34, NEQ,   49,   53,   50,   46,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  78, 100S, 1521E,  44,  993, XX,  50, NEQ,   12,   13,   12,   11,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  78, 100S, 1521E,  44,  993, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3,  84, 103S, 1517E,  40,  995, XX,  34, NEQ,   36,   39,   37,   32,     ,     ,  28,
SH, 30, 2026040806, 03, FNV3,  84, 103S, 1517E,  40,  995, XX,  50, NEQ,    5,    6,    5,    4,     ,     ,  28,
SH, 30, 2026040806, 03, FNV3,  84, 103S, 1517E,  40,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  28,
SH, 30, 2026040806, 03, FNV3,  90, 105S, 1513E,  40,  997, XX,  34, NEQ,   36,   38,   35,   31,     ,     ,  29,
SH, 30, 2026040806, 03, FNV3,  90, 105S, 1513E,  40,  997, XX,  50, NEQ,    4,    4,    4,    3,     ,     ,  29,
SH, 30, 2026040806, 03, FNV3,  90, 105S, 1513E,  40,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  29,
SH, 30, 2026040806, 03, FNV3,  96, 107S, 1509E,  36,  997, XX,  34, NEQ,   22,   25,   23,   21,     ,     ,  33,
SH, 30, 2026040806, 03, FNV3,  96, 107S, 1509E,  36,  997, XX,  50, NEQ,    2,    3,    3,    2,     ,     ,  33,
SH, 30, 2026040806, 03, FNV3,  96, 107S, 1509E,  36,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  33,
SH, 30, 2026040806, 03, FNV3, 102, 112S, 1500E,  38,  996, XX,  34, NEQ,   20,   21,   18,   17,     ,     ,  27,
SH, 30, 2026040806, 03, FNV3, 102, 112S, 1500E,  38,  996, XX,  50, NEQ,    4,    3,    3,    3,     ,     ,  27,
SH, 30, 2026040806, 03, FNV3, 102, 112S, 1500E,  38,  996, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  27,
SH, 30, 2026040806, 03, FNV3, 108, 117S, 1488E,  42,  996, XX,  34, NEQ,   23,   31,   26,   24,     ,     ,  28,
SH, 30, 2026040806, 03, FNV3, 108, 117S, 1488E,  42,  996, XX,  50, NEQ,    5,    7,    5,    4,     ,     ,  28,
SH, 30, 2026040806, 03, FNV3, 108, 117S, 1488E,  42,  996, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  28,
SH, 30, 2026040806, 03, FNV3, 114, 122S, 1473E,  41,  997, XX,  34, NEQ,   28,   34,   31,   26,     ,     ,  27,
SH, 30, 2026040806, 03, FNV3, 114, 122S, 1473E,  41,  997, XX,  50, NEQ,    5,    7,    6,    5,     ,     ,  27,
SH, 30, 2026040806, 03, FNV3, 114, 122S, 1473E,  41,  997, XX,  64, NEQ,    3,    3,    3,    3,     ,     ,  27,
SH, 30, 2026040806, 03, FNV3, 120, 128S, 1459E,  47,  994, XX,  34, NEQ,   36,   45,   38,   33,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3, 120, 128S, 1459E,  47,  994, XX,  50, NEQ,    7,    9,    8,    6,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3, 120, 128S, 1459E,  47,  994, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  23,
SH, 30, 2026040806, 03, FNV3, 126, 128S, 1446E,  47,  994, XX,  34, NEQ,   29,   37,   34,   31,     ,     ,  25,
SH, 30, 2026040806, 03, FNV3, 126, 128S, 1446E,  47,  994, XX,  50, NEQ,   10,   11,   11,    8,     ,     ,  25,
SH, 30, 2026040806, 03, FNV3, 126, 128S, 1446E,  47,  994, XX,  64, NEQ,    4,    4,    4,    3,     ,     ,  25,
SH, 30, 2026040806, 03, FNV3, 132, 126S, 1433E,  48,  994, XX,  34, NEQ,   37,   46,   42,   34,     ,     ,  21,
SH, 30, 2026040806, 03, FNV3, 132, 126S, 1433E,  48,  994, XX,  50, NEQ,   12,   13,   12,   10,     ,     ,  21,
SH, 30, 2026040806, 03, FNV3, 132, 126S, 1433E,  48,  994, XX,  64, NEQ,    5,    6,    5,    5,     ,     ,  21,
SH, 30, 2026040806, 03, FNV3, 138, 128S, 1420E,  41,  999, XX,  34, NEQ,   33,   37,   33,   29,     ,     ,  22,
SH, 30, 2026040806, 03, FNV3, 138, 128S, 1420E,  41,  999, XX,  50, NEQ,    6,    8,    6,    5,     ,     ,  22,
SH, 30, 2026040806, 03, FNV3, 138, 128S, 1420E,  41,  999, XX,  64, NEQ,    0,    0,    1,    0,     ,     ,  22,
SH, 30, 2026040806, 03, FNV3, 144, 130S, 1409E,  41,  999, XX,  34, NEQ,   27,   31,   25,   22,     ,     ,  25,
SH, 30, 2026040806, 03, FNV3, 144, 130S, 1409E,  41,  999, XX,  50, NEQ,    3,    4,    2,    2,     ,     ,  25,
SH, 30, 2026040806, 03, FNV3, 150, 130S, 1398E,  40,  998, XX,  34, NEQ,   23,   29,   24,   24,     ,     ,  22,
SH, 30, 2026040806, 03, FNV3, 150, 130S, 1398E,  40,  998, XX,  50, NEQ,    6,    6,    5,    5,     ,     ,  22,
