# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 30, 2026040918, 03, FNV3,   0,  83S, 1542E,  74,  971, XX,  34, NEQ,  110,  100,  140,  135,     ,     ,  20,
SH, 30, 2026040918, 03, FNV3,   6,  84S, 1543E,  76,  974, XX,  34, NEQ,   92,  110,  115,   91,     ,     ,  20,
SH, 30, 2026040918, 03, FNV3,   6,  84S, 1543E,  76,  974, XX,  50, NEQ,   48,   55,   52,   45,     ,     ,  20,
SH, 30, 2026040918, 03, FNV3,   6,  84S, 1543E,  76,  974, XX,  64, NEQ,   20,   23,   21,   17,     ,     ,  20,
SH, 30, 2026040918, 03, FNV3,  12,  85S, 1541E,  65,  981, XX,  34, NEQ,   91,  103,  103,   85,     ,     ,  22,
SH, 30, 2026040918, 03, FNV3,  12,  85S, 1541E,  65,  981, XX,  50, NEQ,   41,   44,   38,   35,     ,     ,  22,
SH, 30, 2026040918, 03, FNV3,  12,  85S, 1541E,  65,  981, XX,  64, NEQ,   11,   12,   10,    9,     ,     ,  22,
SH, 30, 2026040918, 03, FNV3,  18,  86S, 1538E,  56,  986, XX,  34, NEQ,   87,   92,   90,   83,     ,     ,  24,
SH, 30, 2026040918, 03, FNV3,  18,  86S, 1538E,  56,  986, XX,  50, NEQ,   25,   26,   24,   23,     ,     ,  24,
SH, 30, 2026040918, 03, FNV3,  18,  86S, 1538E,  56,  986, XX,  64, NEQ,    8,    8,    7,    7,     ,     ,  24,
SH, 30, 2026040918, 03, FNV3,  24,  86S, 1537E,  48,  991, XX,  34, NEQ,   67,   66,   61,   61,     ,     ,  26,
SH, 30, 2026040918, 03, FNV3,  24,  86S, 1537E,  48,  991, XX,  50, NEQ,   16,   16,   13,   13,     ,     ,  26,
SH, 30, 2026040918, 03, FNV3,  24,  86S, 1537E,  48,  991, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  26,
SH, 30, 2026040918, 03, FNV3,  30,  88S, 1537E,  43,  994, XX,  34, NEQ,   53,   57,   52,   49,     ,     ,  31,
SH, 30, 2026040918, 03, FNV3,  30,  88S, 1537E,  43,  994, XX,  50, NEQ,    5,    5,    5,    4,     ,     ,  31,
SH, 30, 2026040918, 03, FNV3,  30,  88S, 1537E,  43,  994, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  31,
SH, 30, 2026040918, 03, FNV3,  36,  89S, 1536E,  40,  994, XX,  34, NEQ,   40,   39,   39,   36,     ,     ,  29,
SH, 30, 2026040918, 03, FNV3,  36,  89S, 1536E,  40,  994, XX,  50, NEQ,    3,    3,    4,    2,     ,     ,  29,
SH, 30, 2026040918, 03, FNV3,  42,  91S, 1535E,  38,  995, XX,  34, NEQ,   22,   25,   24,   24,     ,     ,  29,
SH, 30, 2026040918, 03, FNV3,  42,  91S, 1535E,  38,  995, XX,  50, NEQ,    4,    4,    4,    3,     ,     ,  29,
SH, 30, 2026040918, 03, FNV3,  42,  91S, 1535E,  38,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  29,
SH, 30, 2026040918, 03, FNV3,  48,  94S, 1532E,  37,  996, XX,  34, NEQ,   14,   15,   15,   13,     ,     ,  30,
SH, 30, 2026040918, 03, FNV3,  48,  94S, 1532E,  37,  996, XX,  50, NEQ,    2,    2,    2,    1,     ,     ,  30,
SH, 30, 2026040918, 03, FNV3,  54,  97S, 1529E,  33,  999, XX,  34, NEQ,   11,   11,   11,   11,     ,     ,  31,
SH, 30, 2026040918, 03, FNV3,  54,  97S, 1529E,  33,  999, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  31,
