# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 07, 2026061900, 03, FNV3,   0, 129N, 1431E,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  60,
WP, 07, 2026061900, 03, FNV3,   6, 135N, 1420E,  37, 1000, XX,  34, NEQ,   33,   13,    8,   14,     ,     ,  36,
WP, 07, 2026061900, 03, FNV3,  12, 138N, 1406E,  46,  996, XX,  34, NEQ,   58,   35,   21,   38,     ,     ,  32,
WP, 07, 2026061900, 03, FNV3,  12, 138N, 1406E,  46,  996, XX,  50, NEQ,    6,    1,    1,    1,     ,     ,  32,
WP, 07, 2026061900, 03, FNV3,  18, 140N, 1395E,  49,  994, XX,  34, NEQ,   63,   44,   28,   48,     ,     ,  27,
WP, 07, 2026061900, 03, FNV3,  18, 140N, 1395E,  49,  994, XX,  50, NEQ,   12,    2,    1,    2,     ,     ,  27,
WP, 07, 2026061900, 03, FNV3,  24, 142N, 1384E,  57,  990, XX,  34, NEQ,   78,   61,   45,   65,     ,     ,  18,
WP, 07, 2026061900, 03, FNV3,  24, 142N, 1384E,  57,  990, XX,  50, NEQ,   17,   11,    8,   12,     ,     ,  18,
WP, 07, 2026061900, 03, FNV3,  24, 142N, 1384E,  57,  990, XX,  64, NEQ,    2,    1,    1,    2,     ,     ,  18,
WP, 07, 2026061900, 03, FNV3,  30, 145N, 1373E,  64,  984, XX,  34, NEQ,   88,   68,   52,   77,     ,     ,  13,
WP, 07, 2026061900, 03, FNV3,  30, 145N, 1373E,  64,  984, XX,  50, NEQ,   29,   20,   15,   21,     ,     ,  13,
WP, 07, 2026061900, 03, FNV3,  30, 145N, 1373E,  64,  984, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  13,
WP, 07, 2026061900, 03, FNV3,  36, 149N, 1361E,  69,  981, XX,  34, NEQ,   91,   67,   51,   80,     ,     ,  14,
WP, 07, 2026061900, 03, FNV3,  36, 149N, 1361E,  69,  981, XX,  50, NEQ,   34,   24,   18,   25,     ,     ,  14,
WP, 07, 2026061900, 03, FNV3,  36, 149N, 1361E,  69,  981, XX,  64, NEQ,   10,    7,    5,    7,     ,     ,  14,
WP, 07, 2026061900, 03, FNV3,  42, 154N, 1349E,  77,  975, XX,  34, NEQ,   97,   75,   59,   85,     ,     ,  12,
WP, 07, 2026061900, 03, FNV3,  42, 154N, 1349E,  77,  975, XX,  50, NEQ,   40,   28,   21,   30,     ,     ,  12,
WP, 07, 2026061900, 03, FNV3,  42, 154N, 1349E,  77,  975, XX,  64, NEQ,   15,   11,    9,   11,     ,     ,  12,
WP, 07, 2026061900, 03, FNV3,  48, 159N, 1335E,  85,  968, XX,  34, NEQ,   94,   74,   62,   83,     ,     ,  11,
WP, 07, 2026061900, 03, FNV3,  48, 159N, 1335E,  85,  968, XX,  50, NEQ,   43,   34,   27,   35,     ,     ,  11,
WP, 07, 2026061900, 03, FNV3,  48, 159N, 1335E,  85,  968, XX,  64, NEQ,   17,   13,   10,   13,     ,     ,  11,
WP, 07, 2026061900, 03, FNV3,  54, 165N, 1322E, 100,  957, XX,  34, NEQ,   94,   76,   67,   86,     ,     ,   7,
WP, 07, 2026061900, 03, FNV3,  54, 165N, 1322E, 100,  957, XX,  50, NEQ,   45,   36,   28,   39,     ,     ,   7,
WP, 07, 2026061900, 03, FNV3,  54, 165N, 1322E, 100,  957, XX,  64, NEQ,   22,   19,   15,   19,     ,     ,   7,
WP, 07, 2026061900, 03, FNV3,  60, 170N, 1309E, 105,  953, XX,  34, NEQ,   94,   77,   71,   90,     ,     ,   8,
WP, 07, 2026061900, 03, FNV3,  60, 170N, 1309E, 105,  953, XX,  50, NEQ,   50,   41,   34,   44,     ,     ,   8,
WP, 07, 2026061900, 03, FNV3,  60, 170N, 1309E, 105,  953, XX,  64, NEQ,   26,   22,   19,   23,     ,     ,   8,
WP, 07, 2026061900, 03, FNV3,  66, 174N, 1296E, 109,  948, XX,  34, NEQ,   97,   79,   73,   92,     ,     ,   6,
WP, 07, 2026061900, 03, FNV3,  66, 174N, 1296E, 109,  948, XX,  50, NEQ,   50,   41,   34,   44,     ,     ,   6,
WP, 07, 2026061900, 03, FNV3,  66, 174N, 1296E, 109,  948, XX,  64, NEQ,   28,   24,   20,   24,     ,     ,   6,
WP, 07, 2026061900, 03, FNV3,  72, 177N, 1285E, 117,  942, XX,  34, NEQ,   98,   82,   78,   95,     ,     ,   9,
WP, 07, 2026061900, 03, FNV3,  72, 177N, 1285E, 117,  942, XX,  50, NEQ,   50,   41,   35,   45,     ,     ,   9,
WP, 07, 2026061900, 03, FNV3,  72, 177N, 1285E, 117,  942, XX,  64, NEQ,   29,   25,   21,   26,     ,     ,   9,
WP, 07, 2026061900, 03, FNV3,  78, 181N, 1275E, 113,  944, XX,  34, NEQ,  103,   88,   82,   97,     ,     ,   8,
WP, 07, 2026061900, 03, FNV3,  78, 181N, 1275E, 113,  944, XX,  50, NEQ,   50,   41,   34,   44,     ,     ,   8,
WP, 07, 2026061900, 03, FNV3,  78, 181N, 1275E, 113,  944, XX,  64, NEQ,   28,   24,   20,   25,     ,     ,   8,
WP, 07, 2026061900, 03, FNV3,  84, 184N, 1268E, 111,  945, XX,  34, NEQ,  105,   90,   87,  100,     ,     ,  12,
