# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 07, 2026061918, 03, FNV3,   0, 140N, 1386E,  39, 1000, XX,  34, NEQ,   90,     ,     ,   90,     ,     ,  40,
WP, 07, 2026061918, 03, FNV3,   6, 145N, 1380E,  52,  993, XX,  34, NEQ,   82,   66,   49,   70,     ,     ,  21,
WP, 07, 2026061918, 03, FNV3,   6, 145N, 1380E,  52,  993, XX,  50, NEQ,   12,    7,    5,    9,     ,     ,  21,
WP, 07, 2026061918, 03, FNV3,   6, 145N, 1380E,  52,  993, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  21,
WP, 07, 2026061918, 03, FNV3,  12, 147N, 1369E,  55,  990, XX,  34, NEQ,   71,   53,   39,   61,     ,     ,  18,
WP, 07, 2026061918, 03, FNV3,  12, 147N, 1369E,  55,  990, XX,  50, NEQ,   16,    9,    7,    9,     ,     ,  18,
WP, 07, 2026061918, 03, FNV3,  12, 147N, 1369E,  55,  990, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  18,
WP, 07, 2026061918, 03, FNV3,  18, 150N, 1356E,  58,  989, XX,  34, NEQ,   91,   68,   52,   77,     ,     ,  20,
WP, 07, 2026061918, 03, FNV3,  18, 150N, 1356E,  58,  989, XX,  50, NEQ,   24,   16,   12,   16,     ,     ,  20,
WP, 07, 2026061918, 03, FNV3,  18, 150N, 1356E,  58,  989, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  20,
WP, 07, 2026061918, 03, FNV3,  24, 156N, 1343E,  66,  983, XX,  34, NEQ,   90,   69,   54,   78,     ,     ,  14,
WP, 07, 2026061918, 03, FNV3,  24, 156N, 1343E,  66,  983, XX,  50, NEQ,   32,   21,   15,   22,     ,     ,  14,
WP, 07, 2026061918, 03, FNV3,  24, 156N, 1343E,  66,  983, XX,  64, NEQ,    6,    3,    3,    4,     ,     ,  14,
WP, 07, 2026061918, 03, FNV3,  30, 161N, 1330E,  74,  978, XX,  34, NEQ,   92,   73,   60,   81,     ,     ,  13,
WP, 07, 2026061918, 03, FNV3,  30, 161N, 1330E,  74,  978, XX,  50, NEQ,   40,   31,   23,   32,     ,     ,  13,
WP, 07, 2026061918, 03, FNV3,  30, 161N, 1330E,  74,  978, XX,  64, NEQ,   16,   11,    8,   11,     ,     ,  13,
WP, 07, 2026061918, 03, FNV3,  36, 168N, 1317E,  85,  969, XX,  34, NEQ,   85,   69,   60,   78,     ,     ,   7,
WP, 07, 2026061918, 03, FNV3,  36, 168N, 1317E,  85,  969, XX,  50, NEQ,   42,   34,   27,   36,     ,     ,   7,
WP, 07, 2026061918, 03, FNV3,  36, 168N, 1317E,  85,  969, XX,  64, NEQ,   20,   16,   13,   16,     ,     ,   7,
WP, 07, 2026061918, 03, FNV3,  42, 174N, 1304E,  94,  961, XX,  34, NEQ,   91,   75,   66,   85,     ,     ,   8,
WP, 07, 2026061918, 03, FNV3,  42, 174N, 1304E,  94,  961, XX,  50, NEQ,   44,   35,   28,   38,     ,     ,   8,
WP, 07, 2026061918, 03, FNV3,  42, 174N, 1304E,  94,  961, XX,  64, NEQ,   21,   18,   15,   18,     ,     ,   8,
WP, 07, 2026061918, 03, FNV3,  48, 179N, 1291E, 102,  955, XX,  34, NEQ,   93,   76,   68,   86,     ,     ,   7,
WP, 07, 2026061918, 03, FNV3,  48, 179N, 1291E, 102,  955, XX,  50, NEQ,   46,   37,   29,   39,     ,     ,   7,
WP, 07, 2026061918, 03, FNV3,  48, 179N, 1291E, 102,  955, XX,  64, NEQ,   23,   19,   16,   20,     ,     ,   7,
WP, 07, 2026061918, 03, FNV3,  54, 182N, 1280E, 108,  948, XX,  34, NEQ,   99,   85,   78,   94,     ,     ,   9,
WP, 07, 2026061918, 03, FNV3,  54, 182N, 1280E, 108,  948, XX,  50, NEQ,   51,   42,   35,   45,     ,     ,   9,
WP, 07, 2026061918, 03, FNV3,  54, 182N, 1280E, 108,  948, XX,  64, NEQ,   28,   24,   19,   24,     ,     ,   9,
WP, 07, 2026061918, 03, FNV3,  60, 186N, 1270E, 108,  948, XX,  34, NEQ,  110,   93,   87,  103,     ,     ,   9,
WP, 07, 2026061918, 03, FNV3,  60, 186N, 1270E, 108,  948, XX,  50, NEQ,   54,   45,   37,   47,     ,     ,   9,
WP, 07, 2026061918, 03, FNV3,  60, 186N, 1270E, 108,  948, XX,  64, NEQ,   29,   25,   21,   26,     ,     ,   9,
WP, 07, 2026061918, 03, FNV3,  66, 189N, 1262E, 105,  949, XX,  34, NEQ,  104,   89,   89,  102,     ,     ,  11,
WP, 07, 2026061918, 03, FNV3,  66, 189N, 1262E, 105,  949, XX,  50, NEQ,   56,   47,   41,   51,     ,     ,  11,
WP, 07, 2026061918, 03, FNV3,  66, 189N, 1262E, 105,  949, XX,  64, NEQ,   32,   28,   24,   28,     ,     ,  11,
WP, 07, 2026061918, 03, FNV3,  72, 190N, 1256E,  99,  954, XX,  34, NEQ,  109,   96,   93,  105,     ,     ,  12,
WP, 07, 2026061918, 03, FNV3,  72, 190N, 1256E,  99,  954, XX,  50, NEQ,   56,   49,   42,   51,     ,     ,  12,
WP, 07, 2026061918, 03, FNV3,  72, 190N, 1256E,  99,  954, XX,  64, NEQ,   32,   28,   24,   28,     ,     ,  12,
WP, 07, 2026061918, 03, FNV3,  78, 193N, 1251E,  96,  956, XX,  34, NEQ,  109,   99,   93,  101,     ,     ,  13,
WP, 07, 2026061918, 03, FNV3,  78, 193N, 1251E,  96,  956, XX,  50, NEQ,   58,   51,   43,   52,     ,     ,  13,
WP, 07, 2026061918, 03, FNV3,  78, 193N, 1251E,  96,  956, XX,  64, NEQ,   32,   29,   24,   28,     ,     ,  13,
WP, 07, 2026061918, 03, FNV3,  84, 196N, 1248E,  95,  955, XX,  34, NEQ,  115,  108,   98,  104,     ,     ,  17,
WP, 07, 2026061918, 03, FNV3,  84, 196N, 1248E,  95,  955, XX,  50, NEQ,   59,   53,   45,   53,     ,     ,  17,
WP, 07, 2026061918, 03, FNV3,  84, 196N, 1248E,  95,  955, XX,  64, NEQ,   35,   31,   26,   30,     ,     ,  17,
WP, 07, 2026061918, 03, FNV3,  90, 200N, 1246E,  90,  960, XX,  34, NEQ,  109,  107,   97,   98,     ,     ,  17,
WP, 07, 2026061918, 03, FNV3,  90, 200N, 1246E,  90,  960, XX,  50, NEQ,   58,   55,   46,   51,     ,     ,  17,
WP, 07, 2026061918, 03, FNV3,  90, 200N, 1246E,  90,  960, XX,  64, NEQ,   32,   29,   25,   27,     ,     ,  17,
WP, 07, 2026061918, 03, FNV3,  96, 204N, 1245E,  84,  964, XX,  34, NEQ,  114,  113,   97,   99,     ,     ,  18,
WP, 07, 2026061918, 03, FNV3,  96, 204N, 1245E,  84,  964, XX,  50, NEQ,   55,   51,   41,   46,     ,     ,  18,
WP, 07, 2026061918, 03, FNV3,  96, 204N, 1245E,  84,  964, XX,  64, NEQ,   29,   25,   21,   23,     ,     ,  18,
WP, 07, 2026061918, 03, FNV3, 102, 209N, 1245E,  75,  971, XX,  34, NEQ,  114,  115,  100,   97,     ,     ,  21,
WP, 07, 2026061918, 03, FNV3, 102, 209N, 1245E,  75,  971, XX,  50, NEQ,   58,   56,   45,   50,     ,     ,  21,
WP, 07, 2026061918, 03, FNV3, 102, 209N, 1245E,  75,  971, XX,  64, NEQ,   28,   25,   21,   23,     ,     ,  21,
WP, 07, 2026061918, 03, FNV3, 108, 215N, 1245E,  73,  973, XX,  34, NEQ,  116,  122,  101,   97,     ,     ,  21,
WP, 07, 2026061918, 03, FNV3, 108, 215N, 1245E,  73,  973, XX,  50, NEQ,   56,   53,   43,   46,     ,     ,  21,
WP, 07, 2026061918, 03, FNV3, 108, 215N, 1245E,  73,  973, XX,  64, NEQ,   24,   21,   17,   19,     ,     ,  21,
WP, 07, 2026061918, 03, FNV3, 114, 221N, 1246E,  66,  978, XX,  34, NEQ,  108,  112,   92,   89,     ,     ,  23,
WP, 07, 2026061918, 03, FNV3, 114, 221N, 1246E,  66,  978, XX,  50, NEQ,   44,   42,   33,   35,     ,     ,  23,
WP, 07, 2026061918, 03, FNV3, 114, 221N, 1246E,  66,  978, XX,  64, NEQ,   17,   14,   11,   12,     ,     ,  23,
