# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 95, 2026063018, 03, FNV3,   0, 130N, 1264W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 120,
WP, 95, 2026063018, 03, FNV3,   0,  86N, 1643E,  19, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 114,
WP, 95, 2026063018, 03, FNV3,   6,  88N, 1636E,  23, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  52,
WP, 95, 2026063018, 03, FNV3,  12,  94N, 1628E,  26, 1002, XX,  34, NEQ,    3,    2,    1,    1,     ,     ,  53,
WP, 95, 2026063018, 03, FNV3,  18, 100N, 1619E,  31, 1001, XX,  34, NEQ,   11,    7,    5,    9,     ,     ,  44,
WP, 95, 2026063018, 03, FNV3,  24, 105N, 1610E,  36, 1000, XX,  34, NEQ,   41,   36,   29,   35,     ,     ,  43,
WP, 95, 2026063018, 03, FNV3,  24, 105N, 1610E,  36, 1000, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  43,
WP, 95, 2026063018, 03, FNV3,  30, 110N, 1602E,  42,  998, XX,  34, NEQ,   56,   44,   34,   41,     ,     ,  39,
WP, 95, 2026063018, 03, FNV3,  30, 110N, 1602E,  42,  998, XX,  50, NEQ,    4,    3,    2,    2,     ,     ,  39,
WP, 95, 2026063018, 03, FNV3,  36, 115N, 1593E,  49,  993, XX,  34, NEQ,   69,   56,   44,   55,     ,     ,  27,
WP, 95, 2026063018, 03, FNV3,  36, 115N, 1593E,  49,  993, XX,  50, NEQ,   12,    8,    6,    7,     ,     ,  27,
WP, 95, 2026063018, 03, FNV3,  36, 115N, 1593E,  49,  993, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  27,
WP, 95, 2026063018, 03, FNV3,  42, 122N, 1581E,  58,  989, XX,  34, NEQ,   94,   78,   63,   80,     ,     ,  21,
WP, 95, 2026063018, 03, FNV3,  42, 122N, 1581E,  58,  989, XX,  50, NEQ,   25,   18,   13,   18,     ,     ,  21,
WP, 95, 2026063018, 03, FNV3,  42, 122N, 1581E,  58,  989, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  21,
WP, 95, 2026063018, 03, FNV3,  48, 126N, 1569E,  67,  982, XX,  34, NEQ,  105,   86,   69,   91,     ,     ,  16,
WP, 95, 2026063018, 03, FNV3,  48, 126N, 1569E,  67,  982, XX,  50, NEQ,   41,   29,   22,   30,     ,     ,  16,
WP, 95, 2026063018, 03, FNV3,  48, 126N, 1569E,  67,  982, XX,  64, NEQ,   12,    9,    7,   10,     ,     ,  16,
WP, 95, 2026063018, 03, FNV3,  54, 128N, 1557E,  83,  970, XX,  34, NEQ,  109,   91,   77,   97,     ,     ,  13,
WP, 95, 2026063018, 03, FNV3,  54, 128N, 1557E,  83,  970, XX,  50, NEQ,   48,   38,   30,   40,     ,     ,  13,
WP, 95, 2026063018, 03, FNV3,  54, 128N, 1557E,  83,  970, XX,  64, NEQ,   20,   16,   13,   17,     ,     ,  13,
WP, 95, 2026063018, 03, FNV3,  60, 130N, 1546E,  98,  958, XX,  34, NEQ,  123,  101,   90,  112,     ,     ,  10,
WP, 95, 2026063018, 03, FNV3,  60, 130N, 1546E,  98,  958, XX,  50, NEQ,   59,   49,   40,   51,     ,     ,  10,
WP, 95, 2026063018, 03, FNV3,  60, 130N, 1546E,  98,  958, XX,  64, NEQ,   28,   24,   20,   25,     ,     ,  10,
WP, 95, 2026063018, 03, FNV3,  66, 130N, 1536E, 107,  949, XX,  34, NEQ,  118,   98,   88,  110,     ,     ,   9,
WP, 95, 2026063018, 03, FNV3,  66, 130N, 1536E, 107,  949, XX,  50, NEQ,   49,   41,   34,   45,     ,     ,   9,
WP, 95, 2026063018, 03, FNV3,  66, 130N, 1536E, 107,  949, XX,  64, NEQ,   24,   21,   17,   22,     ,     ,   9,
WP, 95, 2026063018, 03, FNV3,  72, 131N, 1527E, 119,  941, XX,  34, NEQ,  136,  112,  104,  130,     ,     ,   9,
WP, 95, 2026063018, 03, FNV3,  72, 131N, 1527E, 119,  941, XX,  50, NEQ,   68,   58,   49,   61,     ,     ,   9,
WP, 95, 2026063018, 03, FNV3,  72, 131N, 1527E, 119,  941, XX,  64, NEQ,   37,   32,   27,   33,     ,     ,   9,
WP, 95, 2026063018, 03, FNV3,  78, 131N, 1519E, 125,  935, XX,  34, NEQ,  135,  112,  104,  127,     ,     ,   8,
WP, 95, 2026063018, 03, FNV3,  78, 131N, 1519E, 125,  935, XX,  50, NEQ,   62,   52,   45,   56,     ,     ,   8,
WP, 95, 2026063018, 03, FNV3,  78, 131N, 1519E, 125,  935, XX,  64, NEQ,   34,   30,   25,   30,     ,     ,   8,
WP, 95, 2026063018, 03, FNV3,  84, 133N, 1512E, 129,  930, XX,  34, NEQ,  152,  129,  117,  141,     ,     ,  10,
WP, 95, 2026063018, 03, FNV3,  84, 133N, 1512E, 129,  930, XX,  50, NEQ,   71,   61,   52,   65,     ,     ,  10,
WP, 95, 2026063018, 03, FNV3,  84, 133N, 1512E, 129,  930, XX,  64, NEQ,   40,   36,   30,   36,     ,     ,  10,
WP, 95, 2026063018, 03, FNV3,  90, 134N, 1504E, 136,  923, XX,  34, NEQ,  159,  134,  126,  151,     ,     ,  11,
WP, 95, 2026063018, 03, FNV3,  90, 134N, 1504E, 136,  923, XX,  50, NEQ,   81,   71,   62,   74,     ,     ,  11,
WP, 95, 2026063018, 03, FNV3,  90, 134N, 1504E, 136,  923, XX,  64, NEQ,   47,   43,   37,   43,     ,     ,  11,
WP, 95, 2026063018, 03, FNV3,  96, 136N, 1496E, 129,  929, XX,  34, NEQ,  176,  151,  137,  164,     ,     ,  12,
WP, 95, 2026063018, 03, FNV3,  96, 136N, 1496E, 129,  929, XX,  50, NEQ,   91,   80,   70,   82,     ,     ,  12,
WP, 95, 2026063018, 03, FNV3,  96, 136N, 1496E, 129,  929, XX,  64, NEQ,   51,   47,   40,   46,     ,     ,  12,
WP, 95, 2026063018, 03, FNV3, 102, 137N, 1487E, 128,  930, XX,  34, NEQ,  177,  150,  138,  165,     ,     ,  13,
WP, 95, 2026063018, 03, FNV3, 102, 137N, 1487E, 128,  930, XX,  50, NEQ,   97,   86,   75,   88,     ,     ,  13,
WP, 95, 2026063018, 03, FNV3, 102, 137N, 1487E, 128,  930, XX,  64, NEQ,   55,   50,   43,   49,     ,     ,  13,
WP, 95, 2026063018, 03, FNV3, 108, 140N, 1479E, 129,  928, XX,  34, NEQ,  200,  173,  155,  182,     ,     ,  13,
WP, 95, 2026063018, 03, FNV3, 108, 140N, 1479E, 129,  928, XX,  50, NEQ,  104,   94,   81,   93,     ,     ,  13,
WP, 95, 2026063018, 03, FNV3, 108, 140N, 1479E, 129,  928, XX,  64, NEQ,   56,   53,   44,   50,     ,     ,  13,
