# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 04, 2026070306, 03, FNV3,   0, 191N, 1280W,  35, 1003, XX,  34, NEQ,  110,     ,     ,  110,     ,     ,  70,
EP, 04, 2026070306, 03, FNV3,   6, 196N, 1281W,  35, 1002, XX,  34, NEQ,   40,   23,   17,   22,     ,     ,  52,
EP, 04, 2026070306, 03, FNV3,  12, 202N, 1283W,  33, 1003, XX,  34, NEQ,   19,   11,    7,    9,     ,     ,  46,
EP, 04, 2026070306, 03, FNV3,  18, 207N, 1285W,  31, 1003, XX,  34, NEQ,    3,    2,    1,    1,     ,     ,  53,
EP, 04, 2026070306, 03, FNV3,  24, 212N, 1287W,  30, 1005, XX,  34, NEQ,    9,    5,    4,    5,     ,     ,  53,
EP, 04, 2026070306, 03, FNV3,  30, 217N, 1290W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  56,
EP, 04, 2026070306, 03, FNV3,  36, 224N, 1292W,  25, 1007, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  61,
EP, 04, 2026070306, 03, FNV3,  42, 230N, 1293W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
EP, 04, 2026070306, 03, FNV3,  48, 235N, 1295W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
EP, 04, 2026070306, 03, FNV3,  54, 241N, 1298W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
EP, 04, 2026070306, 03, FNV3,  60, 246N, 1301W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  53,
EP, 04, 2026070306, 03, FNV3,  66, 250N, 1303W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  47,
WP, 09, 2026070306, 03, FNV3,   0, 129N, 1542E, 105,  955, XX,  34, NEQ,  130,   90,   90,  120,     ,     ,  20,
