# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 09, 2026070800, 03, FNV3,   0, 169N, 1341E, 134,  923, XX,  34, NEQ,  270,  230,  230,  270,     ,     ,  20,
WP, 09, 2026070800, 03, FNV3,   6, 171N, 1328E, 126,  923, XX,  34, NEQ,  259,  227,  213,  241,     ,     ,  19,
WP, 09, 2026070800, 03, FNV3,   6, 171N, 1328E, 126,  923, XX,  50, NEQ,  144,  135,  119,  131,     ,     ,  19,
WP, 09, 2026070800, 03, FNV3,   6, 171N, 1328E, 126,  923, XX,  64, NEQ,   81,   77,   67,   73,     ,     ,  19,
WP, 09, 2026070800, 03, FNV3,  12, 172N, 1319E, 119,  930, XX,  34, NEQ,  258,  230,  216,  243,     ,     ,  22,
WP, 09, 2026070800, 03, FNV3,  12, 172N, 1319E, 119,  930, XX,  50, NEQ,  145,  136,  121,  133,     ,     ,  22,
WP, 09, 2026070800, 03, FNV3,  12, 172N, 1319E, 119,  930, XX,  64, NEQ,   81,   77,   67,   73,     ,     ,  22,
WP, 09, 2026070800, 03, FNV3,  18, 175N, 1310E, 118,  930, XX,  34, NEQ,  258,  229,  212,  239,     ,     ,  23,
WP, 09, 2026070800, 03, FNV3,  18, 175N, 1310E, 118,  930, XX,  50, NEQ,  142,  133,  117,  129,     ,     ,  23,
WP, 09, 2026070800, 03, FNV3,  18, 175N, 1310E, 118,  930, XX,  64, NEQ,   78,   75,   64,   70,     ,     ,  23,
WP, 09, 2026070800, 03, FNV3,  24, 179N, 1302E, 115,  932, XX,  34, NEQ,  273,  248,  223,  249,     ,     ,  23,
WP, 09, 2026070800, 03, FNV3,  24, 179N, 1302E, 115,  932, XX,  50, NEQ,  151,  143,  125,  136,     ,     ,  23,
WP, 09, 2026070800, 03, FNV3,  24, 179N, 1302E, 115,  932, XX,  64, NEQ,   83,   80,   68,   74,     ,     ,  23,
WP, 09, 2026070800, 03, FNV3,  30, 186N, 1295E, 114,  932, XX,  34, NEQ,  277,  255,  224,  248,     ,     ,  24,
WP, 09, 2026070800, 03, FNV3,  30, 186N, 1295E, 114,  932, XX,  50, NEQ,  150,  142,  123,  134,     ,     ,  24,
WP, 09, 2026070800, 03, FNV3,  30, 186N, 1295E, 114,  932, XX,  64, NEQ,   83,   79,   67,   73,     ,     ,  24,
WP, 09, 2026070800, 03, FNV3,  36, 192N, 1288E, 111,  934, XX,  34, NEQ,  273,  250,  218,  243,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  36, 192N, 1288E, 111,  934, XX,  50, NEQ,  144,  135,  116,  127,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  36, 192N, 1288E, 111,  934, XX,  64, NEQ,   78,   74,   63,   68,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  42, 199N, 1281E, 107,  937, XX,  34, NEQ,  258,  236,  206,  228,     ,     ,  23,
WP, 09, 2026070800, 03, FNV3,  42, 199N, 1281E, 107,  937, XX,  50, NEQ,  136,  129,  110,  120,     ,     ,  23,
WP, 09, 2026070800, 03, FNV3,  42, 199N, 1281E, 107,  937, XX,  64, NEQ,   70,   67,   56,   61,     ,     ,  23,
WP, 09, 2026070800, 03, FNV3,  48, 207N, 1273E, 103,  941, XX,  34, NEQ,  263,  244,  212,  231,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  48, 207N, 1273E, 103,  941, XX,  50, NEQ,  142,  134,  115,  125,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  48, 207N, 1273E, 103,  941, XX,  64, NEQ,   72,   69,   59,   63,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  54, 216N, 1267E,  97,  943, XX,  34, NEQ,  266,  250,  213,  232,     ,     ,  24,
WP, 09, 2026070800, 03, FNV3,  54, 216N, 1267E,  97,  943, XX,  50, NEQ,  134,  128,  108,  117,     ,     ,  24,
WP, 09, 2026070800, 03, FNV3,  54, 216N, 1267E,  97,  943, XX,  64, NEQ,   64,   62,   51,   55,     ,     ,  24,
WP, 09, 2026070800, 03, FNV3,  60, 224N, 1259E,  96,  945, XX,  34, NEQ,  275,  254,  217,  242,     ,     ,  29,
WP, 09, 2026070800, 03, FNV3,  60, 224N, 1259E,  96,  945, XX,  50, NEQ,  148,  141,  119,  130,     ,     ,  29,
WP, 09, 2026070800, 03, FNV3,  60, 224N, 1259E,  96,  945, XX,  64, NEQ,   73,   68,   57,   61,     ,     ,  29,
WP, 09, 2026070800, 03, FNV3,  66, 234N, 1252E,  93,  947, XX,  34, NEQ,  269,  249,  209,  230,     ,     ,  28,
WP, 09, 2026070800, 03, FNV3,  66, 234N, 1252E,  93,  947, XX,  50, NEQ,  138,  131,  108,  119,     ,     ,  28,
WP, 09, 2026070800, 03, FNV3,  66, 234N, 1252E,  93,  947, XX,  64, NEQ,   64,   59,   49,   54,     ,     ,  28,
WP, 09, 2026070800, 03, FNV3,  72, 246N, 1242E,  91,  948, XX,  34, NEQ,  250,  232,  194,  214,     ,     ,  27,
WP, 09, 2026070800, 03, FNV3,  72, 246N, 1242E,  91,  948, XX,  50, NEQ,  126,  119,   98,  108,     ,     ,  27,
WP, 09, 2026070800, 03, FNV3,  72, 246N, 1242E,  91,  948, XX,  64, NEQ,   58,   51,   42,   47,     ,     ,  27,
WP, 09, 2026070800, 03, FNV3,  78, 257N, 1230E,  90,  949, XX,  34, NEQ,  227,  212,  176,  194,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  78, 257N, 1230E,  90,  949, XX,  50, NEQ,  109,  100,   82,   91,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  78, 257N, 1230E,  90,  949, XX,  64, NEQ,   51,   44,   36,   40,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  84, 266N, 1219E,  88,  951, XX,  34, NEQ,  205,  187,  158,  177,     ,     ,  22,
WP, 09, 2026070800, 03, FNV3,  84, 266N, 1219E,  88,  951, XX,  50, NEQ,   89,   81,   65,   76,     ,     ,  22,
WP, 09, 2026070800, 03, FNV3,  84, 266N, 1219E,  88,  951, XX,  64, NEQ,   38,   31,   26,   30,     ,     ,  22,
WP, 09, 2026070800, 03, FNV3,  90, 276N, 1209E,  78,  959, XX,  34, NEQ,  171,  157,  131,  146,     ,     ,  19,
WP, 09, 2026070800, 03, FNV3,  90, 276N, 1209E,  78,  959, XX,  50, NEQ,   71,   62,   50,   57,     ,     ,  19,
WP, 09, 2026070800, 03, FNV3,  90, 276N, 1209E,  78,  959, XX,  64, NEQ,   31,   22,   18,   21,     ,     ,  19,
WP, 09, 2026070800, 03, FNV3,  96, 286N, 1199E,  63,  968, XX,  34, NEQ,  128,  121,   97,  104,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  96, 286N, 1199E,  63,  968, XX,  50, NEQ,   34,   25,   18,   20,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3,  96, 286N, 1199E,  63,  968, XX,  64, NEQ,   10,    6,    5,    5,     ,     ,  26,
WP, 09, 2026070800, 03, FNV3, 102, 298N, 1189E,  48,  979, XX,  34, NEQ,   81,   71,   55,   60,     ,     ,  31,
WP, 09, 2026070800, 03, FNV3, 102, 298N, 1189E,  48,  979, XX,  50, NEQ,    6,    4,    2,    2,     ,     ,  31,
WP, 09, 2026070800, 03, FNV3, 102, 298N, 1189E,  48,  979, XX,  64, NEQ,    2,    0,    0,    0,     ,     ,  31,
WP, 09, 2026070800, 03, FNV3, 108, 306N, 1181E,  37,  985, XX,  34, NEQ,   37,   31,   26,   26,     ,     ,  40,
WP, 09, 2026070800, 03, FNV3, 108, 306N, 1181E,  37,  985, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  40,
WP, 09, 2026070800, 03, FNV3, 114, 313N, 1176E,  32,  988, XX,  34, NEQ,   15,   15,   11,   10,     ,     ,  38,
WP, 09, 2026070800, 03, FNV3, 120, 321N, 1174E,  29,  991, XX,  34, NEQ,    5,    6,    1,    1,     ,     ,  45,
WP, 09, 2026070800, 03, FNV3, 126, 329N, 1175E,  25,  992, XX,  34, NEQ,    0,    3,    0,    0,     ,     ,  49,
WP, 09, 2026070800, 03, FNV3, 132, 335N, 1177E,  25,  992, XX,  34, NEQ,    1,    1,    2,    0,     ,     ,  49,
WP, 09, 2026070800, 03, FNV3, 138, 343N, 1183E,  26,  993, XX,  34, NEQ,    2,    4,    2,    2,     ,     ,  48,
WP, 09, 2026070800, 03, FNV3, 144, 352N, 1193E,  25,  994, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
WP, 09, 2026070800, 03, FNV3, 150, 359N, 1203E,  23,  995, XX,  34, NEQ,    2,    2,    3,    2,     ,     ,  57,
WP, 09, 2026070800, 03, FNV3, 156, 366N, 1217E,  26,  994, XX,  34, NEQ,    0,    0,    1,    0,     ,     ,  59,
WP, 09, 2026070800, 03, FNV3, 162, 369N, 1229E,  25,  994, XX,  34, NEQ,    2,    0,    0,    0,     ,     ,  56,
WP, 09, 2026070800, 03, FNV3, 168, 374N, 1243E,  24,  995, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  54,
WP, 09, 2026070800, 03, FNV3, 174, 382N, 1265E,  24,  995, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
