# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 02, 2026071912, 03, FNV3,   0, 279N,  853W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  40,
AL, 02, 2026071912, 03, FNV3,   6, 279N,  852W,  33, 1007, XX,  34, NEQ,   24,    5,    3,    4,     ,     ,  51,
AL, 02, 2026071912, 03, FNV3,  12, 280N,  854W,  33, 1006, XX,  34, NEQ,   28,   14,    9,   12,     ,     ,  55,
AL, 02, 2026071912, 03, FNV3,  18, 282N,  855W,  35, 1004, XX,  34, NEQ,   32,   17,   12,   16,     ,     ,  56,
AL, 02, 2026071912, 03, FNV3,  24, 282N,  856W,  38, 1003, XX,  34, NEQ,   36,   22,   13,   19,     ,     ,  46,
AL, 02, 2026071912, 03, FNV3,  24, 282N,  856W,  38, 1003, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  46,
AL, 02, 2026071912, 03, FNV3,  30, 282N,  858W,  41, 1001, XX,  34, NEQ,   52,   39,   28,   36,     ,     ,  43,
AL, 02, 2026071912, 03, FNV3,  30, 282N,  858W,  41, 1001, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  43,
AL, 02, 2026071912, 03, FNV3,  36, 282N,  861W,  43,  999, XX,  34, NEQ,   54,   46,   31,   38,     ,     ,  39,
AL, 02, 2026071912, 03, FNV3,  36, 282N,  861W,  43,  999, XX,  50, NEQ,    4,    1,    0,    0,     ,     ,  39,
AL, 02, 2026071912, 03, FNV3,  42, 284N,  863W,  45,  998, XX,  34, NEQ,   84,   70,   54,   65,     ,     ,  44,
AL, 02, 2026071912, 03, FNV3,  42, 284N,  863W,  45,  998, XX,  50, NEQ,    3,    1,    0,    1,     ,     ,  44,
AL, 02, 2026071912, 03, FNV3,  48, 287N,  867W,  47,  996, XX,  34, NEQ,   90,   72,   52,   64,     ,     ,  47,
AL, 02, 2026071912, 03, FNV3,  48, 287N,  867W,  47,  996, XX,  50, NEQ,   10,    4,    1,    2,     ,     ,  47,
AL, 02, 2026071912, 03, FNV3,  54, 289N,  872W,  49,  996, XX,  34, NEQ,   99,   85,   63,   78,     ,     ,  50,
AL, 02, 2026071912, 03, FNV3,  54, 289N,  872W,  49,  996, XX,  50, NEQ,   22,   12,    9,   12,     ,     ,  50,
AL, 02, 2026071912, 03, FNV3,  60, 291N,  877W,  48,  994, XX,  34, NEQ,  106,   89,   68,   87,     ,     ,  46,
AL, 02, 2026071912, 03, FNV3,  60, 291N,  877W,  48,  994, XX,  50, NEQ,   19,   12,    9,   12,     ,     ,  46,
AL, 02, 2026071912, 03, FNV3,  66, 292N,  883W,  47,  995, XX,  34, NEQ,  103,   81,   64,   81,     ,     ,  51,
