# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 02, 2026072200, 03, FNV3,   0, 294N,  874W,  51,  996, XX,  34, NEQ,   70,  100,   40,   40,     ,     ,  40,
AL, 02, 2026072200, 03, FNV3,   0, 294N,  874W,  51,  996, XX,  50, NEQ,     ,   40,     ,     ,     ,     ,  40,
AL, 02, 2026072200, 03, FNV3,   6, 294N,  879W,  44,  997, XX,  34, NEQ,   87,   66,   52,   64,     ,     ,  53,
AL, 02, 2026072200, 03, FNV3,   6, 294N,  879W,  44,  997, XX,  50, NEQ,    6,    1,    0,    1,     ,     ,  53,
AL, 02, 2026072200, 03, FNV3,  12, 296N,  885W,  42,  999, XX,  34, NEQ,   82,   65,   45,   58,     ,     ,  58,
AL, 02, 2026072200, 03, FNV3,  12, 296N,  885W,  42,  999, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  58,
AL, 02, 2026072200, 03, FNV3,  18, 295N,  892W,  41, 1000, XX,  34, NEQ,   77,   58,   41,   57,     ,     ,  58,
AL, 02, 2026072200, 03, FNV3,  18, 295N,  892W,  41, 1000, XX,  50, NEQ,    6,    3,    5,    3,     ,     ,  58,
AL, 02, 2026072200, 03, FNV3,  24, 293N,  903W,  40, 1001, XX,  34, NEQ,   69,   48,   36,   50,     ,     ,  54,
AL, 02, 2026072200, 03, FNV3,  24, 293N,  903W,  40, 1001, XX,  50, NEQ,    4,    3,    2,    2,     ,     ,  54,
AL, 02, 2026072200, 03, FNV3,  30, 291N,  917W,  39, 1002, XX,  34, NEQ,   53,   41,   29,   40,     ,     ,  53,
AL, 02, 2026072200, 03, FNV3,  30, 291N,  917W,  39, 1002, XX,  50, NEQ,    4,    0,    0,    1,     ,     ,  53,
AL, 02, 2026072200, 03, FNV3,  36, 293N,  928W,  37, 1003, XX,  34, NEQ,   49,   35,   26,   33,     ,     ,  49,
AL, 02, 2026072200, 03, FNV3,  36, 293N,  928W,  37, 1003, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  49,
AL, 02, 2026072200, 03, FNV3,  42, 295N,  942W,  34, 1005, XX,  34, NEQ,   36,   26,   17,   27,     ,     ,  51,
AL, 02, 2026072200, 03, FNV3,  42, 295N,  942W,  34, 1005, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  51,
EP, 06, 2026072200, 03, FNV3,   0, 165N, 1200W,  70,  984, XX,  34, NEQ,  100,  140,  120,   50,     ,     ,  15,
EP, 06, 2026072200, 03, FNV3,   0, 165N, 1200W,  70,  984, XX,  50, NEQ,   60,   60,   20,   30,     ,     ,  15,
EP, 06, 2026072200, 03, FNV3,   0, 165N, 1200W,  70,  984, XX,  64, NEQ,   25,   10,     ,   15,     ,     ,  15,
EP, 06, 2026072200, 03, FNV3,   6, 166N, 1203W,  74,  980, XX,  34, NEQ,  117,  101,   74,   95,     ,     ,  22,
EP, 06, 2026072200, 03, FNV3,   6, 166N, 1203W,  74,  980, XX,  50, NEQ,   47,   37,   27,   36,     ,     ,  22,
EP, 06, 2026072200, 03, FNV3,   6, 166N, 1203W,  74,  980, XX,  64, NEQ,   21,   11,    8,   10,     ,     ,  22,
EP, 06, 2026072200, 03, FNV3,  12, 168N, 1210W,  80,  976, XX,  34, NEQ,  121,   98,   73,  102,     ,     ,  17,
EP, 06, 2026072200, 03, FNV3,  12, 168N, 1210W,  80,  976, XX,  50, NEQ,   52,   42,   31,   43,     ,     ,  17,
EP, 06, 2026072200, 03, FNV3,  12, 168N, 1210W,  80,  976, XX,  64, NEQ,   23,   16,   12,   16,     ,     ,  17,
EP, 06, 2026072200, 03, FNV3,  18, 171N, 1219W,  79,  976, XX,  34, NEQ,  127,  104,   79,  108,     ,     ,  22,
EP, 06, 2026072200, 03, FNV3,  18, 171N, 1219W,  79,  976, XX,  50, NEQ,   53,   43,   32,   44,     ,     ,  22,
EP, 06, 2026072200, 03, FNV3,  18, 171N, 1219W,  79,  976, XX,  64, NEQ,   24,   16,   12,   16,     ,     ,  22,
EP, 06, 2026072200, 03, FNV3,  24, 173N, 1228W,  78,  977, XX,  34, NEQ,  142,  116,   90,  121,     ,     ,  22,
