# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 02, 2026072218, 03, FNV3,   0, 299N,  892W,  41, 1000, XX,  34, NEQ,   50,  140,  140,   30,     ,     ,  90,
AL, 02, 2026072218, 03, FNV3,   6, 295N,  903W,  37, 1002, XX,  34, NEQ,   50,   31,   21,   32,     ,     ,  52,
AL, 02, 2026072218, 03, FNV3,  12, 293N,  914W,  38, 1003, XX,  34, NEQ,   49,   33,   23,   33,     ,     ,  53,
AL, 02, 2026072218, 03, FNV3,  18, 295N,  924W,  35, 1004, XX,  34, NEQ,   28,   17,   11,   16,     ,     ,  49,
AL, 02, 2026072218, 03, FNV3,  24, 298N,  934W,  31, 1005, XX,  34, NEQ,   19,    9,    5,    8,     ,     ,  46,
EP, 06, 2026072218, 03, FNV3,   0, 171N, 1215W,  70,  983, XX,  34, NEQ,  150,  150,   70,  120,     ,     ,  15,
EP, 06, 2026072218, 03, FNV3,   0, 171N, 1215W,  70,  983, XX,  50, NEQ,   60,   60,   20,   30,     ,     ,  15,
EP, 06, 2026072218, 03, FNV3,   0, 171N, 1215W,  70,  983, XX,  64, NEQ,   25,   25,     ,     ,     ,     ,  15,
EP, 06, 2026072218, 03, FNV3,   6, 173N, 1226W,  69,  983, XX,  34, NEQ,  128,  105,   79,  109,     ,     ,  23,
EP, 06, 2026072218, 03, FNV3,   6, 173N, 1226W,  69,  983, XX,  50, NEQ,   46,   34,   24,   35,     ,     ,  23,
EP, 06, 2026072218, 03, FNV3,   6, 173N, 1226W,  69,  983, XX,  64, NEQ,   16,    6,    5,    7,     ,     ,  23,
EP, 06, 2026072218, 03, FNV3,  12, 174N, 1237W,  65,  986, XX,  34, NEQ,  143,  118,   92,  123,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  12, 174N, 1237W,  65,  986, XX,  50, NEQ,   49,   36,   26,   37,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  12, 174N, 1237W,  65,  986, XX,  64, NEQ,   12,    5,    3,    5,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  18, 175N, 1249W,  64,  987, XX,  34, NEQ,  134,  107,   81,  115,     ,     ,  26,
EP, 06, 2026072218, 03, FNV3,  18, 175N, 1249W,  64,  987, XX,  50, NEQ,   49,   37,   28,   38,     ,     ,  26,
EP, 06, 2026072218, 03, FNV3,  18, 175N, 1249W,  64,  987, XX,  64, NEQ,   10,    6,    4,    6,     ,     ,  26,
EP, 06, 2026072218, 03, FNV3,  24, 177N, 1263W,  63,  988, XX,  34, NEQ,  149,  119,   92,  125,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  24, 177N, 1263W,  63,  988, XX,  50, NEQ,   56,   43,   32,   43,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  24, 177N, 1263W,  63,  988, XX,  64, NEQ,    8,    5,    4,    6,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  30, 179N, 1276W,  65,  987, XX,  34, NEQ,  158,  126,   97,  135,     ,     ,  28,
EP, 06, 2026072218, 03, FNV3,  30, 179N, 1276W,  65,  987, XX,  50, NEQ,   60,   46,   34,   46,     ,     ,  28,
EP, 06, 2026072218, 03, FNV3,  30, 179N, 1276W,  65,  987, XX,  64, NEQ,   15,    8,    6,    8,     ,     ,  28,
EP, 06, 2026072218, 03, FNV3,  36, 181N, 1290W,  63,  990, XX,  34, NEQ,  151,  121,   97,  130,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  36, 181N, 1290W,  63,  990, XX,  50, NEQ,   53,   41,   30,   41,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  36, 181N, 1290W,  63,  990, XX,  64, NEQ,    9,    5,    4,    5,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  42, 183N, 1305W,  62,  990, XX,  34, NEQ,  141,  112,   87,  121,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  42, 183N, 1305W,  62,  990, XX,  50, NEQ,   50,   36,   26,   36,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  42, 183N, 1305W,  62,  990, XX,  64, NEQ,    9,    6,    5,    6,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  48, 184N, 1320W,  60,  992, XX,  34, NEQ,  138,  110,   87,  119,     ,     ,  33,
EP, 06, 2026072218, 03, FNV3,  48, 184N, 1320W,  60,  992, XX,  50, NEQ,   48,   35,   26,   35,     ,     ,  33,
EP, 06, 2026072218, 03, FNV3,  48, 184N, 1320W,  60,  992, XX,  64, NEQ,    7,    5,    4,    5,     ,     ,  33,
EP, 06, 2026072218, 03, FNV3,  54, 185N, 1334W,  61,  990, XX,  34, NEQ,  130,  104,   81,  112,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  54, 185N, 1334W,  61,  990, XX,  50, NEQ,   41,   30,   22,   31,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  54, 185N, 1334W,  61,  990, XX,  64, NEQ,    8,    4,    3,    4,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  60, 186N, 1348W,  62,  990, XX,  34, NEQ,  127,  102,   80,  109,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  60, 186N, 1348W,  62,  990, XX,  50, NEQ,   40,   27,   20,   28,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  60, 186N, 1348W,  62,  990, XX,  64, NEQ,    9,    4,    3,    4,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  66, 187N, 1360W,  60,  990, XX,  34, NEQ,  125,   99,   76,  107,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  66, 187N, 1360W,  60,  990, XX,  50, NEQ,   38,   25,   18,   27,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  66, 187N, 1360W,  60,  990, XX,  64, NEQ,    7,    5,    3,    5,     ,     ,  29,
EP, 06, 2026072218, 03, FNV3,  72, 188N, 1372W,  59,  991, XX,  34, NEQ,  118,   95,   74,  102,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  72, 188N, 1372W,  59,  991, XX,  50, NEQ,   37,   26,   19,   27,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  72, 188N, 1372W,  59,  991, XX,  64, NEQ,    6,    3,    2,    3,     ,     ,  32,
EP, 06, 2026072218, 03, FNV3,  78, 189N, 1384W,  62,  990, XX,  34, NEQ,  111,   86,   64,   94,     ,     ,  28,
EP, 06, 2026072218, 03, FNV3,  78, 189N, 1384W,  62,  990, XX,  50, NEQ,   36,   23,   16,   25,     ,     ,  28,
EP, 06, 2026072218, 03, FNV3,  78, 189N, 1384W,  62,  990, XX,  64, NEQ,    8,    5,    4,    5,     ,     ,  28,
EP, 06, 2026072218, 03, FNV3,  84, 191N, 1396W,  62,  990, XX,  34, NEQ,  104,   82,   61,   88,     ,     ,  28,
EP, 06, 2026072218, 03, FNV3,  84, 191N, 1396W,  62,  990, XX,  50, NEQ,   34,   22,   15,   22,     ,     ,  28,
EP, 06, 2026072218, 03, FNV3,  84, 191N, 1396W,  62,  990, XX,  64, NEQ,    7,    4,    3,    4,     ,     ,  28,
EP, 06, 2026072218, 03, FNV3,  90, 192N, 1408W,  62,  990, XX,  34, NEQ,  104,   79,   58,   88,     ,     ,  27,
EP, 06, 2026072218, 03, FNV3,  90, 192N, 1408W,  62,  990, XX,  50, NEQ,   38,   22,   16,   25,     ,     ,  27,
EP, 06, 2026072218, 03, FNV3,  90, 192N, 1408W,  62,  990, XX,  64, NEQ,    8,    5,    4,    6,     ,     ,  27,
EP, 06, 2026072218, 03, FNV3,  96, 193N, 1422W,  61,  991, XX,  34, NEQ,  100,   76,   54,   82,     ,     ,  30,
EP, 06, 2026072218, 03, FNV3,  96, 193N, 1422W,  61,  991, XX,  50, NEQ,   29,   17,   11,   18,     ,     ,  30,
EP, 06, 2026072218, 03, FNV3,  96, 193N, 1422W,  61,  991, XX,  64, NEQ,    8,    4,    3,    5,     ,     ,  30,
