# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 92, 2026072606, 03, FNV3,   0, 120N, 1774W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  70,
CP, 92, 2026072606, 03, FNV3,   6, 122N, 1784W,  27, 1004, XX,  34, NEQ,    2,    0,    1,    0,     ,     ,  44,
CP, 92, 2026072606, 03, FNV3,  12, 124N, 1800W,  31, 1002, XX,  34, NEQ,   12,    5,    4,    6,     ,     ,  45,
CP, 92, 2026072606, 03, FNV3,  18, 126N, 1786E,  36, 1001, XX,  34, NEQ,   28,   14,   12,   14,     ,     ,  38,
CP, 92, 2026072606, 03, FNV3,  18, 126N, 1786E,  36, 1001, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  38,
CP, 92, 2026072606, 03, FNV3,  24, 126N, 1773E,  39, 1000, XX,  34, NEQ,   36,   20,   14,   22,     ,     ,  35,
CP, 92, 2026072606, 03, FNV3,  24, 126N, 1773E,  39, 1000, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  35,
CP, 92, 2026072606, 03, FNV3,  30, 127N, 1761E,  41,  998, XX,  34, NEQ,   37,   25,   19,   33,     ,     ,  33,
CP, 92, 2026072606, 03, FNV3,  30, 127N, 1761E,  41,  998, XX,  50, NEQ,    4,    2,    0,    1,     ,     ,  33,
CP, 92, 2026072606, 03, FNV3,  30, 127N, 1761E,  41,  998, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  33,
CP, 92, 2026072606, 03, FNV3,  36, 127N, 1750E,  49,  994, XX,  34, NEQ,   82,   67,   53,   69,     ,     ,  27,
CP, 92, 2026072606, 03, FNV3,  36, 127N, 1750E,  49,  994, XX,  50, NEQ,   11,    5,    4,    6,     ,     ,  27,
CP, 92, 2026072606, 03, FNV3,  42, 127N, 1740E,  54,  991, XX,  34, NEQ,   64,   50,   40,   55,     ,     ,  23,
CP, 92, 2026072606, 03, FNV3,  42, 127N, 1740E,  54,  991, XX,  50, NEQ,   13,   10,    8,   13,     ,     ,  23,
CP, 92, 2026072606, 03, FNV3,  42, 127N, 1740E,  54,  991, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  23,
CP, 92, 2026072606, 03, FNV3,  48, 129N, 1732E,  60,  986, XX,  34, NEQ,   80,   66,   54,   70,     ,     ,  19,
CP, 92, 2026072606, 03, FNV3,  48, 129N, 1732E,  60,  986, XX,  50, NEQ,   27,   19,   15,   19,     ,     ,  19,
CP, 92, 2026072606, 03, FNV3,  48, 129N, 1732E,  60,  986, XX,  64, NEQ,    7,    5,    4,    5,     ,     ,  19,
CP, 92, 2026072606, 03, FNV3,  54, 132N, 1724E,  66,  982, XX,  34, NEQ,   87,   71,   58,   74,     ,     ,  19,
CP, 92, 2026072606, 03, FNV3,  54, 132N, 1724E,  66,  982, XX,  50, NEQ,   26,   20,   15,   21,     ,     ,  19,
CP, 92, 2026072606, 03, FNV3,  54, 132N, 1724E,  66,  982, XX,  64, NEQ,    9,    6,    5,    7,     ,     ,  19,
CP, 92, 2026072606, 03, FNV3,  60, 136N, 1718E,  72,  977, XX,  34, NEQ,  103,   87,   69,   87,     ,     ,  18,
CP, 92, 2026072606, 03, FNV3,  60, 136N, 1718E,  72,  977, XX,  50, NEQ,   42,   33,   25,   33,     ,     ,  18,
CP, 92, 2026072606, 03, FNV3,  60, 136N, 1718E,  72,  977, XX,  64, NEQ,   14,   12,    9,   12,     ,     ,  18,
CP, 92, 2026072606, 03, FNV3,  66, 140N, 1711E,  86,  966, XX,  34, NEQ,  100,   84,   68,   84,     ,     ,  13,
CP, 92, 2026072606, 03, FNV3,  66, 140N, 1711E,  86,  966, XX,  50, NEQ,   39,   32,   24,   32,     ,     ,  13,
