# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 03, 2026081212, 03, FNV3,   0, 368N,  439W,  41, 1008, XX,  34, NEQ,     ,   80,     ,     ,     ,     ,  80,
AL, 03, 2026081212, 03, FNV3,   6, 373N,  415W,  29, 1010, XX,  34, NEQ,    1,    2,    0,    3,     ,     ,  55,
AL, 03, 2026081212, 03, FNV3,  12, 377N,  399W,  29, 1010, XX,  34, NEQ,    0,    3,    0,    0,     ,     ,  45,
AL, 92, 2026081212, 03, FNV3,   0, 103N,  380W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 100,
CP, 01, 2026081212, 03, FNV3,   0, 150N, 1414W,  29, 1003, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  60,
CP, 01, 2026081212, 03, FNV3,   6, 133N, 1428W,  30, 1002, XX,  34, NEQ,   16,   13,   10,   11,     ,     ,  56,
CP, 01, 2026081212, 03, FNV3,  12, 134N, 1435W,  32, 1002, XX,  34, NEQ,   24,    6,    3,    6,     ,     ,  67,
CP, 01, 2026081212, 03, FNV3,  18, 136N, 1439W,  35, 1001, XX,  34, NEQ,   39,   15,   15,   17,     ,     ,  63,
CP, 01, 2026081212, 03, FNV3,  24, 145N, 1443W,  40,  998, XX,  34, NEQ,  107,   87,   68,   78,     ,     ,  60,
CP, 01, 2026081212, 03, FNV3,  30, 153N, 1449W,  41,  999, XX,  34, NEQ,   79,   49,   38,   43,     ,     ,  59,
CP, 01, 2026081212, 03, FNV3,  30, 153N, 1449W,  41,  999, XX,  50, NEQ,    0,    0,    0,    3,     ,     ,  59,
CP, 01, 2026081212, 03, FNV3,  36, 160N, 1460W,  47,  996, XX,  34, NEQ,   97,   71,   53,   68,     ,     ,  55,
CP, 01, 2026081212, 03, FNV3,  36, 160N, 1460W,  47,  996, XX,  50, NEQ,   12,    1,    1,    7,     ,     ,  55,
CP, 01, 2026081212, 03, FNV3,  36, 160N, 1460W,  47,  996, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  55,
CP, 01, 2026081212, 03, FNV3,  42, 165N, 1473W,  48,  996, XX,  34, NEQ,  128,  109,   84,  108,     ,     ,  45,
CP, 01, 2026081212, 03, FNV3,  42, 165N, 1473W,  48,  996, XX,  50, NEQ,   12,    6,    4,   12,     ,     ,  45,
CP, 01, 2026081212, 03, FNV3,  48, 169N, 1486W,  55,  993, XX,  34, NEQ,  136,  110,   82,  109,     ,     ,  42,
CP, 01, 2026081212, 03, FNV3,  48, 169N, 1486W,  55,  993, XX,  50, NEQ,   34,   17,   12,   16,     ,     ,  42,
