# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2026081612, 03, FNV3,   0, 199N, 1576W,  60,  991, XX,  34, NEQ,  120,   50,   50,   90,     ,     ,  20,
CP, 01, 2026081612, 03, FNV3,   0, 199N, 1576W,  60,  991, XX,  50, NEQ,   60,     ,     ,   50,     ,     ,  20,
CP, 01, 2026081612, 03, FNV3,   6, 203N, 1589W,  53,  995, XX,  34, NEQ,  112,   92,   63,   86,     ,     ,  38,
CP, 01, 2026081612, 03, FNV3,   6, 203N, 1589W,  53,  995, XX,  50, NEQ,   23,    8,    4,    7,     ,     ,  38,
CP, 01, 2026081612, 03, FNV3,   6, 203N, 1589W,  53,  995, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  38,
CP, 01, 2026081612, 03, FNV3,  12, 207N, 1605W,  53,  995, XX,  34, NEQ,  100,   78,   55,   80,     ,     ,  27,
CP, 01, 2026081612, 03, FNV3,  12, 207N, 1605W,  53,  995, XX,  50, NEQ,   22,   12,    8,   12,     ,     ,  27,
CP, 01, 2026081612, 03, FNV3,  12, 207N, 1605W,  53,  995, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  27,
CP, 01, 2026081612, 03, FNV3,  18, 207N, 1617W,  53,  995, XX,  34, NEQ,   76,   58,   43,   62,     ,     ,  26,
CP, 01, 2026081612, 03, FNV3,  18, 207N, 1617W,  53,  995, XX,  50, NEQ,   15,    6,    4,    8,     ,     ,  26,
CP, 01, 2026081612, 03, FNV3,  18, 207N, 1617W,  53,  995, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  26,
CP, 01, 2026081612, 03, FNV3,  24, 207N, 1629W,  55,  994, XX,  34, NEQ,   81,   61,   46,   69,     ,     ,  22,
CP, 01, 2026081612, 03, FNV3,  24, 207N, 1629W,  55,  994, XX,  50, NEQ,   20,   10,    7,   12,     ,     ,  22,
CP, 01, 2026081612, 03, FNV3,  24, 207N, 1629W,  55,  994, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  22,
CP, 01, 2026081612, 03, FNV3,  30, 206N, 1639W,  56,  992, XX,  34, NEQ,   82,   63,   47,   71,     ,     ,  25,
CP, 01, 2026081612, 03, FNV3,  30, 206N, 1639W,  56,  992, XX,  50, NEQ,   22,   12,    8,   13,     ,     ,  25,
CP, 01, 2026081612, 03, FNV3,  30, 206N, 1639W,  56,  992, XX,  64, NEQ,    3,    1,    1,    1,     ,     ,  25,
CP, 01, 2026081612, 03, FNV3,  36, 205N, 1650W,  56,  992, XX,  34, NEQ,   89,   66,   51,   75,     ,     ,  25,
CP, 01, 2026081612, 03, FNV3,  36, 205N, 1650W,  56,  992, XX,  50, NEQ,   23,   15,   10,   19,     ,     ,  25,
CP, 01, 2026081612, 03, FNV3,  36, 205N, 1650W,  56,  992, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  25,
CP, 01, 2026081612, 03, FNV3,  42, 205N, 1660W,  60,  989, XX,  34, NEQ,   82,   63,   49,   71,     ,     ,  22,
CP, 01, 2026081612, 03, FNV3,  42, 205N, 1660W,  60,  989, XX,  50, NEQ,   24,   14,   10,   19,     ,     ,  22,
CP, 01, 2026081612, 03, FNV3,  42, 205N, 1660W,  60,  989, XX,  64, NEQ,    4,    3,    2,    4,     ,     ,  22,
CP, 01, 2026081612, 03, FNV3,  48, 204N, 1670W,  65,  985, XX,  34, NEQ,   99,   76,   58,   86,     ,     ,  21,
CP, 01, 2026081612, 03, FNV3,  48, 204N, 1670W,  65,  985, XX,  50, NEQ,   34,   23,   17,   27,     ,     ,  21,
CP, 01, 2026081612, 03, FNV3,  48, 204N, 1670W,  65,  985, XX,  64, NEQ,   11,    7,    6,    8,     ,     ,  21,
CP, 01, 2026081612, 03, FNV3,  54, 204N, 1680W,  73,  980, XX,  34, NEQ,   99,   77,   60,   85,     ,     ,  21,
CP, 01, 2026081612, 03, FNV3,  54, 204N, 1680W,  73,  980, XX,  50, NEQ,   40,   29,   21,   32,     ,     ,  21,
