# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2026081906, 03, FNV3,   0, 207N, 1693W, 115,  947, XX,  34, NEQ,  100,   90,   50,  100,     ,     ,  15,
CP, 01, 2026081906, 03, FNV3,   0, 207N, 1693W, 115,  947, XX,  50, NEQ,   50,   40,   30,   50,     ,     ,  15,
CP, 01, 2026081906, 03, FNV3,   0, 207N, 1693W, 115,  947, XX,  64, NEQ,   25,   20,   20,   25,     ,     ,  15,
CP, 01, 2026081906, 03, FNV3,   6, 213N, 1699W,  99,  961, XX,  34, NEQ,  110,   90,   64,   92,     ,     ,  13,
CP, 01, 2026081906, 03, FNV3,   6, 213N, 1699W,  99,  961, XX,  50, NEQ,   36,   26,   18,   29,     ,     ,  13,
CP, 01, 2026081906, 03, FNV3,   6, 213N, 1699W,  99,  961, XX,  64, NEQ,   21,   15,   12,   16,     ,     ,  13,
CP, 01, 2026081906, 03, FNV3,  12, 219N, 1706W,  96,  960, XX,  34, NEQ,  120,  102,   70,   97,     ,     ,  15,
CP, 01, 2026081906, 03, FNV3,  12, 219N, 1706W,  96,  960, XX,  50, NEQ,   49,   39,   27,   40,     ,     ,  15,
CP, 01, 2026081906, 03, FNV3,  12, 219N, 1706W,  96,  960, XX,  64, NEQ,   25,   19,   15,   19,     ,     ,  15,
CP, 01, 2026081906, 03, FNV3,  18, 226N, 1713W,  90,  965, XX,  34, NEQ,  121,  100,   70,   98,     ,     ,  15,
CP, 01, 2026081906, 03, FNV3,  18, 226N, 1713W,  90,  965, XX,  50, NEQ,   54,   43,   31,   43,     ,     ,  15,
CP, 01, 2026081906, 03, FNV3,  18, 226N, 1713W,  90,  965, XX,  64, NEQ,   27,   22,   17,   22,     ,     ,  15,
CP, 01, 2026081906, 03, FNV3,  24, 232N, 1718W,  87,  967, XX,  34, NEQ,  125,  110,   79,   99,     ,     ,  17,
CP, 01, 2026081906, 03, FNV3,  24, 232N, 1718W,  87,  967, XX,  50, NEQ,   52,   43,   30,   41,     ,     ,  17,
CP, 01, 2026081906, 03, FNV3,  24, 232N, 1718W,  87,  967, XX,  64, NEQ,   26,   19,   15,   19,     ,     ,  17,
CP, 01, 2026081906, 03, FNV3,  30, 239N, 1723W,  83,  969, XX,  34, NEQ,  121,  106,   74,   95,     ,     ,  19,
CP, 01, 2026081906, 03, FNV3,  30, 239N, 1723W,  83,  969, XX,  50, NEQ,   51,   40,   29,   39,     ,     ,  19,
CP, 01, 2026081906, 03, FNV3,  30, 239N, 1723W,  83,  969, XX,  64, NEQ,   28,   19,   15,   19,     ,     ,  19,
CP, 01, 2026081906, 03, FNV3,  36, 245N, 1725W,  80,  973, XX,  34, NEQ,  127,  116,   82,   99,     ,     ,  21,
CP, 01, 2026081906, 03, FNV3,  36, 245N, 1725W,  80,  973, XX,  50, NEQ,   52,   45,   32,   41,     ,     ,  21,
CP, 01, 2026081906, 03, FNV3,  36, 245N, 1725W,  80,  973, XX,  64, NEQ,   27,   19,   14,   18,     ,     ,  21,
