# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2026082106, 03, FNV3,   0, 261N, 1719W,  80,  974, XX,  34, NEQ,  130,  120,   80,  110,     ,     ,  25,
CP, 01, 2026082106, 03, FNV3,   0, 261N, 1719W,  80,  974, XX,  50, NEQ,   70,   60,   60,   70,     ,     ,  25,
CP, 01, 2026082106, 03, FNV3,   0, 261N, 1719W,  80,  974, XX,  64, NEQ,   40,   40,   30,   35,     ,     ,  25,
CP, 01, 2026082106, 03, FNV3,   6, 270N, 1711W,  85,  969, XX,  34, NEQ,  126,  129,   88,   94,     ,     ,  18,
CP, 01, 2026082106, 03, FNV3,   6, 270N, 1711W,  85,  969, XX,  50, NEQ,   52,   50,   35,   39,     ,     ,  18,
CP, 01, 2026082106, 03, FNV3,   6, 270N, 1711W,  85,  969, XX,  64, NEQ,   26,   23,   17,   19,     ,     ,  18,
CP, 01, 2026082106, 03, FNV3,  12, 281N, 1706W,  78,  973, XX,  34, NEQ,  136,  142,   99,  104,     ,     ,  27,
CP, 01, 2026082106, 03, FNV3,  12, 281N, 1706W,  78,  973, XX,  50, NEQ,   56,   56,   41,   44,     ,     ,  27,
CP, 01, 2026082106, 03, FNV3,  12, 281N, 1706W,  78,  973, XX,  64, NEQ,   26,   27,   17,   18,     ,     ,  27,
CP, 01, 2026082106, 03, FNV3,  18, 293N, 1707W,  76,  973, XX,  34, NEQ,  149,  141,  103,  116,     ,     ,  29,
CP, 01, 2026082106, 03, FNV3,  18, 293N, 1707W,  76,  973, XX,  50, NEQ,   72,   67,   51,   59,     ,     ,  29,
CP, 01, 2026082106, 03, FNV3,  18, 293N, 1707W,  76,  973, XX,  64, NEQ,   35,   29,   22,   25,     ,     ,  29,
CP, 01, 2026082106, 03, FNV3,  24, 301N, 1714W,  69,  975, XX,  34, NEQ,  173,  153,  119,  142,     ,     ,  38,
CP, 01, 2026082106, 03, FNV3,  24, 301N, 1714W,  69,  975, XX,  50, NEQ,   76,   67,   50,   62,     ,     ,  38,
CP, 01, 2026082106, 03, FNV3,  24, 301N, 1714W,  69,  975, XX,  64, NEQ,   31,   21,   15,   20,     ,     ,  38,
CP, 01, 2026082106, 03, FNV3,  30, 305N, 1721W,  65,  977, XX,  34, NEQ,  183,  159,  133,  158,     ,     ,  43,
CP, 01, 2026082106, 03, FNV3,  30, 305N, 1721W,  65,  977, XX,  50, NEQ,   69,   54,   41,   52,     ,     ,  43,
CP, 01, 2026082106, 03, FNV3,  30, 305N, 1721W,  65,  977, XX,  64, NEQ,   23,    8,    6,   11,     ,     ,  43,
CP, 01, 2026082106, 03, FNV3,  36, 308N, 1724W,  61,  980, XX,  34, NEQ,  199,  179,  146,  169,     ,     ,  50,
CP, 01, 2026082106, 03, FNV3,  36, 308N, 1724W,  61,  980, XX,  50, NEQ,   79,   63,   49,   57,     ,     ,  50,
CP, 01, 2026082106, 03, FNV3,  36, 308N, 1724W,  61,  980, XX,  64, NEQ,   11,    3,    2,    3,     ,     ,  50,
CP, 01, 2026082106, 03, FNV3,  42, 313N, 1728W,  62,  981, XX,  34, NEQ,  185,  165,  132,  154,     ,     ,  46,
CP, 01, 2026082106, 03, FNV3,  42, 313N, 1728W,  62,  981, XX,  50, NEQ,   59,   45,   32,   40,     ,     ,  46,
