# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2026082200, 03, FNV3,   0, 286N, 1704W,  76,  977, XX,  34, NEQ,  140,  140,  120,  120,     ,     ,  25,
CP, 01, 2026082200, 03, FNV3,   0, 286N, 1704W,  76,  977, XX,  50, NEQ,   70,   70,   60,   70,     ,     ,  25,
CP, 01, 2026082200, 03, FNV3,   0, 286N, 1704W,  76,  977, XX,  64, NEQ,   40,   40,   30,   35,     ,     ,  25,
CP, 01, 2026082200, 03, FNV3,   6, 301N, 1713W,  65,  978, XX,  34, NEQ,  164,  147,  117,  137,     ,     ,  46,
CP, 01, 2026082200, 03, FNV3,   6, 301N, 1713W,  65,  978, XX,  50, NEQ,   70,   60,   42,   51,     ,     ,  46,
CP, 01, 2026082200, 03, FNV3,   6, 301N, 1713W,  65,  978, XX,  64, NEQ,   21,   11,    5,    7,     ,     ,  46,
CP, 01, 2026082200, 03, FNV3,  12, 305N, 1720W,  62,  980, XX,  34, NEQ,  184,  163,  135,  159,     ,     ,  44,
CP, 01, 2026082200, 03, FNV3,  12, 305N, 1720W,  62,  980, XX,  50, NEQ,   73,   59,   44,   55,     ,     ,  44,
CP, 01, 2026082200, 03, FNV3,  12, 305N, 1720W,  62,  980, XX,  64, NEQ,   12,    7,    4,    6,     ,     ,  44,
CP, 01, 2026082200, 03, FNV3,  18, 310N, 1723W,  59,  982, XX,  34, NEQ,  183,  167,  133,  152,     ,     ,  50,
CP, 01, 2026082200, 03, FNV3,  18, 310N, 1723W,  59,  982, XX,  50, NEQ,   65,   53,   37,   47,     ,     ,  50,
CP, 01, 2026082200, 03, FNV3,  18, 310N, 1723W,  59,  982, XX,  64, NEQ,    7,    0,    0,    0,     ,     ,  50,
