# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 95, 2026082306, 03, FNV3,   0, 274N,  597W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 100,
CP, 01, 2026082306, 03, FNV3,   0, 318N, 1733W,  60,  984, XX,  34, NEQ,  150,  160,  110,  160,     ,     ,  35,
CP, 01, 2026082306, 03, FNV3,   0, 318N, 1733W,  60,  984, XX,  50, NEQ,   60,   50,   40,   60,     ,     ,  35,
CP, 01, 2026082306, 03, FNV3,   6, 321N, 1737W,  52,  988, XX,  34, NEQ,  146,  129,  104,  122,     ,     ,  57,
CP, 01, 2026082306, 03, FNV3,   6, 321N, 1737W,  52,  988, XX,  50, NEQ,   35,   17,   12,   21,     ,     ,  57,
CP, 01, 2026082306, 03, FNV3,  12, 324N, 1740W,  50,  990, XX,  34, NEQ,  122,  109,   87,   98,     ,     ,  57,
CP, 01, 2026082306, 03, FNV3,  12, 324N, 1740W,  50,  990, XX,  50, NEQ,   24,    6,    4,    4,     ,     ,  57,
CP, 01, 2026082306, 03, FNV3,  18, 327N, 1744W,  49,  990, XX,  34, NEQ,  118,  103,   81,   95,     ,     ,  49,
CP, 01, 2026082306, 03, FNV3,  18, 327N, 1744W,  49,  990, XX,  50, NEQ,   14,    3,    3,    8,     ,     ,  49,
CP, 01, 2026082306, 03, FNV3,  24, 330N, 1746W,  48,  990, XX,  34, NEQ,  130,  121,   96,  106,     ,     ,  55,
CP, 01, 2026082306, 03, FNV3,  24, 330N, 1746W,  48,  990, XX,  50, NEQ,   15,    5,    4,    8,     ,     ,  55,
CP, 01, 2026082306, 03, FNV3,  24, 330N, 1746W,  48,  990, XX,  64, NEQ,    0,    0,    0,    1,     ,     ,  55,
CP, 01, 2026082306, 03, FNV3,  30, 333N, 1748W,  47,  992, XX,  34, NEQ,  113,  100,   78,   90,     ,     ,  53,
CP, 01, 2026082306, 03, FNV3,  30, 333N, 1748W,  47,  992, XX,  50, NEQ,   11,    6,    2,    6,     ,     ,  53,
CP, 01, 2026082306, 03, FNV3,  36, 337N, 1751W,  46,  992, XX,  34, NEQ,  113,  101,   78,   89,     ,     ,  54,
CP, 01, 2026082306, 03, FNV3,  36, 337N, 1751W,  46,  992, XX,  50, NEQ,   11,    3,    1,    4,     ,     ,  54,
CP, 01, 2026082306, 03, FNV3,  42, 340N, 1755W,  44,  993, XX,  34, NEQ,   84,   65,   51,   60,     ,     ,  54,
CP, 01, 2026082306, 03, FNV3,  42, 340N, 1755W,  44,  993, XX,  50, NEQ,    3,    0,    0,    3,     ,     ,  54,
CP, 01, 2026082306, 03, FNV3,  48, 343N, 1760W,  42,  994, XX,  34, NEQ,   82,   62,   53,   59,     ,     ,  56,
CP, 01, 2026082306, 03, FNV3,  48, 343N, 1760W,  42,  994, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  56,
CP, 01, 2026082306, 03, FNV3,  54, 344N, 1765W,  41,  995, XX,  34, NEQ,   81,   55,   48,   55,     ,     ,  54,
CP, 01, 2026082306, 03, FNV3,  54, 344N, 1765W,  41,  995, XX,  50, NEQ,    1,    1,    1,    3,     ,     ,  54,
CP, 01, 2026082306, 03, FNV3,  60, 346N, 1769W,  39,  996, XX,  34, NEQ,   71,   52,   43,   52,     ,     ,  59,
CP, 01, 2026082306, 03, FNV3,  60, 346N, 1769W,  39,  996, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  59,
CP, 01, 2026082306, 03, FNV3,  66, 349N, 1774W,  38,  998, XX,  34, NEQ,   45,   19,   16,   25,     ,     ,  54,
CP, 01, 2026082306, 03, FNV3,  72, 351N, 1778W,  37,  999, XX,  34, NEQ,   36,   19,   11,   15,     ,     ,  58,
CP, 01, 2026082306, 03, FNV3,  78, 354N, 1784W,  36, 1001, XX,  34, NEQ,   35,   13,    8,   14,     ,     ,  57,
CP, 01, 2026082306, 03, FNV3,  84, 357N, 1788W,  36, 1001, XX,  34, NEQ,   29,   12,    5,    7,     ,     ,  60,
CP, 01, 2026082306, 03, FNV3,  90, 362N, 1792W,  36, 1002, XX,  34, NEQ,   33,   15,    8,   12,     ,     ,  63,
CP, 01, 2026082306, 03, FNV3,  96, 367N, 1796W,  37, 1002, XX,  34, NEQ,   40,   11,    8,   12,     ,     ,  60,
CP, 01, 2026082306, 03, FNV3, 102, 372N, 1798W,  36, 1002, XX,  34, NEQ,   38,    2,    1,    5,     ,     ,  61,
CP, 02, 2026082306, 03, FNV3,   0, 152N, 1527W,  41, 1001, XX,  34, NEQ,  100,   20,     ,  100,     ,     ,  30,
CP, 02, 2026082306, 03, FNV3,   6, 150N, 1542W,  38, 1003, XX,  34, NEQ,   55,   27,   18,   30,     ,     ,  45,
CP, 02, 2026082306, 03, FNV3,  12, 149N, 1555W,  36, 1004, XX,  34, NEQ,   44,   19,   13,   25,     ,     ,  46,
CP, 02, 2026082306, 03, FNV3,  18, 149N, 1568W,  33, 1005, XX,  34, NEQ,   16,    4,    2,    5,     ,     ,  44,
CP, 02, 2026082306, 03, FNV3,  24, 150N, 1580W,  33, 1004, XX,  34, NEQ,   14,    2,    1,    4,     ,     ,  39,
CP, 02, 2026082306, 03, FNV3,  30, 151N, 1594W,  32, 1005, XX,  34, NEQ,   16,    8,    6,    8,     ,     ,  42,
CP, 02, 2026082306, 03, FNV3,  36, 155N, 1606W,  31, 1006, XX,  34, NEQ,    8,    3,    2,    5,     ,     ,  46,
CP, 02, 2026082306, 03, FNV3,  42, 157N, 1619W,  31, 1006, XX,  34, NEQ,    5,    2,    0,    1,     ,     ,  48,
EP, 91, 2026082306, 03, FNV3,   0, 102N, 1209W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 100,
EP, 92, 2026082306, 03, FNV3,   0, 143N, 1126W,  41, 1005, XX,  34, NEQ,   80,   80,   90,     ,     ,     ,  80,
EP, 92, 2026082306, 03, FNV3,   6, 154N, 1139W,  45, 1001, XX,  34, NEQ,   77,   54,   36,   49,     ,     ,  50,
EP, 92, 2026082306, 03, FNV3,   6, 154N, 1139W,  45, 1001, XX,  50, NEQ,    5,    1,    2,    1,     ,     ,  50,
EP, 92, 2026082306, 03, FNV3,  12, 161N, 1149W,  51,  998, XX,  34, NEQ,   94,   77,   55,   72,     ,     ,  41,
EP, 92, 2026082306, 03, FNV3,  12, 161N, 1149W,  51,  998, XX,  50, NEQ,   23,   10,    7,    9,     ,     ,  41,
EP, 92, 2026082306, 03, FNV3,  12, 161N, 1149W,  51,  998, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  41,
EP, 92, 2026082306, 03, FNV3,  18, 167N, 1158W,  56,  994, XX,  34, NEQ,   89,   77,   53,   70,     ,     ,  31,
EP, 92, 2026082306, 03, FNV3,  18, 167N, 1158W,  56,  994, XX,  50, NEQ,   24,    9,    6,   11,     ,     ,  31,
EP, 92, 2026082306, 03, FNV3,  18, 167N, 1158W,  56,  994, XX,  64, NEQ,    3,    0,    0,    0,     ,     ,  31,
EP, 92, 2026082306, 03, FNV3,  24, 175N, 1165W,  65,  988, XX,  34, NEQ,  106,   92,   61,   82,     ,     ,  28,
EP, 92, 2026082306, 03, FNV3,  24, 175N, 1165W,  65,  988, XX,  50, NEQ,   39,   23,   15,   22,     ,     ,  28,
EP, 92, 2026082306, 03, FNV3,  24, 175N, 1165W,  65,  988, XX,  64, NEQ,    9,    4,    3,    4,     ,     ,  28,
EP, 92, 2026082306, 03, FNV3,  30, 183N, 1172W,  71,  983, XX,  34, NEQ,  115,  101,   65,   88,     ,     ,  21,
EP, 92, 2026082306, 03, FNV3,  30, 183N, 1172W,  71,  983, XX,  50, NEQ,   40,   30,   20,   28,     ,     ,  21,
EP, 92, 2026082306, 03, FNV3,  30, 183N, 1172W,  71,  983, XX,  64, NEQ,   14,    7,    5,    6,     ,     ,  21,
EP, 92, 2026082306, 03, FNV3,  36, 192N, 1179W,  74,  981, XX,  34, NEQ,  110,   96,   60,   83,     ,     ,  20,
EP, 92, 2026082306, 03, FNV3,  36, 192N, 1179W,  74,  981, XX,  50, NEQ,   42,   33,   21,   30,     ,     ,  20,
EP, 92, 2026082306, 03, FNV3,  36, 192N, 1179W,  74,  981, XX,  64, NEQ,   15,    9,    6,    8,     ,     ,  20,
EP, 92, 2026082306, 03, FNV3,  42, 200N, 1188W,  78,  977, XX,  34, NEQ,  117,  100,   63,   88,     ,     ,  18,
EP, 92, 2026082306, 03, FNV3,  42, 200N, 1188W,  78,  977, XX,  50, NEQ,   44,   33,   22,   31,     ,     ,  18,
EP, 92, 2026082306, 03, FNV3,  42, 200N, 1188W,  78,  977, XX,  64, NEQ,   15,   11,    8,   10,     ,     ,  18,
EP, 92, 2026082306, 03, FNV3,  48, 206N, 1196W,  76,  979, XX,  34, NEQ,  108,   90,   58,   85,     ,     ,  19,
EP, 92, 2026082306, 03, FNV3,  48, 206N, 1196W,  76,  979, XX,  50, NEQ,   41,   28,   19,   27,     ,     ,  19,
EP, 92, 2026082306, 03, FNV3,  48, 206N, 1196W,  76,  979, XX,  64, NEQ,   13,    8,    6,    8,     ,     ,  19,
EP, 92, 2026082306, 03, FNV3,  54, 212N, 1205W,  68,  983, XX,  34, NEQ,  113,   94,   61,   90,     ,     ,  24,
EP, 92, 2026082306, 03, FNV3,  54, 212N, 1205W,  68,  983, XX,  50, NEQ,   42,   29,   19,   28,     ,     ,  24,
EP, 92, 2026082306, 03, FNV3,  54, 212N, 1205W,  68,  983, XX,  64, NEQ,   13,    9,    6,    9,     ,     ,  24,
EP, 92, 2026082306, 03, FNV3,  60, 216N, 1214W,  60,  989, XX,  34, NEQ,  104,   83,   59,   82,     ,     ,  29,
EP, 92, 2026082306, 03, FNV3,  60, 216N, 1214W,  60,  989, XX,  50, NEQ,   30,   19,   13,   19,     ,     ,  29,
EP, 92, 2026082306, 03, FNV3,  60, 216N, 1214W,  60,  989, XX,  64, NEQ,    7,    4,    3,    5,     ,     ,  29,
EP, 92, 2026082306, 03, FNV3,  66, 219N, 1222W,  55,  991, XX,  34, NEQ,   95,   75,   55,   75,     ,     ,  31,
EP, 92, 2026082306, 03, FNV3,  66, 219N, 1222W,  55,  991, XX,  50, NEQ,   23,   16,   11,   16,     ,     ,  31,
EP, 92, 2026082306, 03, FNV3,  66, 219N, 1222W,  55,  991, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  31,
