# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 12, 2026091012, 03, FNV3,   0, 291N, 1669W,  51,  988, XX,  34, NEQ,  160,   90,   50,  130,     ,     ,  50,
EP, 12, 2026091012, 03, FNV3,   0, 291N, 1669W,  51,  988, XX,  50, NEQ,     ,     ,     ,   80,     ,     ,  50,
EP, 12, 2026091012, 03, FNV3,   6, 290N, 1682W,  44,  996, XX,  34, NEQ,  104,   83,   65,   85,     ,     ,  58,
EP, 12, 2026091012, 03, FNV3,   6, 290N, 1682W,  44,  996, XX,  50, NEQ,    7,    1,    1,    2,     ,     ,  58,
EP, 12, 2026091012, 03, FNV3,  12, 289N, 1694W,  42,  997, XX,  34, NEQ,   80,   54,   40,   57,     ,     ,  58,
EP, 12, 2026091012, 03, FNV3,  12, 289N, 1694W,  42,  997, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  58,
EP, 12, 2026091012, 03, FNV3,  18, 289N, 1704W,  37, 1001, XX,  34, NEQ,   66,   37,   28,   37,     ,     ,  61,
EP, 12, 2026091012, 03, FNV3,  24, 290N, 1714W,  34, 1002, XX,  34, NEQ,   31,    9,    6,   13,     ,     ,  63,
EP, 12, 2026091012, 03, FNV3,  30, 295N, 1719W,  33, 1001, XX,  34, NEQ,   34,   18,   12,   15,     ,     ,  63,
EP, 12, 2026091012, 03, FNV3,  36, 304N, 1718W,  35, 1002, XX,  34, NEQ,   29,   20,   10,   13,     ,     ,  62,
EP, 12, 2026091012, 03, FNV3,  42, 315N, 1715W,  34, 1000, XX,  34, NEQ,   29,   15,    8,   11,     ,     ,  63,
EP, 12, 2026091012, 03, FNV3,  48, 330N, 1719W,  42,  997, XX,  34, NEQ,   65,   34,   23,   30,     ,     ,  56,
EP, 12, 2026091012, 03, FNV3,  48, 330N, 1719W,  42,  997, XX,  50, NEQ,    2,    0,    0,    0,     ,     ,  56,
EP, 12, 2026091012, 03, FNV3,  54, 345N, 1730W,  45,  994, XX,  34, NEQ,   73,   58,   42,   51,     ,     ,  45,
EP, 12, 2026091012, 03, FNV3,  54, 345N, 1730W,  45,  994, XX,  50, NEQ,    1,    1,    3,    4,     ,     ,  45,
EP, 12, 2026091012, 03, FNV3,  54, 345N, 1730W,  45,  994, XX,  64, NEQ,    0,    0,    3,    0,     ,     ,  45,
EP, 14, 2026091012, 03, FNV3,   0, 165N, 1186W,  35, 1003, XX,  34, NEQ,   50,     ,     ,     ,     ,     ,  40,
EP, 14, 2026091012, 03, FNV3,   6, 164N, 1198W,  48,  997, XX,  34, NEQ,   51,   23,   11,   26,     ,     ,  35,
EP, 14, 2026091012, 03, FNV3,   6, 164N, 1198W,  48,  997, XX,  50, NEQ,   12,    1,    1,    3,     ,     ,  35,
EP, 14, 2026091012, 03, FNV3,  12, 164N, 1212W,  54,  994, XX,  34, NEQ,   62,   43,   25,   45,     ,     ,  27,
EP, 14, 2026091012, 03, FNV3,  12, 164N, 1212W,  54,  994, XX,  50, NEQ,   16,    1,    0,    3,     ,     ,  27,
EP, 14, 2026091012, 03, FNV3,  18, 163N, 1224W,  53,  995, XX,  34, NEQ,   56,   38,   22,   41,     ,     ,  23,
EP, 14, 2026091012, 03, FNV3,  18, 163N, 1224W,  53,  995, XX,  50, NEQ,   12,    3,    2,    4,     ,     ,  23,
EP, 14, 2026091012, 03, FNV3,  18, 163N, 1224W,  53,  995, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  23,
EP, 14, 2026091012, 03, FNV3,  24, 164N, 1237W,  57,  992, XX,  34, NEQ,   64,   44,   25,   47,     ,     ,  26,
EP, 14, 2026091012, 03, FNV3,  24, 164N, 1237W,  57,  992, XX,  50, NEQ,   18,    4,    2,    6,     ,     ,  26,
EP, 14, 2026091012, 03, FNV3,  24, 164N, 1237W,  57,  992, XX,  64, NEQ,    3,    1,    0,    1,     ,     ,  26,
EP, 14, 2026091012, 03, FNV3,  30, 164N, 1248W,  59,  991, XX,  34, NEQ,   74,   54,   34,   59,     ,     ,  22,
EP, 14, 2026091012, 03, FNV3,  30, 164N, 1248W,  59,  991, XX,  50, NEQ,   20,    6,    4,    9,     ,     ,  22,
EP, 14, 2026091012, 03, FNV3,  30, 164N, 1248W,  59,  991, XX,  64, NEQ,    2,    0,    0,    1,     ,     ,  22,
EP, 14, 2026091012, 03, FNV3,  36, 164N, 1260W,  64,  987, XX,  34, NEQ,   72,   54,   36,   59,     ,     ,  17,
EP, 14, 2026091012, 03, FNV3,  36, 164N, 1260W,  64,  987, XX,  50, NEQ,   19,    8,    5,    9,     ,     ,  17,
EP, 14, 2026091012, 03, FNV3,  36, 164N, 1260W,  64,  987, XX,  64, NEQ,    5,    2,    1,    2,     ,     ,  17,
EP, 14, 2026091012, 03, FNV3,  42, 166N, 1270W,  63,  987, XX,  34, NEQ,   73,   53,   38,   60,     ,     ,  21,
EP, 14, 2026091012, 03, FNV3,  42, 166N, 1270W,  63,  987, XX,  50, NEQ,   23,   12,    9,   14,     ,     ,  21,
EP, 14, 2026091012, 03, FNV3,  42, 166N, 1270W,  63,  987, XX,  64, NEQ,    5,    3,    2,    3,     ,     ,  21,
EP, 14, 2026091012, 03, FNV3,  48, 169N, 1279W,  64,  987, XX,  34, NEQ,   80,   59,   41,   67,     ,     ,  18,
EP, 14, 2026091012, 03, FNV3,  48, 169N, 1279W,  64,  987, XX,  50, NEQ,   24,   13,    9,   15,     ,     ,  18,
EP, 14, 2026091012, 03, FNV3,  48, 169N, 1279W,  64,  987, XX,  64, NEQ,    6,    3,    2,    3,     ,     ,  18,
EP, 14, 2026091012, 03, FNV3,  54, 171N, 1288W,  66,  985, XX,  34, NEQ,   81,   61,   44,   69,     ,     ,  19,
EP, 14, 2026091012, 03, FNV3,  54, 171N, 1288W,  66,  985, XX,  50, NEQ,   24,   16,   11,   18,     ,     ,  19,
EP, 14, 2026091012, 03, FNV3,  54, 171N, 1288W,  66,  985, XX,  64, NEQ,    9,    6,    4,    6,     ,     ,  19,
EP, 14, 2026091012, 03, FNV3,  60, 174N, 1297W,  68,  985, XX,  34, NEQ,   71,   51,   37,   59,     ,     ,  19,
