# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 14, 2026091112, 03, WNV3,   0, 166N, 1241W,  54,  996, XX,  34, NEQ,   90,   40,   30,   50,     ,     ,  25,
EP, 14, 2026091112, 03, WNV3,   0, 166N, 1241W,  54,  996, XX,  50, NEQ,   30,     ,     ,   20,     ,     ,  25,
EP, 14, 2026091112, 03, WNV3,   6, 166N, 1249W,  61,  989, XX,  34, NEQ,   72,   44,   21,   60,     ,     ,  15,
EP, 14, 2026091112, 03, WNV3,   6, 166N, 1249W,  61,  989, XX,  50, NEQ,   27,   17,    9,   20,     ,     ,  15,
EP, 14, 2026091112, 03, WNV3,   6, 166N, 1249W,  61,  989, XX,  64, NEQ,    4,    1,    0,    1,     ,     ,  15,
EP, 14, 2026091112, 03, WNV3,  12, 167N, 1262W,  65,  988, XX,  34, NEQ,   75,   44,   26,   65,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  12, 167N, 1262W,  65,  988, XX,  50, NEQ,   29,   19,   11,   23,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  12, 167N, 1262W,  65,  988, XX,  64, NEQ,    7,    3,    2,    4,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  18, 168N, 1273W,  67,  986, XX,  34, NEQ,   74,   47,   30,   64,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  18, 168N, 1273W,  67,  986, XX,  50, NEQ,   27,   18,   11,   21,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  18, 168N, 1273W,  67,  986, XX,  64, NEQ,    8,    3,    2,    4,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  24, 170N, 1283W,  70,  984, XX,  34, NEQ,   72,   46,   29,   64,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  24, 170N, 1283W,  70,  984, XX,  50, NEQ,   27,   18,   11,   22,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  24, 170N, 1283W,  70,  984, XX,  64, NEQ,    8,    5,    4,    6,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  30, 172N, 1293W,  71,  985, XX,  34, NEQ,   64,   40,   29,   60,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  30, 172N, 1293W,  71,  985, XX,  50, NEQ,   25,   16,   11,   21,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  30, 172N, 1293W,  71,  985, XX,  64, NEQ,    9,    6,    4,    7,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  36, 175N, 1302W,  71,  984, XX,  34, NEQ,   64,   43,   29,   56,     ,     ,  14,
EP, 14, 2026091112, 03, WNV3,  36, 175N, 1302W,  71,  984, XX,  50, NEQ,   25,   17,   12,   20,     ,     ,  14,
