# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 99, 2026091906, 03, WNV3,   0, 326N,  336W,  29, 1015, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
AL, 99, 2026091906, 03, WNV3,   6, 326N,  338W,  29, 1010, XX,  34, NEQ,    3,    1,    1,    3,     ,     ,  50,
AL, 99, 2026091906, 03, WNV3,  12, 328N,  335W,  34, 1008, XX,  34, NEQ,   17,    6,    2,    7,     ,     ,  45,
AL, 99, 2026091906, 03, WNV3,  18, 330N,  334W,  36, 1007, XX,  34, NEQ,   28,   12,    8,   18,     ,     ,  39,
AL, 99, 2026091906, 03, WNV3,  24, 334N,  333W,  41, 1005, XX,  34, NEQ,   48,   33,   13,   27,     ,     ,  41,
AL, 99, 2026091906, 03, WNV3,  24, 334N,  333W,  41, 1005, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  41,
AL, 99, 2026091906, 03, WNV3,  30, 338N,  332W,  49, 1000, XX,  34, NEQ,   50,   44,   19,   31,     ,     ,  30,
AL, 99, 2026091906, 03, WNV3,  30, 338N,  332W,  49, 1000, XX,  50, NEQ,    6,    6,    1,    2,     ,     ,  30,
AL, 99, 2026091906, 03, WNV3,  36, 340N,  328W,  53,  997, XX,  34, NEQ,   53,   52,   30,   37,     ,     ,  25,
AL, 99, 2026091906, 03, WNV3,  36, 340N,  328W,  53,  997, XX,  50, NEQ,   11,   13,    5,    7,     ,     ,  25,
AL, 99, 2026091906, 03, WNV3,  36, 340N,  328W,  53,  997, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  25,
AL, 99, 2026091906, 03, WNV3,  42, 340N,  324W,  53,  997, XX,  34, NEQ,   57,   51,   39,   48,     ,     ,  24,
AL, 99, 2026091906, 03, WNV3,  42, 340N,  324W,  53,  997, XX,  50, NEQ,   14,   11,    7,    9,     ,     ,  24,
AL, 99, 2026091906, 03, WNV3,  42, 340N,  324W,  53,  997, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  24,
AL, 99, 2026091906, 03, WNV3,  48, 339N,  321W,  53,  997, XX,  34, NEQ,   60,   55,   44,   57,     ,     ,  27,
AL, 99, 2026091906, 03, WNV3,  48, 339N,  321W,  53,  997, XX,  50, NEQ,   16,   11,    7,    9,     ,     ,  27,
AL, 99, 2026091906, 03, WNV3,  48, 339N,  321W,  53,  997, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  27,
AL, 99, 2026091906, 03, WNV3,  54, 335N,  320W,  51, 1000, XX,  34, NEQ,   60,   49,   44,   60,     ,     ,  26,
AL, 99, 2026091906, 03, WNV3,  54, 335N,  320W,  51, 1000, XX,  50, NEQ,   13,    9,    6,    8,     ,     ,  26,
AL, 99, 2026091906, 03, WNV3,  54, 335N,  320W,  51, 1000, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  26,
AL, 99, 2026091906, 03, WNV3,  60, 331N,  320W,  49, 1002, XX,  34, NEQ,   65,   46,   42,   67,     ,     ,  29,
AL, 99, 2026091906, 03, WNV3,  60, 331N,  320W,  49, 1002, XX,  50, NEQ,   10,    5,    4,    6,     ,     ,  29,
AL, 99, 2026091906, 03, WNV3,  60, 331N,  320W,  49, 1002, XX,  64, NEQ,    0,    0,    0,    1,     ,     ,  29,
AL, 99, 2026091906, 03, WNV3,  66, 324N,  323W,  45, 1004, XX,  34, NEQ,   50,   30,   27,   53,     ,     ,  33,
AL, 99, 2026091906, 03, WNV3,  66, 324N,  323W,  45, 1004, XX,  50, NEQ,    6,    4,    3,    4,     ,     ,  33,
AL, 99, 2026091906, 03, WNV3,  72, 318N,  328W,  41, 1006, XX,  34, NEQ,   46,   26,   24,   47,     ,     ,  34,
AL, 99, 2026091906, 03, WNV3,  72, 318N,  328W,  41, 1006, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  34,
AL, 99, 2026091906, 03, WNV3,  78, 311N,  335W,  39, 1007, XX,  34, NEQ,   32,   18,   14,   36,     ,     ,  43,
AL, 99, 2026091906, 03, WNV3,  78, 311N,  335W,  39, 1007, XX,  50, NEQ,    3,    1,    0,    1,     ,     ,  43,
AL, 99, 2026091906, 03, WNV3,  84, 306N,  343W,  36, 1008, XX,  34, NEQ,   25,   15,   12,   26,     ,     ,  39,
AL, 99, 2026091906, 03, WNV3,  84, 306N,  343W,  36, 1008, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  39,
AL, 99, 2026091906, 03, WNV3,  90, 299N,  353W,  34, 1008, XX,  34, NEQ,   20,   10,    7,   19,     ,     ,  47,
AL, 99, 2026091906, 03, WNV3,  90, 299N,  353W,  34, 1008, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  47,
AL, 99, 2026091906, 03, WNV3,  96, 295N,  362W,  34, 1008, XX,  34, NEQ,   17,    9,    7,   15,     ,     ,  43,
AL, 99, 2026091906, 03, WNV3,  96, 295N,  362W,  34, 1008, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  43,
AL, 99, 2026091906, 03, WNV3, 102, 291N,  372W,  33, 1008, XX,  34, NEQ,   16,   10,    7,   15,     ,     ,  46,
AL, 99, 2026091906, 03, WNV3, 102, 291N,  372W,  33, 1008, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  46,
AL, 99, 2026091906, 03, WNV3, 108, 288N,  382W,  32, 1008, XX,  34, NEQ,   11,    6,    4,   11,     ,     ,  45,
AL, 99, 2026091906, 03, WNV3, 108, 288N,  382W,  32, 1008, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  45,
AL, 99, 2026091906, 03, WNV3, 114, 285N,  393W,  32, 1008, XX,  34, NEQ,   10,    5,    5,    8,     ,     ,  49,
AL, 99, 2026091906, 03, WNV3, 114, 285N,  393W,  32, 1008, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  49,
AL, 99, 2026091906, 03, WNV3, 114, 285N,  393W,  32, 1008, XX,  64, NEQ,    0,    0,    0,    1,     ,     ,  49,
AL, 99, 2026091906, 03, WNV3, 120, 285N,  403W,  34, 1008, XX,  34, NEQ,   14,    7,    4,    8,     ,     ,  46,
AL, 99, 2026091906, 03, WNV3, 120, 285N,  403W,  34, 1008, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  46,
AL, 99, 2026091906, 03, WNV3, 120, 285N,  403W,  34, 1008, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  46,
AL, 99, 2026091906, 03, WNV3, 126, 285N,  414W,  34, 1008, XX,  34, NEQ,   11,    6,    4,    7,     ,     ,  48,
AL, 99, 2026091906, 03, WNV3, 126, 285N,  414W,  34, 1008, XX,  50, NEQ,    3,    2,    2,    3,     ,     ,  48,
AL, 99, 2026091906, 03, WNV3, 126, 285N,  414W,  34, 1008, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  48,
AL, 99, 2026091906, 03, WNV3, 132, 287N,  422W,  33, 1008, XX,  34, NEQ,   13,    8,    5,    9,     ,     ,  53,
AL, 99, 2026091906, 03, WNV3, 132, 287N,  422W,  33, 1008, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  53,
AL, 99, 2026091906, 03, WNV3, 132, 287N,  422W,  33, 1008, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  53,
AL, 99, 2026091906, 03, WNV3, 138, 288N,  431W,  34, 1008, XX,  34, NEQ,   14,    7,    4,    8,     ,     ,  47,
AL, 99, 2026091906, 03, WNV3, 138, 288N,  431W,  34, 1008, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  47,
AL, 99, 2026091906, 03, WNV3, 138, 288N,  431W,  34, 1008, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  47,
AL, 99, 2026091906, 03, WNV3, 144, 291N,  439W,  34, 1008, XX,  34, NEQ,   14,    9,    5,    8,     ,     ,  47,
AL, 99, 2026091906, 03, WNV3, 144, 291N,  439W,  34, 1008, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  47,
AL, 99, 2026091906, 03, WNV3, 144, 291N,  439W,  34, 1008, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  47,
AL, 99, 2026091906, 03, WNV3, 150, 292N,  442W,  37, 1006, XX,  34, NEQ,   20,   15,    8,   13,     ,     ,  45,
AL, 99, 2026091906, 03, WNV3, 150, 292N,  442W,  37, 1006, XX,  50, NEQ,    5,    3,    2,    3,     ,     ,  45,
