# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 06, 2026092012, 03, WNV3,   0, 340N,  331W,  45, 1004, XX,  34, NEQ,   40,   40,     ,     ,     ,     ,  30,
AL, 06, 2026092012, 03, WNV3,   6, 341N,  327W,  63,  991, XX,  34, NEQ,   44,   52,   39,   35,     ,     ,  16,
AL, 06, 2026092012, 03, WNV3,   6, 341N,  327W,  63,  991, XX,  50, NEQ,   19,   21,   13,   14,     ,     ,  16,
AL, 06, 2026092012, 03, WNV3,   6, 341N,  327W,  63,  991, XX,  64, NEQ,    3,    5,    1,    2,     ,     ,  16,
AL, 06, 2026092012, 03, WNV3,  12, 342N,  322W,  66,  990, XX,  34, NEQ,   51,   53,   43,   46,     ,     ,  15,
AL, 06, 2026092012, 03, WNV3,  12, 342N,  322W,  66,  990, XX,  50, NEQ,   24,   24,   17,   19,     ,     ,  15,
AL, 06, 2026092012, 03, WNV3,  12, 342N,  322W,  66,  990, XX,  64, NEQ,    6,    7,    3,    3,     ,     ,  15,
AL, 06, 2026092012, 03, WNV3,  18, 341N,  320W,  61,  994, XX,  34, NEQ,   55,   49,   44,   54,     ,     ,  16,
AL, 06, 2026092012, 03, WNV3,  18, 341N,  320W,  61,  994, XX,  50, NEQ,   21,   19,   14,   17,     ,     ,  16,
AL, 06, 2026092012, 03, WNV3,  18, 341N,  320W,  61,  994, XX,  64, NEQ,    3,    3,    2,    2,     ,     ,  16,
AL, 06, 2026092012, 03, WNV3,  24, 336N,  319W,  55,  998, XX,  34, NEQ,   64,   53,   48,   67,     ,     ,  20,
AL, 06, 2026092012, 03, WNV3,  24, 336N,  319W,  55,  998, XX,  50, NEQ,   19,   11,    8,   10,     ,     ,  20,
AL, 06, 2026092012, 03, WNV3,  24, 336N,  319W,  55,  998, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  20,
AL, 06, 2026092012, 03, WNV3,  30, 332N,  321W,  50, 1001, XX,  34, NEQ,   76,   50,   47,   78,     ,     ,  23,
AL, 06, 2026092012, 03, WNV3,  30, 332N,  321W,  50, 1001, XX,  50, NEQ,   12,    6,    4,    6,     ,     ,  23,
AL, 06, 2026092012, 03, WNV3,  36, 324N,  325W,  45, 1004, XX,  34, NEQ,   61,   36,   33,   66,     ,     ,  28,
AL, 06, 2026092012, 03, WNV3,  36, 324N,  325W,  45, 1004, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  28,
AL, 06, 2026092012, 03, WNV3,  42, 319N,  331W,  41, 1006, XX,  34, NEQ,   50,   26,   23,   50,     ,     ,  34,
AL, 06, 2026092012, 03, WNV3,  42, 319N,  331W,  41, 1006, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  34,
AL, 06, 2026092012, 03, WNV3,  48, 312N,  339W,  38, 1007, XX,  34, NEQ,   34,   15,   12,   34,     ,     ,  35,
AL, 06, 2026092012, 03, WNV3,  48, 312N,  339W,  38, 1007, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  35,
AL, 06, 2026092012, 03, WNV3,  54, 308N,  347W,  35, 1009, XX,  34, NEQ,   18,    6,    4,   17,     ,     ,  46,
AL, 06, 2026092012, 03, WNV3,  60, 303N,  357W,  32, 1010, XX,  34, NEQ,   11,    4,    3,   11,     ,     ,  44,
AL, 06, 2026092012, 03, WNV3,  66, 300N,  367W,  31, 1010, XX,  34, NEQ,    9,    3,    1,    6,     ,     ,  47,
AL, 06, 2026092012, 03, WNV3,  72, 297N,  377W,  31, 1009, XX,  34, NEQ,    6,    2,    1,    6,     ,     ,  54,
AL, 06, 2026092012, 03, WNV3,  78, 295N,  386W,  30, 1009, XX,  34, NEQ,    3,    0,    0,    2,     ,     ,  50,
AL, 06, 2026092012, 03, WNV3,  84, 294N,  397W,  30, 1010, XX,  34, NEQ,    5,    0,    0,    2,     ,     ,  55,
AL, 06, 2026092012, 03, WNV3,  90, 296N,  405W,  31, 1009, XX,  34, NEQ,    9,    2,    1,    4,     ,     ,  52,
AL, 06, 2026092012, 03, WNV3,  96, 297N,  412W,  30, 1010, XX,  34, NEQ,    8,    3,    2,    4,     ,     ,  53,
AL, 06, 2026092012, 03, WNV3, 102, 300N,  418W,  29, 1011, XX,  34, NEQ,    5,    1,    0,    1,     ,     ,  57,
AL, 06, 2026092012, 03, WNV3, 108, 302N,  424W,  29, 1010, XX,  34, NEQ,    3,    1,    1,    1,     ,     ,  53,
AL, 06, 2026092012, 03, WNV3, 114, 306N,  427W,  30, 1010, XX,  34, NEQ,    3,    1,    1,    1,     ,     ,  53,
