# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 06, 2026092206, 03, WNV3,   0, 321N,  334W,  35, 1009, XX,  34, NEQ,   40,     ,     ,   40,     ,     ,  40,
AL, 06, 2026092206, 03, WNV3,   6, 313N,  343W,  36, 1009, XX,  34, NEQ,   30,   11,    8,   30,     ,     ,  44,
AL, 06, 2026092206, 03, WNV3,  12, 310N,  351W,  33, 1009, XX,  34, NEQ,    7,    3,    2,    9,     ,     ,  41,
AL, 06, 2026092206, 03, WNV3,  18, 305N,  361W,  30, 1011, XX,  34, NEQ,    2,    1,    0,    2,     ,     ,  48,
AL, 06, 2026092206, 03, WNV3,  24, 301N,  371W,  30, 1010, XX,  34, NEQ,    2,    0,    0,    2,     ,     ,  45,
AL, 06, 2026092206, 03, WNV3,  30, 299N,  382W,  29, 1010, XX,  34, NEQ,    2,    0,    0,    1,     ,     ,  49,
AL, 06, 2026092206, 03, WNV3,  36, 296N,  391W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    1,     ,     ,  49,
AL, 06, 2026092206, 03, WNV3,  42, 294N,  401W,  29, 1010, XX,  34, NEQ,    2,    0,    0,    1,     ,     ,  48,
AL, 06, 2026092206, 03, WNV3,  48, 294N,  411W,  31, 1010, XX,  34, NEQ,    7,    2,    1,    3,     ,     ,  49,
AL, 06, 2026092206, 03, WNV3,  54, 295N,  419W,  30, 1011, XX,  34, NEQ,    6,    1,    1,    2,     ,     ,  51,
AL, 06, 2026092206, 03, WNV3,  60, 295N,  428W,  29, 1011, XX,  34, NEQ,    2,    1,    0,    0,     ,     ,  56,
AL, 06, 2026092206, 03, WNV3,  66, 297N,  434W,  28, 1012, XX,  34, NEQ,    3,    1,    1,    1,     ,     ,  53,
AL, 06, 2026092206, 03, WNV3,  72, 298N,  441W,  28, 1011, XX,  34, NEQ,    6,    1,    0,    1,     ,     ,  52,
AL, 06, 2026092206, 03, WNV3,  78, 298N,  447W,  28, 1012, XX,  34, NEQ,    3,    1,    1,    1,     ,     ,  49,
AL, 06, 2026092206, 03, WNV3,  84, 300N,  453W,  28, 1011, XX,  34, NEQ,    3,    1,    0,    1,     ,     ,  50,
AL, 06, 2026092206, 03, WNV3,  90, 300N,  456W,  28, 1011, XX,  34, NEQ,    1,    0,    1,    2,     ,     ,  37,
EP, 15, 2026092206, 03, WNV3,   0, 138N, 1474W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 160,
EP, 16, 2026092206, 03, WNV3,   0, 145N, 1305W,  51, 1000, XX,  34, NEQ,   70,   60,   60,   60,     ,     ,  30,
EP, 16, 2026092206, 03, WNV3,   0, 145N, 1305W,  51, 1000, XX,  50, NEQ,   30,   30,     ,     ,     ,     ,  30,
EP, 16, 2026092206, 03, WNV3,   6, 148N, 1304W,  66,  987, XX,  34, NEQ,   72,   93,   68,   50,     ,     ,  25,
EP, 16, 2026092206, 03, WNV3,   6, 148N, 1304W,  66,  987, XX,  50, NEQ,   44,   44,   29,   31,     ,     ,  25,
EP, 16, 2026092206, 03, WNV3,   6, 148N, 1304W,  66,  987, XX,  64, NEQ,   17,    8,    6,    6,     ,     ,  25,
EP, 16, 2026092206, 03, WNV3,  12, 150N, 1300W,  68,  986, XX,  34, NEQ,   77,   96,   70,   58,     ,     ,  27,
EP, 16, 2026092206, 03, WNV3,  12, 150N, 1300W,  68,  986, XX,  50, NEQ,   42,   44,   30,   30,     ,     ,  27,
EP, 16, 2026092206, 03, WNV3,  12, 150N, 1300W,  68,  986, XX,  64, NEQ,   15,   12,    7,    7,     ,     ,  27,
EP, 16, 2026092206, 03, WNV3,  18, 151N, 1296W,  73,  982, XX,  34, NEQ,   82,  104,   80,   66,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  18, 151N, 1296W,  73,  982, XX,  50, NEQ,   43,   46,   35,   32,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  18, 151N, 1296W,  73,  982, XX,  64, NEQ,   16,   16,   12,   11,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  24, 152N, 1290W,  75,  981, XX,  34, NEQ,   86,   99,   77,   71,     ,     ,  23,
EP, 16, 2026092206, 03, WNV3,  24, 152N, 1290W,  75,  981, XX,  50, NEQ,   43,   47,   36,   35,     ,     ,  23,
EP, 16, 2026092206, 03, WNV3,  24, 152N, 1290W,  75,  981, XX,  64, NEQ,   18,   19,   14,   14,     ,     ,  23,
EP, 16, 2026092206, 03, WNV3,  30, 152N, 1284W,  81,  977, XX,  34, NEQ,   95,  110,   80,   79,     ,     ,  22,
EP, 16, 2026092206, 03, WNV3,  30, 152N, 1284W,  81,  977, XX,  50, NEQ,   46,   48,   37,   36,     ,     ,  22,
EP, 16, 2026092206, 03, WNV3,  30, 152N, 1284W,  81,  977, XX,  64, NEQ,   22,   22,   18,   18,     ,     ,  22,
EP, 16, 2026092206, 03, WNV3,  36, 152N, 1278W,  81,  977, XX,  34, NEQ,   94,  105,   76,   78,     ,     ,  23,
