# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 06, 2026092400, 03, FNV3,   0, 298N,  396W,  35, 1010, XX,  34, NEQ,   60,     ,     ,   50,     ,     ,  50,
AL, 06, 2026092400, 03, FNV3,   6, 300N,  405W,  34, 1010, XX,  34, NEQ,   18,    3,    2,    6,     ,     ,  43,
AL, 06, 2026092400, 03, FNV3,  12, 300N,  412W,  32, 1010, XX,  34, NEQ,   10,    1,    1,    4,     ,     ,  43,
AL, 06, 2026092400, 03, FNV3,  18, 301N,  417W,  32, 1009, XX,  34, NEQ,    6,    4,    1,    4,     ,     ,  41,
AL, 06, 2026092400, 03, FNV3,  24, 302N,  423W,  30, 1010, XX,  34, NEQ,    5,    2,    1,    2,     ,     ,  45,
AL, 06, 2026092400, 03, FNV3,  30, 300N,  426W,  31, 1010, XX,  34, NEQ,    6,    3,    2,    4,     ,     ,  42,
AL, 06, 2026092400, 03, FNV3,  36, 300N,  431W,  32, 1009, XX,  34, NEQ,   13,    3,    2,    5,     ,     ,  38,
AL, 06, 2026092400, 03, FNV3,  36, 300N,  431W,  32, 1009, XX,  50, NEQ,    0,    0,    0,    1,     ,     ,  38,
AL, 06, 2026092400, 03, FNV3,  42, 299N,  435W,  32, 1009, XX,  34, NEQ,   13,    5,    3,    7,     ,     ,  43,
AL, 06, 2026092400, 03, FNV3,  42, 299N,  435W,  32, 1009, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  43,
AL, 06, 2026092400, 03, FNV3,  48, 298N,  440W,  30, 1010, XX,  34, NEQ,    5,    2,    1,    2,     ,     ,  42,
AL, 06, 2026092400, 03, FNV3,  54, 298N,  445W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    3,     ,     ,  45,
AL, 06, 2026092400, 03, FNV3,  60, 297N,  451W,  29, 1011, XX,  34, NEQ,    9,    6,    3,    6,     ,     ,  47,
AL, 06, 2026092400, 03, FNV3,  60, 297N,  451W,  29, 1011, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  47,
AL, 90, 2026092400, 03, FNV3,   0, 110N,  190W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 110,
EP, 15, 2026092400, 03, FNV3,   0, 146N, 1558W,  41, 1002, XX,  34, NEQ,   50,     ,     ,   70,     ,     ,  60,
EP, 15, 2026092400, 03, FNV3,   6, 145N, 1557W,  44,  999, XX,  34, NEQ,   58,   44,   35,   42,     ,     ,  39,
EP, 15, 2026092400, 03, FNV3,   6, 145N, 1557W,  44,  999, XX,  50, NEQ,    6,    1,    0,    1,     ,     ,  39,
EP, 15, 2026092400, 03, FNV3,  12, 145N, 1559W,  48,  996, XX,  34, NEQ,   71,   60,   47,   58,     ,     ,  33,
EP, 15, 2026092400, 03, FNV3,  12, 145N, 1559W,  48,  996, XX,  50, NEQ,    7,    3,    2,    3,     ,     ,  33,
EP, 15, 2026092400, 03, FNV3,  18, 147N, 1557W,  54,  993, XX,  34, NEQ,   78,   74,   56,   63,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3,  18, 147N, 1557W,  54,  993, XX,  50, NEQ,   19,   15,    7,   10,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3,  18, 147N, 1557W,  54,  993, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3,  24, 152N, 1556W,  64,  987, XX,  34, NEQ,   91,   88,   64,   70,     ,     ,  25,
EP, 15, 2026092400, 03, FNV3,  24, 152N, 1556W,  64,  987, XX,  50, NEQ,   25,   22,   12,   14,     ,     ,  25,
EP, 15, 2026092400, 03, FNV3,  24, 152N, 1556W,  64,  987, XX,  64, NEQ,    7,    3,    2,    2,     ,     ,  25,
EP, 15, 2026092400, 03, FNV3,  30, 156N, 1554W,  72,  982, XX,  34, NEQ,   97,   97,   73,   78,     ,     ,  20,
EP, 15, 2026092400, 03, FNV3,  30, 156N, 1554W,  72,  982, XX,  50, NEQ,   37,   33,   24,   27,     ,     ,  20,
EP, 15, 2026092400, 03, FNV3,  30, 156N, 1554W,  72,  982, XX,  64, NEQ,   14,   12,    9,    9,     ,     ,  20,
EP, 15, 2026092400, 03, FNV3,  36, 162N, 1552W,  80,  976, XX,  34, NEQ,   98,   98,   69,   76,     ,     ,  15,
EP, 15, 2026092400, 03, FNV3,  36, 162N, 1552W,  80,  976, XX,  50, NEQ,   37,   34,   24,   29,     ,     ,  15,
EP, 15, 2026092400, 03, FNV3,  36, 162N, 1552W,  80,  976, XX,  64, NEQ,   16,   13,   10,   11,     ,     ,  15,
EP, 15, 2026092400, 03, FNV3,  42, 166N, 1550W,  84,  973, XX,  34, NEQ,  105,  104,   77,   84,     ,     ,  17,
EP, 15, 2026092400, 03, FNV3,  42, 166N, 1550W,  84,  973, XX,  50, NEQ,   46,   43,   33,   37,     ,     ,  17,
EP, 15, 2026092400, 03, FNV3,  42, 166N, 1550W,  84,  973, XX,  64, NEQ,   21,   19,   15,   16,     ,     ,  17,
EP, 15, 2026092400, 03, FNV3,  48, 172N, 1549W,  90,  968, XX,  34, NEQ,   99,  100,   73,   79,     ,     ,  13,
EP, 15, 2026092400, 03, FNV3,  48, 172N, 1549W,  90,  968, XX,  50, NEQ,   44,   41,   31,   35,     ,     ,  13,
EP, 15, 2026092400, 03, FNV3,  48, 172N, 1549W,  90,  968, XX,  64, NEQ,   22,   20,   16,   18,     ,     ,  13,
EP, 15, 2026092400, 03, FNV3,  54, 176N, 1548W,  94,  965, XX,  34, NEQ,  101,  100,   78,   83,     ,     ,  16,
EP, 15, 2026092400, 03, FNV3,  54, 176N, 1548W,  94,  965, XX,  50, NEQ,   46,   44,   35,   39,     ,     ,  16,
EP, 15, 2026092400, 03, FNV3,  54, 176N, 1548W,  94,  965, XX,  64, NEQ,   25,   23,   19,   21,     ,     ,  16,
EP, 15, 2026092400, 03, FNV3,  60, 178N, 1551W,  91,  966, XX,  34, NEQ,  103,   91,   72,   90,     ,     ,  14,
EP, 15, 2026092400, 03, FNV3,  60, 178N, 1551W,  91,  966, XX,  50, NEQ,   44,   38,   30,   38,     ,     ,  14,
EP, 15, 2026092400, 03, FNV3,  60, 178N, 1551W,  91,  966, XX,  64, NEQ,   24,   20,   16,   19,     ,     ,  14,
EP, 15, 2026092400, 03, FNV3,  66, 179N, 1555W,  93,  964, XX,  34, NEQ,   97,   82,   71,   90,     ,     ,  16,
EP, 15, 2026092400, 03, FNV3,  66, 179N, 1555W,  93,  964, XX,  50, NEQ,   44,   36,   30,   38,     ,     ,  16,
EP, 15, 2026092400, 03, FNV3,  66, 179N, 1555W,  93,  964, XX,  64, NEQ,   24,   19,   16,   19,     ,     ,  16,
EP, 15, 2026092400, 03, FNV3,  72, 180N, 1561W,  96,  962, XX,  34, NEQ,   92,   74,   66,   87,     ,     ,  12,
EP, 15, 2026092400, 03, FNV3,  72, 180N, 1561W,  96,  962, XX,  50, NEQ,   42,   34,   28,   38,     ,     ,  12,
EP, 15, 2026092400, 03, FNV3,  72, 180N, 1561W,  96,  962, XX,  64, NEQ,   23,   18,   15,   19,     ,     ,  12,
EP, 15, 2026092400, 03, FNV3,  78, 179N, 1568W, 100,  959, XX,  34, NEQ,   94,   72,   65,   91,     ,     ,  11,
EP, 15, 2026092400, 03, FNV3,  78, 179N, 1568W, 100,  959, XX,  50, NEQ,   43,   34,   28,   39,     ,     ,  11,
EP, 15, 2026092400, 03, FNV3,  78, 179N, 1568W, 100,  959, XX,  64, NEQ,   23,   19,   16,   21,     ,     ,  11,
EP, 15, 2026092400, 03, FNV3,  84, 179N, 1578W,  96,  963, XX,  34, NEQ,   99,   72,   58,   89,     ,     ,  11,
EP, 15, 2026092400, 03, FNV3,  84, 179N, 1578W,  96,  963, XX,  50, NEQ,   42,   31,   24,   36,     ,     ,  11,
EP, 15, 2026092400, 03, FNV3,  84, 179N, 1578W,  96,  963, XX,  64, NEQ,   20,   16,   13,   17,     ,     ,  11,
EP, 15, 2026092400, 03, FNV3,  90, 178N, 1587W,  94,  964, XX,  34, NEQ,   96,   74,   60,   86,     ,     ,  15,
EP, 15, 2026092400, 03, FNV3,  90, 178N, 1587W,  94,  964, XX,  50, NEQ,   36,   26,   21,   30,     ,     ,  15,
EP, 15, 2026092400, 03, FNV3,  90, 178N, 1587W,  94,  964, XX,  64, NEQ,   17,   14,   11,   15,     ,     ,  15,
EP, 15, 2026092400, 03, FNV3,  96, 179N, 1597W,  93,  964, XX,  34, NEQ,  100,   77,   61,   90,     ,     ,  14,
EP, 15, 2026092400, 03, FNV3,  96, 179N, 1597W,  93,  964, XX,  50, NEQ,   37,   28,   21,   32,     ,     ,  14,
EP, 15, 2026092400, 03, FNV3,  96, 179N, 1597W,  93,  964, XX,  64, NEQ,   18,   14,   11,   15,     ,     ,  14,
EP, 15, 2026092400, 03, FNV3, 102, 182N, 1607W,  92,  965, XX,  34, NEQ,   99,   76,   56,   86,     ,     ,  17,
EP, 15, 2026092400, 03, FNV3, 102, 182N, 1607W,  92,  965, XX,  50, NEQ,   37,   27,   21,   31,     ,     ,  17,
EP, 15, 2026092400, 03, FNV3, 102, 182N, 1607W,  92,  965, XX,  64, NEQ,   19,   14,   11,   15,     ,     ,  17,
EP, 15, 2026092400, 03, FNV3, 108, 187N, 1617W,  91,  965, XX,  34, NEQ,   92,   67,   49,   76,     ,     ,  16,
EP, 15, 2026092400, 03, FNV3, 108, 187N, 1617W,  91,  965, XX,  50, NEQ,   26,   18,   13,   21,     ,     ,  16,
EP, 15, 2026092400, 03, FNV3, 108, 187N, 1617W,  91,  965, XX,  64, NEQ,   13,    8,    6,   10,     ,     ,  16,
EP, 15, 2026092400, 03, FNV3, 114, 192N, 1626W,  87,  969, XX,  34, NEQ,   99,   78,   56,   81,     ,     ,  18,
EP, 15, 2026092400, 03, FNV3, 114, 192N, 1626W,  87,  969, XX,  50, NEQ,   31,   22,   16,   25,     ,     ,  18,
EP, 15, 2026092400, 03, FNV3, 114, 192N, 1626W,  87,  969, XX,  64, NEQ,   15,   10,    8,   11,     ,     ,  18,
EP, 15, 2026092400, 03, FNV3, 120, 200N, 1634W,  83,  971, XX,  34, NEQ,  102,   81,   56,   81,     ,     ,  17,
EP, 15, 2026092400, 03, FNV3, 120, 200N, 1634W,  83,  971, XX,  50, NEQ,   27,   19,   12,   19,     ,     ,  17,
EP, 15, 2026092400, 03, FNV3, 120, 200N, 1634W,  83,  971, XX,  64, NEQ,   12,    8,    6,    8,     ,     ,  17,
EP, 15, 2026092400, 03, FNV3, 126, 208N, 1641W,  77,  976, XX,  34, NEQ,   91,   73,   49,   70,     ,     ,  23,
EP, 15, 2026092400, 03, FNV3, 126, 208N, 1641W,  77,  976, XX,  50, NEQ,   30,   24,   15,   23,     ,     ,  23,
EP, 15, 2026092400, 03, FNV3, 126, 208N, 1641W,  77,  976, XX,  64, NEQ,   13,   11,    8,   10,     ,     ,  23,
EP, 15, 2026092400, 03, FNV3, 132, 216N, 1647W,  70,  980, XX,  34, NEQ,   99,   81,   55,   76,     ,     ,  22,
EP, 15, 2026092400, 03, FNV3, 132, 216N, 1647W,  70,  980, XX,  50, NEQ,   24,   16,   10,   15,     ,     ,  22,
EP, 15, 2026092400, 03, FNV3, 132, 216N, 1647W,  70,  980, XX,  64, NEQ,    8,    6,    4,    5,     ,     ,  22,
EP, 15, 2026092400, 03, FNV3, 138, 224N, 1652W,  64,  984, XX,  34, NEQ,   98,   84,   59,   74,     ,     ,  30,
EP, 15, 2026092400, 03, FNV3, 138, 224N, 1652W,  64,  984, XX,  50, NEQ,   22,   16,    9,   14,     ,     ,  30,
EP, 15, 2026092400, 03, FNV3, 138, 224N, 1652W,  64,  984, XX,  64, NEQ,    6,    5,    3,    3,     ,     ,  30,
EP, 15, 2026092400, 03, FNV3, 144, 229N, 1655W,  61,  986, XX,  34, NEQ,   99,   83,   60,   75,     ,     ,  33,
