# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 14, 2026011700, 03, FNV3,   0, 174S,  689E,  89,  971, XX,  34, NEQ,   70,  135,  135,   70,     ,     ,   5,
IO, 14, 2026011700, 03, FNV3,   6, 176S,  681E,  48,  996, XX,  34, NEQ,   57,   65,   52,   44,     ,     ,  20,
IO, 14, 2026011700, 03, FNV3,   6, 176S,  681E,  48,  996, XX,  50, NEQ,    3,    6,    3,    2,     ,     ,  20,
IO, 14, 2026011700, 03, FNV3,  12, 180S,  677E,  51,  993, XX,  34, NEQ,   77,   86,   73,   63,     ,     ,  23,
IO, 14, 2026011700, 03, FNV3,  12, 180S,  677E,  51,  993, XX,  50, NEQ,    8,   10,    8,    5,     ,     ,  23,
IO, 14, 2026011700, 03, FNV3,  12, 180S,  677E,  51,  993, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  23,
IO, 14, 2026011700, 03, FNV3,  18, 186S,  671E,  51,  993, XX,  34, NEQ,   87,   96,   81,   71,     ,     ,  23,
IO, 14, 2026011700, 03, FNV3,  18, 186S,  671E,  51,  993, XX,  50, NEQ,   13,   16,   12,   10,     ,     ,  23,
IO, 14, 2026011700, 03, FNV3,  18, 186S,  671E,  51,  993, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  23,
IO, 14, 2026011700, 03, FNV3,  24, 193S,  666E,  55,  991, XX,  34, NEQ,   81,   95,   80,   66,     ,     ,  21,
IO, 14, 2026011700, 03, FNV3,  24, 193S,  666E,  55,  991, XX,  50, NEQ,   18,   23,   16,   14,     ,     ,  21,
IO, 14, 2026011700, 03, FNV3,  24, 193S,  666E,  55,  991, XX,  64, NEQ,    1,    2,    1,    1,     ,     ,  21,
IO, 14, 2026011700, 03, FNV3,  30, 201S,  659E,  58,  989, XX,  34, NEQ,   86,  104,   91,   71,     ,     ,  21,
IO, 14, 2026011700, 03, FNV3,  30, 201S,  659E,  58,  989, XX,  50, NEQ,   29,   34,   25,   22,     ,     ,  21,
IO, 14, 2026011700, 03, FNV3,  30, 201S,  659E,  58,  989, XX,  64, NEQ,    3,    5,    3,    3,     ,     ,  21,
IO, 14, 2026011700, 03, FNV3,  36, 207S,  653E,  65,  984, XX,  34, NEQ,   81,  104,   93,   68,     ,     ,  15,
IO, 14, 2026011700, 03, FNV3,  36, 207S,  653E,  65,  984, XX,  50, NEQ,   35,   40,   35,   29,     ,     ,  15,
IO, 14, 2026011700, 03, FNV3,  36, 207S,  653E,  65,  984, XX,  64, NEQ,   10,   11,   10,    8,     ,     ,  15,
IO, 14, 2026011700, 03, FNV3,  42, 211S,  643E,  63,  987, XX,  34, NEQ,   84,  103,   98,   75,     ,     ,  20,
IO, 14, 2026011700, 03, FNV3,  42, 211S,  643E,  63,  987, XX,  50, NEQ,   35,   39,   34,   29,     ,     ,  20,
IO, 14, 2026011700, 03, FNV3,  42, 211S,  643E,  63,  987, XX,  64, NEQ,    8,   10,    9,    7,     ,     ,  20,
IO, 14, 2026011700, 03, FNV3,  48, 215S,  631E,  59,  988, XX,  34, NEQ,   96,  119,  106,   81,     ,     ,  19,
IO, 14, 2026011700, 03, FNV3,  48, 215S,  631E,  59,  988, XX,  50, NEQ,   34,   40,   33,   27,     ,     ,  19,
IO, 14, 2026011700, 03, FNV3,  48, 215S,  631E,  59,  988, XX,  64, NEQ,    4,    5,    5,    4,     ,     ,  19,
IO, 14, 2026011700, 03, FNV3,  54, 218S,  618E,  60,  988, XX,  34, NEQ,   87,  110,   99,   74,     ,     ,  18,
