# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 91, 2026012206, 03, FNV3,   0, 126S, 1186E,  25, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  80,
IO, 91, 2026012206, 03, FNV3,   6, 126S, 1182E,  27, 1001, XX,  34, NEQ,    4,    3,    3,    3,     ,     ,  45,
IO, 91, 2026012206, 03, FNV3,  12, 132S, 1187E,  30, 1000, XX,  34, NEQ,    4,    4,    3,    4,     ,     ,  43,
IO, 91, 2026012206, 03, FNV3,  18, 138S, 1190E,  34,  998, XX,  34, NEQ,   39,   37,   30,   32,     ,     ,  43,
IO, 91, 2026012206, 03, FNV3,  18, 138S, 1190E,  34,  998, XX,  50, NEQ,    1,    1,    1,    0,     ,     ,  43,
IO, 91, 2026012206, 03, FNV3,  24, 144S, 1194E,  42,  995, XX,  34, NEQ,   75,   69,   55,   58,     ,     ,  43,
IO, 91, 2026012206, 03, FNV3,  24, 144S, 1194E,  42,  995, XX,  50, NEQ,    3,    3,    2,    2,     ,     ,  43,
IO, 91, 2026012206, 03, FNV3,  30, 151S, 1201E,  46,  993, XX,  34, NEQ,   85,   79,   66,   69,     ,     ,  37,
IO, 91, 2026012206, 03, FNV3,  30, 151S, 1201E,  46,  993, XX,  50, NEQ,   13,    8,    6,    7,     ,     ,  37,
IO, 91, 2026012206, 03, FNV3,  36, 157S, 1208E,  52,  990, XX,  34, NEQ,   99,   93,   76,   81,     ,     ,  32,
IO, 91, 2026012206, 03, FNV3,  36, 157S, 1208E,  52,  990, XX,  50, NEQ,   23,   18,   15,   16,     ,     ,  32,
IO, 91, 2026012206, 03, FNV3,  36, 157S, 1208E,  52,  990, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  32,
IO, 91, 2026012206, 03, FNV3,  42, 163S, 1215E,  60,  985, XX,  34, NEQ,  114,  104,   87,   96,     ,     ,  26,
IO, 91, 2026012206, 03, FNV3,  42, 163S, 1215E,  60,  985, XX,  50, NEQ,   40,   34,   26,   30,     ,     ,  26,
IO, 91, 2026012206, 03, FNV3,  42, 163S, 1215E,  60,  985, XX,  64, NEQ,    8,    5,    4,    4,     ,     ,  26,
IO, 91, 2026012206, 03, FNV3,  48, 169S, 1220E,  65,  981, XX,  34, NEQ,  114,  110,   92,   92,     ,     ,  21,
IO, 91, 2026012206, 03, FNV3,  48, 169S, 1220E,  65,  981, XX,  50, NEQ,   42,   38,   30,   33,     ,     ,  21,
IO, 91, 2026012206, 03, FNV3,  48, 169S, 1220E,  65,  981, XX,  64, NEQ,   13,   11,    9,   10,     ,     ,  21,
IO, 91, 2026012206, 03, FNV3,  54, 173S, 1226E,  64,  981, XX,  34, NEQ,   89,   85,   71,   71,     ,     ,  18,
IO, 91, 2026012206, 03, FNV3,  54, 173S, 1226E,  64,  981, XX,  50, NEQ,   35,   31,   25,   27,     ,     ,  18,
IO, 91, 2026012206, 03, FNV3,  54, 173S, 1226E,  64,  981, XX,  64, NEQ,   11,    8,    7,    8,     ,     ,  18,
IO, 91, 2026012206, 03, FNV3,  60, 178S, 1230E,  57,  983, XX,  34, NEQ,   85,   83,   69,   69,     ,     ,  19,
IO, 91, 2026012206, 03, FNV3,  60, 178S, 1230E,  57,  983, XX,  50, NEQ,   30,   27,   22,   23,     ,     ,  19,
IO, 91, 2026012206, 03, FNV3,  60, 178S, 1230E,  57,  983, XX,  64, NEQ,    7,    6,    5,    5,     ,     ,  19,
IO, 91, 2026012206, 03, FNV3,  66, 183S, 1232E,  47,  988, XX,  34, NEQ,   67,   67,   55,   54,     ,     ,  22,
IO, 91, 2026012206, 03, FNV3,  66, 183S, 1232E,  47,  988, XX,  50, NEQ,   11,   11,    8,    9,     ,     ,  22,
IO, 91, 2026012206, 03, FNV3,  66, 183S, 1232E,  47,  988, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  22,
IO, 91, 2026012206, 03, FNV3,  72, 188S, 1235E,  43,  990, XX,  34, NEQ,   56,   56,   46,   44,     ,     ,  24,
IO, 91, 2026012206, 03, FNV3,  72, 188S, 1235E,  43,  990, XX,  50, NEQ,    9,    9,    7,    7,     ,     ,  24,
